"Freq [GHz]","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1' SCBias_length='18mm' SCGround_length='18mm'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1' SCBias_length='18mm' SCGround_length='18mm'"
1.14,-6.24153810424257,-1.74821551318361
1.141,-6.25378472834174,-1.74400866857002
1.142,-6.26604591022773,-1.73981264592632
1.143,-6.27832164594867,-1.73562742975002
1.144,-6.29061193148824,-1.73145300453204
1.145,-6.30291676276524,-1.72728935475669
1.146,-6.3152361356336,-1.72313646490167
1.147,-6.32757004588218,-1.71899431943797
1.148,-6.33991848923437,-1.71486290282992
1.149,-6.35228146134816,-1.71074219953508
1.15,-6.36465895781579,-1.70663219400429
1.151,-6.37705097416358,-1.70253287068155
1.152,-6.38945750585179,-1.6984442140041
1.153,-6.40187854827433,-1.69436620840229
1.154,-6.41431409675858,-1.69029883829966
1.155,-6.42676414656531,-1.68624208811284
1.156,-6.43922869288837,-1.68219594225156
1.157,-6.45170773085443,-1.67816038511862
1.158,-6.464201255523,-1.6741354011099
1.159,-6.476709261886,-1.6701209746143
1.16,-6.48923174486764,-1.66611709001375
1.161,-6.50176869932432,-1.66212373168321
1.162,-6.51432012004418,-1.65814088399062
1.163,-6.52688600174718,-1.65416853129691
1.164,-6.53946633908475,-1.650206657956
1.165,-6.55206112663955,-1.64625524831476
1.166,-6.56467035892533,-1.64231428671304
1.167,-6.57729403038666,-1.63838375748359
1.168,-6.58993213539888,-1.63446364495217
1.169,-6.60258466826766,-1.63055393343745
1.17,-6.61525162322894,-1.62665460725104
1.171,-6.62793299444867,-1.62276565069749
1.172,-6.64062877602271,-1.61888704807426
1.173,-6.65333896197632,-1.61501878367178
1.174,-6.66606354626433,-1.61116084177339
1.175,-6.67880252277065,-1.60731320665537
1.176,-6.6915558853082,-1.60347586258695
1.177,-6.70432362761856,-1.5996487938303
1.178,-6.71710574337195,-1.59583198464054
1.179,-6.72990222616671,-1.59202541926574
1.18,-6.74271306952947,-1.58822908194696
1.181,-6.75553826691461,-1.5844429569182
1.182,-6.76837781170417,-1.58066702840645
1.183,-6.78123169720763,-1.57690128063174
1.184,-6.7940999166616,-1.57314569780706
1.185,-6.8069824632298,-1.56940026413842
1.186,-6.81987933000259,-1.5656649638249
1.187,-6.8327905099969,-1.56193978105861
1.188,-6.84571599615602,-1.55822470002472
1.189,-6.85865578134912,-1.55451970490151
1.19,-6.87160985837147,-1.55082477986033
1.191,-6.88457821994377,-1.54713990906568
1.192,-6.89756085871212,-1.5434650766752
1.193,-6.91055776724797,-1.5398002668397
1.194,-6.92356893804742,-1.53614546370316
1.195,-6.93659436353142,-1.53250065140279
1.196,-6.94963403604537,-1.52886581406902
1.197,-6.96268794785882,-1.52524093582557
1.198,-6.97575609116536,-1.52162600078943
1.199,-6.98883845808233,-1.51802099307091
1.2,-7.0019350406506,-1.51442589677367
1.201,-7.01504583083417,-1.51084069599474
1.202,-7.02817082052032,-1.50726537482457
1.203,-7.04131000151883,-1.50369991734703
1.204,-7.05446336556224,-1.50014430763948
1.205,-7.06763090430539,-1.49659852977277
1.206,-7.08081260932498,-1.4930625678113
1.207,-7.09400847211976,-1.48953640581304
1.208,-7.10721848410988,-1.48602002782956
1.209,-7.12044263663693,-1.4825134179061
1.21,-7.13368092096352,-1.47901656008155
1.211,-7.14693332827301,-1.47552943838858
1.212,-7.16019984966944,-1.47205203685357
1.213,-7.17348047617712,-1.46858433949675
1.214,-7.18677519874042,-1.46512633033216
1.215,-7.2000840082235,-1.46167799336776
1.216,-7.21340689541017,-1.45823931260543
1.217,-7.22674385100345,-1.45481027204102
1.218,-7.24009486562538,-1.45139085566442
1.219,-7.25345992981686,-1.44798104745959
1.22,-7.26683903403725,-1.44458083140457
1.221,-7.28023216866418,-1.44119019147163
1.222,-7.29363932399337,-1.4378091116272
1.223,-7.30706049023819,-1.43443757583197
1.224,-7.32049565752936,-1.43107556804098
1.225,-7.33394481591506,-1.4277230722036
1.226,-7.34740795536025,-1.42438007226364
1.227,-7.36088506574656,-1.42104655215935
1.228,-7.37437613687207,-1.41772249582351
1.229,-7.38788115845097,-1.4144078871835
1.23,-7.40140012011322,-1.41110271016129
1.231,-7.41493301140453,-1.40780694867356
1.232,-7.42847982178577,-1.40452058663173
1.233,-7.44204054063298,-1.40124360794201
1.234,-7.45561515723673,-1.3979759965055
1.235,-7.46920366080232,-1.39471773621814
1.236,-7.48280604044911,-1.39146881097093
1.237,-7.4964222852104,-1.38822920464986
1.238,-7.51005238403309,-1.38499890113603
1.239,-7.52369632577757,-1.3817778843057
1.24,-7.53735409921699,-1.37856613803032
1.241,-7.5510256930377,-1.37536364617668
1.242,-7.5647110958382,-1.37217039260686
1.243,-7.57841029612928,-1.3689863611784
1.244,-7.59212328233377,-1.36581153574427
1.245,-7.60585004278597,-1.36264590015302
1.246,-7.6195905657315,-1.35948943824879
1.247,-7.63334483932716,-1.3563421338714
1.248,-7.64711285164037,-1.35320397085642
1.249,-7.66089459064904,-1.35007493303522
1.25,-7.67469004424116,-1.34695500423506
1.251,-7.68849920021463,-1.34384416827914
1.252,-7.70232204627685,-1.34074240898669
1.253,-7.71615857004453,-1.33764971017305
1.254,-7.73000875904314,-1.33456605564967
1.255,-7.743872600707,-1.3314914292243
1.256,-7.75775008237862,-1.32842581470096
1.257,-7.77164119130853,-1.32536919588004
1.258,-7.78554591465502,-1.32232155655843
1.259,-7.79946423948366,-1.31928288052951
1.26,-7.81339615276726,-1.31625315158328
1.261,-7.82734164138528,-1.31323235350644
1.262,-7.84130069212364,-1.3102204700824
1.263,-7.85527329167437,-1.30721748509144
1.264,-7.86925942663548,-1.30422338231076
1.265,-7.88325908351023,-1.30123814551452
1.266,-7.89727224870725,-1.29826175847395
1.267,-7.91129890853982,-1.29529420495746
1.268,-7.92533904922594,-1.29233546873063
1.269,-7.93939265688776,-1.28938553355639
1.27,-7.95345971755119,-1.28644438319506
1.271,-7.96754021714579,-1.2835120014044
1.272,-7.98163414150422,-1.28058837193971
1.273,-7.99574147636217,-1.27767347855396
1.274,-8.00986220735772,-1.27476730499782
1.275,-8.02399632003131,-1.27186983501974
1.276,-8.03814379982507,-1.26898105236605
1.277,-8.05230463208278,-1.26610094078106
1.278,-8.06647880204938,-1.26322948400713
1.279,-8.08066629487067,-1.26036666578473
1.28,-8.09486709559285,-1.25751246985256
1.281,-8.10908118916247,-1.25466687994765
1.282,-8.1233085604257,-1.25182987980535
1.283,-8.13754919412827,-1.24900145315957
1.284,-8.15180307491502,-1.24618158374272
1.285,-8.1660701873295,-1.2433702552859
1.286,-8.18035051581374,-1.24056745151892
1.287,-8.19464404470767,-1.23777315617045
1.288,-8.20895075824912,-1.23498735296803
1.289,-8.22327064057308,-1.23221002563824
1.29,-8.2376036757116,-1.22944115790675
1.291,-8.25194984759326,-1.2266807334984
1.292,-8.26630914004302,-1.2239287361373
1.293,-8.2806815367816,-1.22118514954695
1.294,-8.29506702142522,-1.2184499574503
1.295,-8.30946557748536,-1.2157231435698
1.296,-8.32387718836818,-1.21300469162762
1.297,-8.33830183737422,-1.21029458534558
1.298,-8.35273950769811,-1.20759280844537
1.299,-8.36719018242811,-1.20489934464856
1.3,-8.38165384454573,-1.20221417767678
1.301,-8.39613047692539,-1.19953729125172
1.302,-8.41062006233395,-1.19686866909528
1.303,-8.42512258343054,-1.19420829492962
1.304,-8.4396380227658,-1.19155615247733
1.305,-8.45416636278196,-1.18891222546143
1.306,-8.46870758581207,-1.18627649760556
1.307,-8.48326167407974,-1.18364895263399
1.308,-8.4978286096989,-1.18102957427175
1.309,-8.51240837467311,-1.17841834624476
1.31,-8.52700095089526,-1.17581525227987
1.311,-8.54160632014751,-1.17322027610499
1.312,-8.55622446410035,-1.17063340144917
1.313,-8.57085536431245,-1.1680546120427
1.314,-8.58549900223049,-1.16548389161722
1.315,-8.60015535918833,-1.16292122390581
1.316,-8.61482441640673,-1.16036659264306
1.317,-8.62950615499327,-1.15781998156522
1.318,-8.64420055594142,-1.15528137441026
1.319,-8.65890760013052,-1.15275075491798
1.32,-8.67362726832523,-1.15022810683009
1.321,-8.68835954117496,-1.14771341389035
1.322,-8.70310439921368,-1.14520665984463
1.323,-8.71786182285956,-1.14270782844102
1.324,-8.73263179241411,-1.14021690342995
1.325,-8.74741428806232,-1.13773386856423
1.326,-8.76220928987178,-1.13525870759924
1.327,-8.77701677779246,-1.13279140429294
1.328,-8.7918367316563,-1.13033194240605
1.329,-8.80666913117668,-1.12788030570206
1.33,-8.82151395594806,-1.12543647794741
1.331,-8.83637118544542,-1.12300044291156
1.332,-8.851240799024,-1.12057218436709
1.333,-8.8661227759187,-1.1181516860898
1.334,-8.8810170952438,-1.11573893185878
1.335,-8.89592373599224,-1.1133339054566
1.336,-8.91084267703559,-1.1109365906693
1.337,-8.92577389712304,-1.10854697128659
1.338,-8.94071737488154,-1.10616503110187
1.339,-8.95567308881496,-1.10379075391238
1.34,-8.97064101730377,-1.1014241235193
1.341,-8.98562113860447,-1.09906512372782
1.342,-9.00061343084923,-1.09671373834726
1.343,-9.01561787204561,-1.09436995119119
1.344,-9.0306344400756,-1.09203374607752
1.345,-9.04566311269558,-1.08970510682857
1.346,-9.06070386753577,-1.08738401727123
1.347,-9.07575668209964,-1.08507046123699
1.348,-9.0908215337635,-1.08276442256213
1.349,-9.10589839977599,-1.08046588508774
1.35,-9.12098725725774,-1.07817483265988
1.351,-9.13608808320073,-1.07589124912965
1.352,-9.15120085446776,-1.07361511835329
1.353,-9.1663255477923,-1.07134642419231
1.354,-9.18146213977761,-1.06908515051359
1.355,-9.1966106068963,-1.06683128118943
1.356,-9.21177092549022,-1.06458480009773
1.357,-9.22694307176954,-1.06234569112204
1.358,-9.24212702181252,-1.06011393815166
1.359,-9.25732275156463,-1.05788952508177
1.36,-9.27253023683864,-1.05567243581356
1.361,-9.28774945331365,-1.05346265425423
1.362,-9.30298037653472,-1.0512601643172
1.363,-9.31822298191249,-1.04906494992216
1.364,-9.33347724472236,-1.04687699499518
1.365,-9.34874314010436,-1.04469628346881
1.366,-9.36402064306233,-1.0425227992822
1.367,-9.37930972846371,-1.04035652638118
1.368,-9.39461037103862,-1.03819744871836
1.369,-9.40992254537946,-1.03604555025327
1.37,-9.42524622594093,-1.03390081495245
1.371,-9.44058138703865,-1.03176322678948
1.372,-9.45592800284918,-1.0296327697452
1.373,-9.47128604740933,-1.02750942780772
1.374,-9.48665549461561,-1.02539318497258
1.375,-9.5020363182239,-1.02328402524282
1.376,-9.51742849184846,-1.02118193262909
1.377,-9.53283198896193,-1.01908689114975
1.378,-9.54824678289436,-1.01699888483097
1.379,-9.56367284683286,-1.01491789770685
1.38,-9.57911015382115,-1.01284391381951
1.381,-9.59455867675878,-1.0107769172192
1.382,-9.61001838840068,-1.00871689196434
1.383,-9.62548926135668,-1.00666382212174
1.384,-9.64097126809075,-1.00461769176662
1.385,-9.65646438092082,-1.00257848498269
1.386,-9.67196857201766,-1.00054618586233
1.387,-9.68748381340496,-0.99852077850663
1.388,-9.7030100769582,-0.996502247025529
1.389,-9.71854733440439,-0.994490575537865
1.39,-9.73409555732145,-0.99248574817155
1.391,-9.74965471713769,-0.990487749063606
1.392,-9.76522478513097,-0.98849656236029
1.393,-9.78080573242837,-0.986512172217197
1.394,-9.79639753000572,-0.984534562799371
1.395,-9.8120001486865,-0.982563718281381
1.396,-9.827613559142,-0.980599622847429
1.397,-9.84323773189016,-0.978642260691453
1.398,-9.85887263729502,-0.976691616017253
1.399,-9.87451824556637,-0.974747673038526
1.4,-9.89017452675916,-0.972810415979033
1.401,-9.90584145077263,-0.970879829072658
1.402,-9.92151898734987,-0.968955896563535
1.403,-9.93720710607727,-0.967038602706117
1.404,-9.95290577638396,-0.965127931765295
1.405,-9.96861496754072,-0.963223868016487
1.406,-9.98433464866028,-0.961326395745757
1.407,-10.0000647886958,-0.95943549924988
1.408,-10.0158053564407,-0.957551162836477
1.409,-10.031556320528,-0.955673370824075
1.41,-10.0473176494299,-0.953802107542238
1.411,-10.0630893114564,-0.951937357331655
1.412,-10.0788712747557,-0.950079104544237
1.413,-10.0946635073131,-0.948227333543171
1.414,-10.1104659769498,-0.946382028703121
1.415,-10.1262786513233,-0.944543174410218
1.416,-10.1421014979262,-0.942710755062221
1.417,-10.1579344840857,-0.94088475506858
1.418,-10.1737775769626,-0.939065158850558
1.419,-10.1896307435512,-0.937251950841315
1.42,-10.2054939506784,-0.935445115485992
1.421,-10.2213671650032,-0.933644637241823
1.422,-10.2372503530156,-0.931850500578239
1.423,-10.2531434810364,-0.930062689976947
1.424,-10.2690465152165,-0.928281189932014
1.425,-10.2849594215361,-0.926505984949999
1.426,-10.3008821658041,-0.924737059550015
1.427,-10.3168147136574,-0.922974398263828
1.428,-10.3327570305602,-0.921217985635959
1.429,-10.3487090818036,-0.919467806223805
1.43,-10.3646708325046,-0.917723844597657
1.431,-10.3806422476055,-0.915986085340877
1.432,-10.3966232918734,-0.914254513049951
1.433,-10.4126139298993,-0.912529112334572
1.434,-10.4286141260975,-0.910809867817753
1.435,-10.4446238447052,-0.909096764135917
1.436,-10.4606430497812,-0.907389785938979
1.437,-10.4766717052058,-0.90568891789046
1.438,-10.4927097746797,-0.903994144667539
1.439,-10.5087572217238,-0.902305450961201
1.44,-10.5248140096777,-0.900622821476264
1.441,-10.5408801017001,-0.898946240931529
1.442,-10.5569554607668,-0.897275694059825
1.443,-10.5730400496713,-0.895611165608133
1.444,-10.5891338310231,-0.893952640337642
1.445,-10.6052367672477,-0.892300103023878
1.446,-10.6213488205852,-0.890653538456777
1.447,-10.6374699530903,-0.889012931440744
1.448,-10.6536001266309,-0.887378266794802
1.449,-10.669739302888,-0.885749529352629
1.45,-10.6858874433547,-0.884126703962667
1.451,-10.7020445093351,-0.882509775488216
1.452,-10.7182104619446,-0.880898728807514
1.453,-10.7343852621079,-0.87929354881381
1.454,-10.7505688705593,-0.87769422041549
1.455,-10.7667612478415,-0.876100728536126
1.456,-10.7829623543047,-0.874513058114586
1.457,-10.7991721501064,-0.872931194105109
1.458,-10.8153905952102,-0.871355121477384
1.459,-10.8316176493854,-0.869784825216651
1.46,-10.8478532722057,-0.868220290323795
1.461,-10.8640974230492,-0.86666150181541
1.462,-10.8803500610971,-0.865108444723876
1.463,-10.8966111453332,-0.863561104097468
1.464,-10.912880634543,-0.862019465000447
1.465,-10.9291584873131,-0.860483512513108
1.466,-10.9454446620303,-0.858953231731888
1.467,-10.961739116881,-0.85742860776945
1.468,-10.9780418098502,-0.855909625754759
1.469,-10.9943526987209,-0.854396270833162
1.47,-11.0106717410735,-0.852888528166484
1.471,-11.0269988942846,-0.851386382933092
1.472,-11.0433341155265,-0.849889820327992
1.473,-11.0596773617664,-0.848398825562895
1.474,-11.076028589766,-0.846913383866312
1.475,-11.0923877560797,-0.845433480483639
1.476,-11.1087548170548,-0.843959100677209
1.477,-11.1251297288304,-0.842490229726417
1.478,-11.1415124473365,-0.841026852927731
1.479,-11.1579029282935,-0.83956895559486
1.48,-11.1743011272108,-0.83811652305876
1.481,-11.1907069993866,-0.836669540667747
1.482,-11.2071204999072,-0.835227993787567
1.483,-11.2235415836457,-0.83379186780148
1.484,-11.2399702052614,-0.832361148110319
1.485,-11.2564063191992,-0.830935820132591
1.486,-11.2728498796884,-0.829515869304549
1.487,-11.2893008407422,-0.828101281080248
1.488,-11.305759156157,-0.826692040931645
1.489,-11.3222247795112,-0.825288134348659
1.49,-11.3386976641647,-0.823889546839269
1.491,-11.3551777632579,-0.822496263929575
1.492,-11.3716650297113,-0.821108271163828
1.493,-11.3881594162238,-0.819725554104617
1.494,-11.4046608752727,-0.818348098332815
1.495,-11.4211693591131,-0.816975889447746
1.496,-11.4376848197757,-0.815608913067209
1.497,-11.4542072090676,-0.814247154827575
1.498,-11.4707364785703,-0.812890600383843
1.499,-11.4872725796395,-0.811539235409724
1.5,-11.5038154634042,-0.810193045597718
1.501,-11.5203650807655,-0.808852016659151
1.502,-11.5369213823964,-0.807516134324304
1.503,-11.55348431874,-0.806185384342437
1.504,-11.5700538400098,-0.804859752481862
1.505,-11.586629896188,-0.803539224530046
1.506,-11.6032124370252,-0.802223786293645
1.507,-11.6198014120391,-0.800913423598603
1.508,-11.6363967705141,-0.799608122290191
1.509,-11.6529984614999,-0.798307868233098
1.51,-11.6696064338115,-0.797012647311483
1.511,-11.6862206360274,-0.795722445429078
1.512,-11.7028410164893,-0.794437248509197
1.513,-11.7194675233012,-0.793157042494859
1.514,-11.7361001043286,-0.79188181334882
1.515,-11.7527387071973,-0.790611547053647
1.516,-11.7693832792929,-0.789346229611805
1.517,-11.7860337677599,-0.788085847045684
1.518,-11.8026901195004,-0.786830385397698
1.519,-11.819352281174,-0.785579830730337
1.52,-11.8360201991965,-0.784334169126229
1.521,-11.8526938197387,-0.783093386688199
1.522,-11.8693730887263,-0.781857469539359
1.523,-11.8860579518386,-0.780626403823135
1.524,-11.9027483545074,-0.779400175703357
1.525,-11.9194442419164,-0.778178771364307
1.526,-11.9361455590008,-0.776962177010791
1.527,-11.9528522504456,-0.775750378868203
1.528,-11.969564260685,-0.77454336318256
1.529,-11.9862815339019,-0.773341116220601
1.53,-12.0030040140266,-0.772143624269811
1.531,-12.019731644736,-0.770950873638517
1.532,-12.0364643694529,-0.76976285065593
1.533,-12.0532021313449,-0.76857954167219
1.534,-12.0699448733239,-0.767400933058453
1.535,-12.0866925380445,-0.766227011206926
1.536,-12.1034450679041,-0.765057762530948
1.537,-12.120202405041,-0.763893173465026
1.538,-12.1369644913342,-0.762733230464915
1.539,-12.1537312684027,-0.761577920007643
1.54,-12.1705026776037,-0.7604272285916
1.541,-12.1872786600324,-0.759281142736584
1.542,-12.2040591565212,-0.758139648983846
1.543,-12.2208441076384,-0.757002733896161
1.544,-12.2376334536874,-0.755870384057869
1.545,-12.2544271347066,-0.754742586074952
1.546,-12.2712250904667,-0.753619326575057
1.547,-12.2880272604719,-0.752500592207568
1.548,-12.3048335839576,-0.751386369643682
1.549,-12.3216439998902,-0.750276645576399
1.55,-12.3384584469659,-0.749171406720654
1.551,-12.3552768636097,-0.748070639813305
1.552,-12.3720991879751,-0.74697433161322
1.553,-12.3889253579425,-0.745882468901311
1.554,-12.4057553111187,-0.744795038480604
1.555,-12.4225889848362,-0.743712027176277
1.556,-12.4394263161517,-0.742633421835695
1.557,-12.4562672418456,-0.741559209328504
1.558,-12.4731116984214,-0.74048937654664
1.559,-12.4899596221041,-0.739423910404392
1.56,-12.5068109488401,-0.738362797838451
1.561,-12.5236656142953,-0.737306025807981
1.562,-12.5405235538557,-0.73625358129461
1.563,-12.5573847026249,-0.735205451302537
1.564,-12.574248995424,-0.734161622858561
1.565,-12.5911163667914,-0.733122083012098
1.566,-12.6079867509803,-0.732086818835272
1.567,-12.624860081959,-0.731055817422938
1.568,-12.6417362934099,-0.730029065892735
1.569,-12.6586153187281,-0.729006551385109
1.57,-12.6754970910214,-0.727988261063406
1.571,-12.692381543108,-0.72697418211387
1.572,-12.7092686075173,-0.725964301745704
1.573,-12.7261582164876,-0.724958607191128
1.574,-12.7430503019663,-0.723957085705399
1.575,-12.7599447956082,-0.722959724566866
1.576,-12.7768416287748,-0.72196651107701
1.577,-12.7937407325343,-0.720977432560504
1.578,-12.8106420376593,-0.719992476365209
1.579,-12.827545474627,-0.719011629862276
1.58,-12.8444509736177,-0.718034880446144
1.581,-12.8613584645144,-0.717062215534591
1.582,-12.8782678769017,-0.716093622568772
1.583,-12.8951791400649,-0.715129089013285
1.584,-12.9120921829891,-0.714168602356172
1.585,-12.9290069343586,-0.713212150108976
1.586,-12.9459233225557,-0.712259719806789
1.587,-12.9628412756601,-0.711311299008281
1.588,-12.9797607214478,-0.710366875295739
1.589,-12.9966815873907,-0.709426436275089
1.59,-13.0136038006549,-0.708489969575969
1.591,-13.0305272881008,-0.707557462851743
1.592,-13.0474519762819,-0.70662890377953
1.593,-13.0643777914431,-0.705704280060257
1.594,-13.0813046595218,-0.704783579418695
1.595,-13.0982325061449,-0.703866789603476
1.596,-13.1151612566293,-0.702953898387148
1.597,-13.1320908359806,-0.7020448935662
1.598,-13.1490211688926,-0.701139762961103
1.599,-13.1659521797461,-0.700238494416334
1.6,-13.1828837926079,-0.699341075800414
1.601,-13.1998159312308,-0.698447495005949
1.602,-13.2167485190518,-0.697557739949651
1.603,-13.2336814791919,-0.696671798572378
1.604,-13.250614734455,-0.69578965883916
1.605,-13.2675482073275,-0.694911308739246
1.606,-13.2844818199767,-0.694036736286105
1.607,-13.3014154942508,-0.693165929517492
1.608,-13.3183491516777,-0.692298876495451
1.609,-13.3352827134642,-0.691435565306375
1.61,-13.3522161004951,-0.690575984060988
1.611,-13.3691492333329,-0.689720120894438
1.612,-13.3860820322165,-0.688867963966272
1.613,-13.4030144170604,-0.688019501460489
1.614,-13.4199463074544,-0.687174721585552
1.615,-13.4368776226623,-0.686333612574456
1.616,-13.4538082816216,-0.685496162684716
1.617,-13.4707382029424,-0.684662360198388
1.618,-13.4876673049064,-0.683832193422142
1.619,-13.5045955054669,-0.683005650687249
1.62,-13.5215227222471,-0.682182720349617
1.621,-13.5384488725402,-0.681363390789828
1.622,-13.5553738733084,-0.68054765041314
1.623,-13.5722976411817,-0.679735487649547
1.624,-13.5892200924577,-0.67892689095376
1.625,-13.6061411431006,-0.678121848805272
