Freq [GHz],S11_HFSS,S21_HFSS,S31_HFSS,S41_HFSS
1.432,-3.517054108,-10.84296707,-8.671972278,-5.540471091
1.433,-3.520577385,-10.8630869,-8.638778216,-5.546003868
1.434,-3.524152529,-10.88318911,-8.605659303,-5.551583598
1.435,-3.527779781,-10.90327139,-8.572616227,-5.557210479
1.436,-3.531459379,-10.9233314,-8.539649664,-5.562884703
1.437,-3.535191563,-10.94336673,-8.506760277,-5.568606465
1.438,-3.538976571,-10.96337497,-8.473948719,-5.574375958
1.439,-3.542814642,-10.98335363,-8.441215625,-5.580193376
1.44,-3.546706014,-11.0033002,-8.408561623,-5.58605891
1.441,-3.550650925,-11.02321212,-8.375987325,-5.591972753
1.442,-3.554649612,-11.04308679,-8.343493335,-5.597935096
1.443,-3.558702312,-11.06292158,-8.311080241,-5.60394613
1.444,-3.562809261,-11.08271378,-8.278748623,-5.610006045
1.445,-3.566970696,-11.10246069,-8.246499048,-5.616115029
1.446,-3.571186853,-11.12215953,-8.214332072,-5.622273273
1.447,-3.575457967,-11.14180748,-8.182248241,-5.628480964
1.448,-3.579784273,-11.1614017,-8.150248088,-5.634738289
1.449,-3.584166004,-11.18093929,-8.118332139,-5.641045436
1.45,-3.588603396,-11.20041732,-8.086500906,-5.647402591
1.451,-3.59309668,-11.2198328,-8.054754892,-5.653809938
1.452,-3.597646091,-11.23918272,-8.023094591,-5.660267663
1.453,-3.60225186,-11.25846401,-7.991520486,-5.666775949
1.454,-3.606914218,-11.27767356,-7.96003305,-5.673334978
1.455,-3.611633398,-11.29680825,-7.928632747,-5.679944935
1.456,-3.616409629,-11.31586487,-7.897320032,-5.686605999
1.457,-3.621243141,-11.33484021,-7.866095349,-5.693318351
1.458,-3.626134163,-11.35373101,-7.834959134,-5.700082171
1.459,-3.631082924,-11.37253395,-7.803911815,-5.706897638
1.46,-3.636089652,-11.39124569,-7.772953809,-5.71376493
1.461,-3.641154574,-11.40986286,-7.742085525,-5.720684223
1.462,-3.646277915,-11.42838204,-7.711307364,-5.727655694
1.463,-3.651459903,-11.44679976,-7.680619719,-5.734679517
1.464,-3.656700761,-11.46511254,-7.650022973,-5.741755867
1.465,-3.662000714,-11.48331685,-7.619517502,-5.748884917
1.466,-3.667359985,-11.50140912,-7.589103673,-5.756066839
1.467,-3.672778796,-11.51938576,-7.558781847,-5.763301804
1.468,-3.67825737,-11.53724313,-7.528552375,-5.770589982
1.469,-3.683795927,-11.55497757,-7.4984156,-5.777931542
1.47,-3.689394688,-11.57258539,-7.468371861,-5.785326652
1.471,-3.69505387,-11.59006286,-7.438421485,-5.792775479
1.472,-3.700773693,-11.60740622,-7.408564794,-5.800278188
1.473,-3.706554373,-11.6246117,-7.378802104,-5.807834943
1.474,-3.712396128,-11.64167547,-7.349133721,-5.815445909
1.475,-3.718299171,-11.6585937,-7.319559945,-5.823111247
