"Freq [GHz]","re(S(1,1)) [] - patch_length='24mm' probe_feed_x='5.8mm'","im(S(1,1)) [] - patch_length='24mm' probe_feed_x='5.8mm'"
1.098,-0.994257088635757,-0.0272885179400678
1.099,-0.994277183373234,-0.0267719261725239
1.1,-0.99429696369097,-0.0262557336140324
1.101,-0.994316430375407,-0.0257399391687885
1.102,-0.994335584209287,-0.0252245417439795
1.103,-0.994354425971679,-0.0247095402497636
1.104,-0.994372956437985,-0.0241949335992794
1.105,-0.994391176379968,-0.0236807207086123
1.106,-0.994409086565763,-0.0231669004967975
1.107,-0.994426687759896,-0.0226534718858049
1.108,-0.994443980723303,-0.0221404338005274
1.109,-0.994460966213341,-0.021627785168769
1.11,-0.994477644983812,-0.021115524921241
1.111,-0.994494017784974,-0.020603651991538
1.112,-0.994510085363565,-0.0200921653161384
1.113,-0.994525848462808,-0.0195810638343863
1.114,-0.99454130782244,-0.0190703464884878
1.115,-0.99455646417872,-0.0185600122234937
1.116,-0.994571318264448,-0.0180500599872891
1.117,-0.994585870808981,-0.0175404887305902
1.118,-0.994600122538251,-0.0170312974069229
1.119,-0.994614074174775,-0.0165224849726195
1.12,-0.99462772643768,-0.0160140503868071
1.121,-0.994641080042711,-0.0155059926113919
1.122,-0.994654135702248,-0.01499831061106
1.123,-0.994666894125326,-0.0144910033532497
1.124,-0.994679356017646,-0.0139840698081588
1.125,-0.994691522081592,-0.0134775089487246
1.126,-0.994703393016247,-0.0129713197506142
1.127,-0.994714969517406,-0.0124655011922136
1.128,-0.994726252277595,-0.0119600522546226
1.129,-0.994737241986081,-0.0114549719216376
1.13,-0.994747939328891,-0.0109502591797491
1.131,-0.994758344988826,-0.0104459130181225
1.132,-0.994768459645474,-0.00994193242859392
1.133,-0.994778283975226,-0.00943831640566029
1.134,-0.994787818651292,-0.00893506394646643
1.135,-0.994797064343713,-0.00843217405079771
1.136,-0.994806021719376,-0.00792964572106741
1.137,-0.994814691442031,-0.00742747796230603
1.138,-0.994823074172299,-0.00692566978215931
1.139,-0.994831170567695,-0.00642422019086586
1.14,-0.994838981282633,-0.00592312820125895
1.141,-0.994846506968448,-0.00542239282874646
1.142,-0.994853748273405,-0.00492201309131307
1.143,-0.994860705842713,-0.00442198800949778
1.144,-0.99486738031854,-0.00392231660639014
1.145,-0.994873772340028,-0.00342299790762696
1.146,-0.994879882543304,-0.00292403094136612
1.147,-0.994885711561496,-0.00242541473829744
1.148,-0.994891260024743,-0.00192714833161545
1.149,-0.994896528560211,-0.00142923075701956
1.15,-0.994901517792107,-0.000931661052704202
1.151,-0.99490622834169,-0.00043443825934486
1.152,-0.994910660827285,6.24385799087301E-005
1.153,-0.994914815864294,0.00055897041944164
1.154,-0.994918694065215,0.00105515821118629
1.155,-0.99492229603965,0.00155100290462196
1.156,-0.994925622394315,0.00204650544679819
1.157,-0.99492867373306,0.00254166678233342
1.158,-0.994931450656878,0.00303648785342903
1.159,-0.994933953763916,0.00353096959988003
1.16,-0.99493618364949,0.00402511295907548
1.161,-0.994938140906096,0.00451891886601741
1.162,-0.994939826123424,0.00501238825332795
1.163,-0.994941239888368,0.00550552205125338
1.164,-0.994942382785042,0.00599832118767774
1.165,-0.994943255394786,0.00649078658812802
1.166,-0.994943858296184,0.00698291917579302
1.167,-0.994944192065073,0.00747471987151421
1.168,-0.994944257274557,0.00796618959381112
1.169,-0.994944054495015,0.00845732925888781
1.17,-0.994943584294116,0.00894813978063075
1.171,-0.994942847236831,0.00943862207062679
1.172,-0.994941843885444,0.00992877703817646
1.173,-0.99494057479956,0.0104186055902911
1.174,-0.994939040536124,0.0109081086317055
1.175,-0.994937241649426,0.0113972870648916
1.176,-0.994935178691113,0.0118861417900618
1.177,-0.994932852210205,0.0123746737051776
1.178,-0.994930262753101,0.0128628837059662
1.179,-0.994927410863592,0.0133507726859139
1.18,-0.994924297082875,0.0138383415362923
1.181,-0.994920921949558,0.0143255911461522
1.182,-0.994917285999677,0.0148125224023355
1.183,-0.994913389766703,0.0152991361894928
1.184,-0.994909233781554,0.0157854333900804
1.185,-0.994904818572606,0.0162714148843759
1.186,-0.994900144665705,0.016757081550481
1.187,-0.994895212584176,0.0172424342643335
1.188,-0.994890022848832,0.0177274738997145
1.189,-0.994884575977988,0.0182122013282574
1.19,-0.994878872487471,0.0186966174194554
1.191,-0.994872912890626,0.0191807230406707
1.192,-0.994866697698334,0.0196645190571393
1.193,-0.994860227419015,0.0201480063319819
1.194,-0.994853502558641,0.020631185726215
1.195,-0.994846523620748,0.0211140580987516
1.196,-0.994839291106445,0.0215966243064158
1.197,-0.994831805514421,0.0220788852039471
1.198,-0.99482406734096,0.0225608416440077
1.199,-0.994816077079946,0.0230424944771999
1.2,-0.994807835222879,0.0235238445520554
1.201,-0.994799342258877,0.0240048927150635
1.202,-0.994790598674693,0.0244856398106625
1.203,-0.994781604954719,0.0249660866812593
1.204,-0.994772361581002,0.0254462341672337
1.205,-0.994762869033245,0.0259260831069412
1.206,-0.994753127788826,0.0264056343367273
1.207,-0.9947431383228,0.0268848886909309
1.208,-0.994732901107912,0.0273638470018941
1.209,-0.994722416614606,0.027842510099971
1.21,-0.994711685311033,0.02832087881353
1.211,-0.994700707663062,0.0287989539689711
1.212,-0.994689484134288,0.0292767363907241
1.213,-0.994678015186041,0.0297542269012566
1.214,-0.994666301277398,0.0302314263210929
1.215,-0.994654342865186,0.0307083354688054
1.216,-0.994642140403997,0.0311849551610327
1.217,-0.994629694346195,0.0316612862124861
1.218,-0.994617005141922,0.0321373294359521
1.219,-0.994604073239112,0.0326130856423031
1.22,-0.994590899083495,0.0330885556405119
1.221,-0.994577483118609,0.0335637402376385
1.222,-0.994563825785807,0.0340386402388628
1.223,-0.994549927524264,0.0345132564474718
1.224,-0.994535788770993,0.0349875896648788
1.225,-0.994521409960841,0.0354616406906271
1.226,-0.994506791526511,0.0359354103223962
1.227,-0.994491933898559,0.0364088993560052
1.228,-0.994476837505412,0.0368821085854313
1.229,-0.994461502773367,0.0373550388028035
1.23,-0.994445930126607,0.0378276907984264
1.231,-0.994430119987206,0.0383000653607654
1.232,-0.994414072775136,0.0387721632764705
1.233,-0.994397788908277,0.0392439853303805
1.234,-0.994381268802425,0.0397155323055239
1.235,-0.994364512871298,0.0401868049831341
1.236,-0.994347521526549,0.040657804142649
1.237,-0.994330295177767,0.0411285305617233
1.238,-0.994312834232489,0.0415989850162315
1.239,-0.994295139096209,0.0420691682802743
1.24,-0.994277210172381,0.0425390811261954
1.241,-0.994259047862434,0.0430087243245755
1.242,-0.99424065256577,0.043478098644242
1.243,-0.994222024679781,0.0439472048522844
1.244,-0.994203164599853,0.0444160437140498
1.245,-0.994184072719369,0.0448846159931545
1.246,-0.994164749429727,0.0453529224514965
1.247,-0.994145195120334,0.0458209638492511
1.248,-0.994125410178628,0.0462887409448852
1.249,-0.994105394990072,0.0467562544951624
1.25,-0.994085149938171,0.047223505255148
1.251,-0.994064675404474,0.0476904939782187
1.252,-0.994043971768584,0.0481572214160633
1.253,-0.994023039408164,0.0486236883186993
1.254,-0.994001878698943,0.0490898954344672
1.255,-0.993980490014725,0.0495558435100476
1.256,-0.993958873727398,0.0500215332904605
1.257,-0.993937030206933,0.0504869655190789
1.258,-0.993914959821404,0.0509521409376257
1.259,-0.99389266293698,0.0514170602861894
1.26,-0.993870139917945,0.0518817243032227
1.261,-0.993847391126696,0.052346133725558
1.262,-0.993824416923754,0.0528102892884047
1.263,-0.993801217667771,0.0532741917253603
1.264,-0.993777793715535,0.0537378417684165
1.265,-0.993754145421976,0.0542012401479643
1.266,-0.993730273140176,0.0546643875928005
1.267,-0.993706177221374,0.0551272848301366
1.268,-0.993681858014968,0.0555899325855987
1.269,-0.993657315868532,0.0560523315832432
1.27,-0.993632551127811,0.0565144825455518
1.271,-0.993607564136736,0.0569763861934467
1.272,-0.993582355237427,0.0574380432462938
1.273,-0.993556924770197,0.0578994544219076
1.274,-0.993531273073563,0.0583606204365615
1.275,-0.99350540048425,0.058821542004985
1.276,-0.993479307337198,0.0592822198403796
1.277,-0.993452993965568,0.0597426546544198
1.278,-0.993426460700745,0.0602028471572592
1.279,-0.993399707872352,0.0606627980575393
1.28,-0.993372735808246,0.0611225080623933
1.281,-0.993345544834533,0.0615819778774525
1.282,-0.993318135275571,0.0620412082068507
1.283,-0.993290507453971,0.0625001997532324
1.284,-0.993262661690612,0.0629589532177579
1.285,-0.99323459830464,0.0634174693001127
1.286,-0.993206317613478,0.0638757486985038
1.287,-0.993177819932827,0.0643337921096752
1.288,-0.993149105576677,0.0647916002289117
1.289,-0.993120174857312,0.0652491737500412
1.29,-0.993091028085311,0.0657065133654421
1.291,-0.993061665569561,0.0661636197660523
1.292,-0.993032087617257,0.0666204936413698
1.293,-0.993002294533909,0.0670771356794614
1.294,-0.99297228662335,0.0675335465669689
1.295,-0.992942064187738,0.0679897269891118
1.296,-0.992911627527564,0.0684456776296996
1.297,-0.992880976941658,0.0689013991711284
1.298,-0.992850112727191,0.0693568922943912
1.299,-0.992819035179685,0.0698121576790904
1.3,-0.992787744593014,0.0702671960034238
1.301,-0.992756241259415,0.0707220079442152
1.302,-0.992724525469486,0.0711765941769014
1.303,-0.992692597512198,0.071630955375545
1.304,-0.992660457674895,0.0720850922128392
1.305,-0.992628106243306,0.0725390053601139
1.306,-0.992595543501541,0.0729926954873391
1.307,-0.992562769732106,0.0734461632631328
1.308,-0.992529785215899,0.073899409354766
1.309,-0.992496590232221,0.0743524344281651
1.31,-0.992463185058781,0.0748052391479211
1.311,-0.992429569971699,0.0752578241772963
1.312,-0.99239574524551,0.0757101901782214
1.313,-0.992361711153172,0.0761623378113119
1.314,-0.99232746796607,0.0766142677358674
1.315,-0.992293015954019,0.0770659806098756
1.316,-0.992258355385272,0.0775174770900197
1.317,-0.992223486526521,0.0779687578316867
1.318,-0.992188409642908,0.0784198234889694
1.319,-0.992153124998022,0.0788706747146669
1.32,-0.99211763285391,0.0793213121603046
1.321,-0.992081933471077,0.0797717364761201
1.322,-0.992046027108497,0.0802219483110843
1.323,-0.99200991402361,0.0806719483128979
1.324,-0.991973594472333,0.0811217371280044
1.325,-0.991937068709062,0.0815713154015809
1.326,-0.991900336986674,0.0820206837775619
1.327,-0.991863399556537,0.0824698428986311
1.328,-0.991826256668512,0.082918793406229
1.329,-0.991788908570954,0.0833675359405624
1.33,-0.991751355510725,0.0838160711406049
1.331,-0.991713597733188,0.0842643996441065
1.332,-0.991675635482221,0.0847125220875922
1.333,-0.991637469000213,0.0851604391063738
1.334,-0.991599098528075,0.085608151334552
1.335,-0.991560524305242,0.0860556594050196
1.336,-0.991521746569676,0.0865029639494683
1.337,-0.991482765557871,0.0869500655983967
1.338,-0.991443581504858,0.0873969649811099
1.339,-0.991404194644209,0.0878436627257269
1.34,-0.991364605208041,0.0882901594591876
1.341,-0.991324813427021,0.0887364558072531
1.342,-0.991284819530366,0.0891825523945161
1.343,-0.991244623745854,0.0896284498443983
1.344,-0.991204226299824,0.0900741487791656
1.345,-0.991163627417178,0.0905196498199243
1.346,-0.991122827321389,0.0909649535866288
1.347,-0.991081826234505,0.0914100606980888
1.348,-0.99104062437715,0.0918549717719694
1.349,-0.990999221968529,0.0922996874248017
1.35,-0.990957619226433,0.0927442082719782
1.351,-0.990915816367244,0.0931885349277716
1.352,-0.990873813605934,0.0936326680053278
1.353,-0.990831611156074,0.0940766081166753
1.354,-0.990789209229835,0.0945203558727271
1.355,-0.990746608037994,0.0949639118832938
1.356,-0.990703807789934,0.0954072767570753
1.357,-0.990660808693651,0.0958504511016752
1.358,-0.99061761095576,0.0962934355236036
1.359,-0.990574214781489,0.0967362306282809
1.36,-0.990530620374696,0.0971788370200399
1.361,-0.990486827937861,0.0976212553021352
1.362,-0.990442837672096,0.0980634860767447
1.363,-0.990398649777147,0.0985055299449794
1.364,-0.990354264451398,0.0989473875068746
1.365,-0.990309681891874,0.0993890593614121
1.366,-0.990264902294243,0.0998305461065138
1.367,-0.990219925852823,0.100271848339047
1.368,-0.990174752760582,0.100712966654832
1.369,-0.990129383209146,0.101153901648649
1.37,-0.990083817388794,0.101594653914232
1.371,-0.990038055488472,0.102035224044286
1.372,-0.989992097695789,0.102475612630483
1.373,-0.989945944197021,0.102915820263473
1.374,-0.989899595177119,0.103355847532881
1.375,-0.989853050819705,0.103795695027317
1.376,-0.989806311307084,0.104235363334379
1.377,-0.98975937682024,0.104674853040656
1.378,-0.98971224753884,0.105114164731736
1.379,-0.989664923641243,0.105553298992207
1.38,-0.989617405304496,0.105992256405661
1.381,-0.989569692704341,0.106431037554704
1.382,-0.98952178601522,0.106869643020951
1.383,-0.989473685410271,0.107308073385041
1.384,-0.98942539106134,0.107746329226631
1.385,-0.989376903138976,0.10818441112441
1.386,-0.989328221812441,0.108622319656095
1.387,-0.989279347249706,0.109060055398442
1.388,-0.989230279617462,0.109497618927245
1.389,-0.989181019081115,0.109935010817344
1.39,-0.989131565804795,0.110372231642628
1.391,-0.989081919951355,0.11080928197604
1.392,-0.989032081682376,0.111246162389578
1.393,-0.988982051158169,0.111682873454305
1.394,-0.988931828537779,0.112119415740345
1.395,-0.988881413978986,0.112555789816899
1.396,-0.988830807638309,0.112991996252238
1.397,-0.98878000967101,0.113428035613711
1.398,-0.988729020231093,0.113863908467753
1.399,-0.98867783947131,0.114299615379885
1.4,-0.988626467543163,0.114735156914718
1.401,-0.988574904596907,0.115170533635958
1.402,-0.988523150781552,0.115605746106414
1.403,-0.988471206244864,0.116040794887995
1.404,-0.988419071133372,0.116475680541718
1.405,-0.988366745592367,0.116910403627715
1.406,-0.988314229765905,0.117344964705233
1.407,-0.988261523796811,0.117779364332634
1.408,-0.988208627826681,0.118213603067413
1.409,-0.988155541995884,0.118647681466187
1.41,-0.988102266443564,0.119081600084707
1.411,-0.988048801307646,0.119515359477859
1.412,-0.987995146724832,0.119948960199674
1.413,-0.987941302830609,0.120382402803323
1.414,-0.987887269759251,0.120815687841125
1.415,-0.987833047643818,0.121248815864556
1.416,-0.987778636616162,0.121681787424246
1.417,-0.987724036806926,0.122114603069984
1.418,-0.987669248345549,0.122547263350728
1.419,-0.987614271360267,0.122979768814598
1.42,-0.987559105978119,0.123412120008892
1.421,-0.987503752324941,0.123844317480083
1.422,-0.987448210525376,0.124276361773821
1.423,-0.987392480702873,0.124708253434948
1.424,-0.987336562979691,0.125139993007485
1.425,-0.987280457476897,0.125571581034649
1.426,-0.987224164314375,0.126003018058858
1.427,-0.987167683610821,0.12643430462172
1.428,-0.98711101548375,0.126865441264056
1.429,-0.987054160049496,0.12729642852589
1.43,-0.986997117423214,0.127727266946457
1.431,-0.986939887718887,0.128157957064209
1.432,-0.986882471049316,0.12858849941682
1.433,-0.986824867526138,0.129018894541181
1.434,-0.986767077259813,0.129449142973413
1.435,-0.986709100359638,0.12987924524887
1.436,-0.986650936933742,0.130309201902137
1.437,-0.986592587089088,0.130739013467038
1.438,-0.986534050931479,0.131168680476643
1.439,-0.986475328565558,0.131598203463261
1.44,-0.986416420094808,0.132027582958456
1.441,-0.986357325621556,0.132456819493046
1.442,-0.986298045246975,0.132885913597102
1.443,-0.986238579071083,0.133314865799958
1.444,-0.986178927192751,0.133743676630216
1.445,-0.986119089709698,0.134172346615741
1.446,-0.986059066718495,0.134600876283672
1.447,-0.98599885831457,0.135029266160426
1.448,-0.985938464592205,0.135457516771697
1.449,-0.985877885644541,0.135885628642465
1.45,-0.985817121563578,0.136313602296996
1.451,-0.985756172440178,0.136741438258845
1.452,-0.985695038364064,0.137169137050862
1.453,-0.985633719423828,0.137596699195195
1.454,-0.985572215706924,0.138024125213296
1.455,-0.985510527299676,0.138451415625921
1.456,-0.985448654287278,0.138878570953132
1.457,-0.985386596753792,0.139305591714308
1.458,-0.985324354782156,0.139732478428141
1.459,-0.985261928454182,0.140159231612645
1.46,-0.985199317850556,0.140585851785157
1.461,-0.985136523050843,0.141012339462339
1.462,-0.985073544133486,0.141438695160187
1.463,-0.985010381175807,0.141864919394031
1.464,-0.984947034254014,0.142291012678533
1.465,-0.984883503443193,0.142716975527704
1.466,-0.984819788817318,0.143142808454895
1.467,-0.984755890449248,0.14356851197281
1.468,-0.98469180841073,0.143994086593498
1.469,-0.984627542772399,0.144419532828369
1.47,-0.984563093603779,0.144844851188194
1.471,-0.98449846097329,0.145270042183101
1.472,-0.984433644948239,0.145695106322587
1.473,-0.984368645594831,0.146120044115519
1.474,-0.984303462978166,0.146544856070135
1.475,-0.984238097162238,0.146969542694054
1.476,-0.984172548209943,0.14739410449427
1.477,-0.984106816183073,0.147818541977166
1.478,-0.984040901142322,0.148242855648505
1.479,-0.983974803147286,0.148667046013449
1.48,-0.98390852225646,0.149091113576547
1.481,-0.983842058527248,0.149515058841752
1.482,-0.983775412015957,0.14993888231241
1.483,-0.983708582777799,0.150362584491279
1.484,-0.983641570866894,0.15078616588052
1.485,-0.983574376336272,0.151209626981709
1.486,-0.98350699923787,0.151632968295832
1.487,-0.983439439622537,0.152056190323298
1.488,-0.983371697540033,0.152479293563934
1.489,-0.983303773039032,0.152902278516994
1.49,-0.983235666167119,0.15332514568116
1.491,-0.983167376970796,0.153747895554544
1.492,-0.98309890549548,0.154170528634696
1.493,-0.983030251785504,0.154593045418601
1.494,-0.982961415884118,0.155015446402689
1.495,-0.982892397833491,0.155437732082835
1.496,-0.982823197674713,0.15585990295436
1.497,-0.98275381544779,0.156281959512039
1.498,-0.982684251191655,0.156703902250102
1.499,-0.982614504944156,0.157125731662237
1.5,-0.98254457674207,0.157547448241595
1.501,-0.982474466621094,0.157969052480791
1.502,-0.98240417461585,0.15839054487191
1.503,-0.982333700759885,0.158811925906507
1.504,-0.982263045085674,0.159233196075615
1.505,-0.982192207624616,0.159654355869744
1.506,-0.982121188407039,0.160075405778885
1.507,-0.982049987462198,0.160496346292515
1.508,-0.981978604818279,0.1609171778996
1.509,-0.981907040502395,0.161337901088597
1.51,-0.981835294540591,0.161758516347458
1.511,-0.981763366957842,0.162179024163636
1.512,-0.981691257778054,0.162599425024078
1.513,-0.981618967024067,0.163019719415246
1.514,-0.981546494717654,0.163439907823101
1.515,-0.981473840879517,0.163859990733121
1.516,-0.981401005529296,0.164279968630297
1.517,-0.981327988685565,0.164699841999138
1.518,-0.981254790365833,0.165119611323674
1.519,-0.981181410586542,0.165539277087457
1.52,-0.981107849363074,0.165958839773569
1.521,-0.981034106709744,0.166378299864625
1.522,-0.980960182639806,0.166797657842767
1.523,-0.980886077165451,0.167216914189681
1.524,-0.980811790297808,0.16763606938659
1.525,-0.980737322046944,0.16805512391426
1.526,-0.980662672421864,0.168474078253009
1.527,-0.980587841430514,0.168892932882697
1.528,-0.980512829079778,0.169311688282742
1.529,-0.980437635375481,0.169730344932119
1.53,-0.980362260322387,0.170148903309359
1.531,-0.980286703924201,0.17056736389256
1.532,-0.980210966183569,0.170985727159381
1.533,-0.980135047102078,0.171403993587053
1.534,-0.980058946680256,0.17182216365238
1.535,-0.979982664917574,0.172240237831741
1.536,-0.979906201812442,0.172658216601091
1.537,-0.979829557362216,0.17307610043597
1.538,-0.979752731563191,0.173493889811497
1.539,-0.979675724410608,0.173911585202387
1.54,-0.979598535898646,0.17432918708294
1.541,-0.979521166020431,0.174746695927054
1.542,-0.979443614768031,0.175164112208221
1.543,-0.979365882132455,0.175581436399536
1.544,-0.979287968103659,0.175998668973696
1.545,-0.979209872670538,0.176415810403005
1.546,-0.979131595820935,0.176832861159378
1.547,-0.979053137541633,0.177249821714341
1.548,-0.978974497818361,0.177666692539039
1.549,-0.978895676635788,0.178083474104232
1.55,-0.978816673977532,0.178500166880304
1.551,-0.97873748982615,0.178916771337267
1.552,-0.978658124163143,0.179333287944757
1.553,-0.97857857696896,0.179749717172045
1.554,-0.978498848222988,0.180166059488034
1.555,-0.978418937903559,0.180582315361266
1.556,-0.978338845987952,0.180998485259924
1.557,-0.978258572452384,0.181414569651833
1.558,-0.978178117272018,0.181830569004468
1.559,-0.97809748042096,0.18224648378495
1.56,-0.978016661872257,0.182662314460056
1.561,-0.977935661597903,0.183078061496218
1.562,-0.977854479568828,0.183493725359528
1.563,-0.97777311575491,0.183909306515736
1.564,-0.977691570124966,0.184324805430264
1.565,-0.977609842646758,0.184740222568198
1.566,-0.977527933286986,0.185155558394295
1.567,-0.977445842011293,0.185570813372988
1.568,-0.977363568784263,0.185985987968387
1.569,-0.977281113569421,0.186401082644282
1.57,-0.977198476329233,0.186816097864146
1.571,-0.977115657025104,0.187231034091139
1.572,-0.977032655617378,0.18764589178811
1.573,-0.976949472065343,0.188060671417604
1.574,-0.97686610632722,0.188475373441856
1.575,-0.976782558360174,0.188889998322801
1.576,-0.976698828120303,0.189304546522079
1.577,-0.976614915562649,0.189719018501032
1.578,-0.976530820641186,0.190133414720709
1.579,-0.976446543308829,0.190547735641869
1.58,-0.976362083517426,0.19096198172499
1.581,-0.976277441217763,0.191376153430259
1.582,-0.976192616359562,0.191790251217588
1.583,-0.976107608891478,0.192204275546609
1.584,-0.976022418761102,0.19261822687668
1.585,-0.97593704591496,0.193032105666889
1.586,-0.975851490298507,0.193445912376054
1.587,-0.975765751856135,0.193859647462729
1.588,-0.975679830531166,0.194273311385203
1.589,-0.975593726265855,0.194686904601508
1.59,-0.975507439001386,0.19510042756942
1.591,-0.975420968677873,0.195513880746458
1.592,-0.975334315234362,0.195927264589893
1.593,-0.975247478608825,0.19634057955675
1.594,-0.975160458738165,0.196753826103805
1.595,-0.97507325555821,0.197167004687597
1.596,-0.974985869003715,0.197580115764424
1.597,-0.97489829900836,0.197993159790347
1.598,-0.974810545504754,0.198406137221198
1.599,-0.974722608424427,0.198819048512574
1.6,-0.974634487697831,0.199231894119854
1.601,-0.974546183254345,0.199644674498182
1.602,-0.974457695022267,0.20005739010249
1.603,-0.974369022928816,0.200470041387487
1.604,-0.974280166900133,0.200882628807669
1.605,-0.974191126861276,0.201295152817323
1.606,-0.974101902736221,0.20170761387052
1.607,-0.974012494447865,0.20212001242113
1.608,-0.973922901918018,0.202532348922822
1.609,-0.973833125067405,0.202944623829057
1.61,-0.973743163815669,0.203356837593105
1.611,-0.973653018081362,0.203768990668041
1.612,-0.973562687781953,0.204181083506747
1.613,-0.973472172833818,0.204593116561916
1.614,-0.973381473152247,0.20500509028606
1.615,-0.973290588651438,0.205417005131504
1.616,-0.973199519244497,0.205828861550392
1.617,-0.973108264843437,0.206240659994699
1.618,-0.973016825359176,0.206652400916219
1.619,-0.972925200701541,0.207064084766578
1.62,-0.972833390779256,0.207475711997235
1.621,-0.972741395499955,0.207887283059482
1.622,-0.972649214770168,0.20829879840445
1.623,-0.972556848495328,0.208710258483114
1.624,-0.972464296579763,0.209121663746287
1.625,-0.972371558926705,0.209533014644634
1.626,-0.972278635438278,0.209944311628667
1.627,-0.972185526015501,0.210355555148753
1.628,-0.972092230558288,0.210766745655111
1.629,-0.971998748965447,0.211177883597823
1.63,-0.971905081134675,0.211588969426831
1.631,-0.971811226962559,0.212000003591939
1.632,-0.971717186344576,0.212410986542822
1.633,-0.971622959175089,0.212821918729023
1.634,-0.971528545347347,0.213232800599959
