Freq [GHz],S11 (dB)_HFSS,S11 (dB)_milled,S11 (dB)_z0lver
1.346,-32.75493741,-12.761151,-40.15342534
1.347,-32.78367337,-12.755429,-40.10722935
1.348,-32.81249246,-12.763187,-40.06128569
1.349,-32.84139498,-12.745203,-40.015159
1.35,-32.87038124,-12.765609,-39.96901396
1.351,-32.89945154,-12.760235,-39.92304656
1.352,-32.92860621,-12.726353,-39.87719909
1.353,-32.95784553,-12.715969,-39.83131586
1.354,-32.98716981,-12.709761,-39.78556954
1.355,-33.01657934,-12.722479,-39.73968077
1.356,-33.04607443,-12.70496,-39.69386551
1.357,-33.07565536,-12.700505,-39.64830828
1.358,-33.10532242,-12.702676,-39.60266543
1.359,-33.1350759,-12.712203,-39.55696728
1.36,-33.16491608,-12.706594,-39.51160872
1.361,-33.19484324,-12.683537,-39.46598159
1.362,-33.22485766,-12.658545,-39.42054827
1.363,-33.2549596,-12.674579,-39.37508445
1.364,-33.28514932,-12.685009,-39.32970086
1.365,-33.31542711,-12.668787,-39.28441626
1.366,-33.3457932,-12.666016,-39.2392067
1.367,-33.37624786,-12.63821,-39.19391726
1.368,-33.40679134,-12.679544,-39.14867137
1.369,-33.43742387,-12.715051,-39.10353536
1.37,-33.4681457,-12.65029,-39.05847444
1.371,-33.49895705,-12.64798,-39.0134415
1.372,-33.52985816,-12.667698,-38.96844075
1.373,-33.56084924,-12.66653,-38.92349001
1.374,-33.59193051,-12.662646,-38.8786086
1.375,-33.62310218,-12.63265,-38.83379469
1.376,-33.65436444,-12.673115,-38.78885185
1.377,-33.6857175,-12.662674,-38.74406615
1.378,-33.71716154,-12.621721,-38.69947655
1.379,-33.74869674,-12.638366,-38.65468042
1.38,-33.78032327,-12.663168,-38.61015043
1.381,-33.8120413,-12.620677,-38.5654619
1.382,-33.84385097,-12.645923,-38.52077483
1.383,-33.87575244,-12.586795,-38.47633721
1.384,-33.90774585,-12.628514,-38.43184495
1.385,-33.93983131,-12.668638,-38.38734809
1.386,-33.97200896,-12.617715,-38.34308282
1.387,-34.0042789,-12.628587,-38.29878272
1.388,-34.03664122,-12.59855,-38.25439017
1.389,-34.06909601,-12.637269,-38.21004332
1.39,-34.10164336,-12.609239,-38.16586433
1.391,-34.13428332,-12.595481,-38.1216698
1.392,-34.16701594,-12.625184,-38.07732569
1.393,-34.19984128,-12.591109,-38.03345053
1.394,-34.23275934,-12.613761,-37.98935281
1.395,-34.26577016,-12.618769,-37.94534685
1.396,-34.29887372,-12.588959,-37.90139189
1.397,-34.33207002,-12.59104,-37.857374
1.398,-34.36535902,-12.597371,-37.81346812
1.399,-34.39874069,-12.583195,-37.76963455
1.4,-34.43221496,-12.589462,-37.72580272
1.401,-34.46578176,-12.569439,-37.68199925
1.402,-34.499441,-12.580593,-37.63843259
1.403,-34.53319257,-12.547891,-37.59462155
1.404,-34.56703634,-12.52695,-37.55106529
1.405,-34.60097216,-12.572147,-37.50731114
1.406,-34.63499988,-12.599523,-37.46367105
1.407,-34.66911932,-12.542103,-37.42032507
1.408,-34.70333025,-12.55745,-37.37680474
1.409,-34.73763247,-12.536857,-37.33335537
1.41,-34.77202573,-12.54425,-37.28980236
1.411,-34.80650976,-12.550385,-37.24642431
1.412,-34.84108427,-12.540836,-37.20318671
1.413,-34.87574894,-12.545114,-37.1597969
1.414,-34.91050345,-12.528625,-37.11655795
1.415,-34.94534741,-12.496872,-37.0733139
1.416,-34.98028046,-12.512453,-37.03006941
1.417,-35.01530216,-12.546623,-36.98694791
1.418,-35.05041209,-12.517784,-36.94389694
1.419,-35.08560976,-12.500257,-36.90068141
1.42,-35.12089468,-12.532842,-36.85768525
1.421,-35.15626632,-12.502976,-36.8147541
1.422,-35.19172412,-12.504313,-36.77173547
1.423,-35.22726749,-12.500752,-36.72880433
1.424,-35.26289581,-12.525319,-36.6859691
1.425,-35.2986084,-12.495307,-36.643129
1.426,-35.3344046,-12.481102,-36.60026969
1.427,-35.37028365,-12.484646,-36.55753202
1.428,-35.40624481,-12.469987,-36.51472647
1.429,-35.44228727,-12.494802,-36.47201617
1.43,-35.47841018,-12.509837,-36.42939501
1.431,-35.51461268,-12.448646,-36.38674216
1.432,-35.55089382,-12.468114,-36.34409125
1.433,-35.58725266,-12.457664,-36.30147534
1.434,-35.62368819,-12.49973,-36.25901019
1.435,-35.66019935,-12.47795,-36.21656091
1.436,-35.69678504,-12.467426,-36.17415023
1.437,-35.73344413,-12.475399,-36.13169832
1.438,-35.77017542,-12.481684,-36.08932476
1.439,-35.80697766,-12.470711,-36.0468663
1.44,-35.84384957,-12.491996,-36.00448642
1.441,-35.88078979,-12.465849,-35.96225007
1.442,-35.91779693,-12.476897,-35.92012102
1.443,-35.95486954,-12.455421,-35.87795389
1.444,-35.9920061,-12.452504,-35.83558964
1.445,-36.02920504,-12.45406,-35.79353231
1.446,-36.06646473,-12.450354,-35.75136784
1.447,-36.10378349,-12.46664,-35.70929169
1.448,-36.14115955,-12.452461,-35.66729819
1.449,-36.1785911,-12.447443,-35.62524983
1.45,-36.21607626,-12.465715,-35.58337885
1.451,-36.25361306,-12.415556,-35.54137967
1.452,-36.2911995,-12.435392,-35.4994271
1.453,-36.32883348,-12.417856,-35.45752002
1.454,-36.36651283,-12.425457,-35.41572096
1.455,-36.4042353,-12.453527,-35.37395052
1.456,-36.44199859,-12.449038,-35.33208921
1.457,-36.47980029,-12.424198,-35.29040749
1.458,-36.51763793,-12.410737,-35.24875461
1.459,-36.55550895,-12.426619,-35.20706731
1.46,-36.5934107,-12.425918,-35.16539317
1.461,-36.63134045,-12.427717,-35.12383265
1.462,-36.6692954,-12.43375,-35.08217485
1.463,-36.70727262,-12.402994,-35.04069358
1.464,-36.74526912,-12.419906,-34.99911661
1.465,-36.78328181,-12.387307,-34.95774803
1.466,-36.82130748,-12.426105,-34.91639756
1.467,-36.85934286,-12.43951,-34.87491158
1.468,-36.89738456,-12.441298,-34.83357091
1.469,-36.93542908,-12.409904,-34.79215516
1.47,-36.97347282,-12.402188,-34.75091204
1.471,-37.01151209,-12.424417,-34.70959504
1.472,-37.04954307,-12.415396,-34.66835259
1.473,-37.08756183,-12.417686,-34.6271173
1.474,-37.12556435,-12.385045,-34.58589037
1.475,-37.16354646,-12.420631,-34.54477378
1.476,-37.20150391,-12.427084,-34.5036342
1.477,-37.2394323,-12.377132,-34.46255796
1.478,-37.27732713,-12.437115,-34.42144367
1.479,-37.31518376,-12.374469,-34.38044786
1.48,-37.35299744,-12.401087,-34.3394312
1.481,-37.39076327,-12.391182,-34.29847859
1.482,-37.42847625,-12.395792,-34.25750745
1.483,-37.46613122,-12.392961,-34.21671034
1.484,-37.50372291,-12.403731,-34.17569159
1.485,-37.54124591,-12.379709,-34.13495129
1.486,-37.57869466,-12.408459,-34.094116
1.487,-37.61606347,-12.363297,-34.05331548
1.488,-37.65334651,-12.369398,-34.01259358
1.489,-37.69053781,-12.401903,-33.97193776
1.49,-37.72763125,-12.410931,-33.93116941
1.491,-37.76462057,-12.400918,-33.89041975
1.492,-37.80149936,-12.367285,-33.84981787
1.493,-37.83826108,-12.377392,-33.80922905
1.494,-37.87489901,-12.408056,-33.7686276
1.495,-37.9114063,-12.39537,-33.72814798
1.496,-37.94777596,-12.374894,-33.68753835
1.497,-37.98400082,-12.375393,-33.64705525
1.498,-38.02007358,-12.393419,-33.60659265
1.499,-38.05598678,-12.375166,-33.5661905
1.5,-38.09173281,-12.379519,-33.52573481
1.501,-38.12730391,-12.402748,-33.48539973
1.502,-38.16269215,-12.440034,-33.44502393
1.503,-38.19788948,-12.401085,-33.40472321
1.504,-38.23288767,-12.375535,-33.36447844
1.505,-38.26767835,-12.420787,-33.32420094
1.506,-38.30225299,-12.403145,-33.28400811
1.507,-38.33660292,-12.368568,-33.24374746
1.508,-38.37071933,-12.400351,-33.20355651
1.509,-38.40459326,-12.414899,-33.1633745
1.51,-38.43821557,-12.362368,-33.1233574
1.511,-38.47157704,-12.386074,-33.08327063
1.512,-38.50466826,-12.390963,-33.04329624
1.513,-38.53747971,-12.394377,-33.00318497
1.514,-38.57000172,-12.375823,-32.96326414
1.515,-38.6022245,-12.36704,-32.9232635
1.516,-38.63413814,-12.379754,-32.88333637
1.517,-38.66573257,-12.368189,-32.84341688
1.518,-38.69699766,-12.373217,-32.80348081
1.519,-38.72792312,-12.35076,-32.76364541
1.52,-38.75849856,-12.357342,-32.72379022
1.521,-38.7887135,-12.385807,-32.68400028
1.522,-38.81855736,-12.358968,-32.64415847
1.523,-38.84801947,-12.376587,-32.6043971
1.524,-38.87708905,-12.362653,-32.56466265
1.525,-38.90575528,-12.369938,-32.52505079
1.526,-38.93400725,-12.369094,-32.48533715
1.527,-38.96183399,-12.370598,-32.44561815
1.528,-38.98922447,-12.371963,-32.40607057
1.529,-39.01616763,-12.328106,-32.36646547
1.53,-39.04265235,-12.392112,-32.32690706
1.531,-39.06866751,-12.371861,-32.2873832
1.532,-39.09420196,-12.380219,-32.24787066
1.533,-39.11924453,-12.383186,-32.20837552
1.534,-39.14378406,-12.363445,-32.16894095
1.535,-39.16780943,-12.389007,-32.12949926
1.536,-39.19130949,-12.321452,-32.09012399
1.537,-39.21427318,-12.366195,-32.0506928
1.538,-39.23668946,-12.391354,-32.0113625
1.539,-39.25854736,-12.362306,-31.97199581
1.54,-39.27983596,-12.340212,-31.93271903
1.541,-39.30054445,-12.310276,-31.89342773
1.542,-39.32066212,-12.379521,-31.85421455
1.543,-39.34017835,-12.36788,-31.81494909
1.544,-39.35908265,-12.376963,-31.77581575
1.545,-39.37736467,-12.323937,-31.73663378
1.546,-39.39501423,-12.368904,-31.6974212
1.547,-39.41202127,-12.336072,-31.65837855
1.548,-39.42837596,-12.359342,-31.61925549
1.549,-39.44406861,-12.387824,-31.5801438
1.55,-39.45908978,-12.356316,-31.54109719
1.551,-39.47343021,-12.366373,-31.50212507
1.552,-39.48708092,-12.395863,-31.46307645
1.553,-39.50003312,-12.33212,-31.42410206
1.554,-39.51227833,-12.361344,-31.38521367
1.555,-39.5238083,-12.342048,-31.34622252
1.556,-39.53461511,-12.341869,-31.3073922
1.557,-39.54469109,-12.376966,-31.26846233
1.558,-39.55402893,-12.350666,-31.22966651
1.559,-39.56262159,-12.354003,-31.19078967
1.56,-39.57046242,-12.338335,-31.15208521
1.561,-39.57754506,-12.350232,-31.11329831
1.562,-39.58386356,-12.335017,-31.07454962
1.563,-39.58941228,-12.364902,-31.03584179
1.564,-39.59418601,-12.34621,-30.9970881
1.565,-39.59817989,-12.373167,-30.95845026
1.566,-39.60138947,-12.374312,-30.91982741
1.567,-39.60381069,-12.312922,-30.88118565
1.568,-39.60543991,-12.367916,-30.84257215
1.569,-39.60627389,-12.352633,-30.80399365
1.57,-39.60630982,-12.356908,-30.76540912
1.571,-39.60554533,-12.34112,-30.72689002
1.572,-39.60397847,-12.352175,-30.68838246
1.573,-39.6016077,-12.362359,-30.64990842
1.574,-39.59843196,-12.327578,-30.61149037
1.575,-39.59445059,-12.322048,-30.57297847
1.576,-39.5896634,-12.320329,-30.53453696
1.577,-39.58407062,-12.363342,-30.4962348
