"Freq [GHz]","VSWR(1) [] - probe_feed_x='5.7mm'"
1,320.643861141301
1.001,321.231811417469
1.002,321.819055701716
1.003,322.40558508704
1.004,322.991390667887
1.005,323.576463540665
1.006,324.160794803931
1.007,324.744375559075
1.008,325.327196910421
1.009,325.909249965764
1.01,326.490525836756
1.011,327.071015639259
1.012,327.650710493776
1.013,328.229601525844
1.014,328.807679866434
1.015,329.384936652215
1.016,329.961363026189
1.017,330.536950137917
1.018,331.111689143964
1.019,331.68557120828
1.02,332.258587502616
1.021,332.830729206923
1.022,333.401987509836
1.023,333.972353608812
1.024,334.541818710827
1.025,335.110374032623
1.026,335.678010801131
1.027,336.244720253885
1.028,336.810493639429
1.029,337.375322217637
1.03,337.939197260315
1.031,338.502110051305
1.032,339.064051887186
1.033,339.62501407747
1.034,340.184987945074
1.035,340.743964826736
1.036,341.301936073359
1.037,341.858893050491
1.038,342.414827138621
1.039,342.969729733807
1.04,343.523592247697
1.041,344.076406108202
1.042,344.628162759935
1.043,345.17885366443
1.044,345.728470300545
1.045,346.277004165073
1.046,346.824446772943
1.047,347.370789657642
1.048,347.916024371627
1.049,348.460142486806
1.05,349.003135594785
1.051,349.54499530738
1.052,350.085713256941
1.053,350.625281096794
1.054,351.163690501598
1.055,351.700933167722
1.056,352.237000813698
1.057,352.771885180497
1.058,353.305578032108
1.059,353.838071155638
1.06,354.369356362003
1.061,354.899425486139
1.062,355.428270387374
1.063,355.955882949912
1.064,356.482255083083
1.065,357.00737872187
1.066,357.531245827231
1.067,358.053848386381
1.068,358.575178413245
1.069,359.095227948918
1.07,359.613989061821
1.071,360.13145384839
1.072,360.647614433098
1.073,361.162462968966
1.074,361.675991638116
1.075,362.188192651799
1.076,362.699058251011
1.077,363.208580706734
1.078,363.71675232043
1.079,364.22356542409
1.08,364.729012380993
1.081,365.23308558583
1.082,365.735777465073
1.083,366.237080477252
1.084,366.736987113539
1.085,367.235489897934
1.086,367.732581387565
1.087,368.228254173119
1.088,368.722500879161
1.089,369.215314164523
1.09,369.706686722501
1.091,370.196611281322
1.092,370.68508060444
1.093,371.172087490797
1.094,371.657624775257
1.095,372.141685328914
1.096,372.624262059229
1.097,373.105347910764
1.098,373.584935864973
1.099,374.063018940952
1.1,374.539590195491
1.101,375.014642723576
1.102,375.488169658459
1.103,375.960164172157
1.104,376.430619475852
1.105,376.899528819809
1.106,377.366885493986
1.107,377.832682828358
1.108,378.296914192921
1.109,378.759572998224
1.11,379.220652695627
1.111,379.680146777479
1.112,380.13804877754
1.113,380.594352271181
1.114,381.049050875567
1.115,381.502138250126
1.116,381.953608096661
1.117,382.403454159657
1.118,382.851670226643
1.119,383.29825012831
1.12,383.743187738854
1.121,384.186476976204
1.122,384.628111802196
1.123,385.068086222988
1.124,385.506394289202
1.125,385.943030096204
1.126,386.377987784217
1.127,386.811261538748
1.128,387.242845590753
1.129,387.672734216727
1.13,388.100921739175
1.131,388.527402526665
1.132,388.952170993993
1.133,389.375221602698
1.134,389.796548860843
1.135,390.216147323651
1.136,390.634011593419
1.137,391.050136319771
1.138,391.464516199973
1.139,391.877145979092
1.14,392.288020450088
1.141,392.697134454065
1.142,393.104482880518
1.143,393.510060667423
1.144,393.913862801449
1.145,394.315884318136
1.146,394.716120302158
1.147,395.114565887213
1.148,395.511216256573
1.149,395.906066642883
1.15,396.299112328629
1.151,396.690348646062
1.152,397.079770977448
1.153,397.467374755273
1.154,397.853155462158
