"Freq [GHz]","dB(S(3,2)) [] - coupler_x_length='18.8mm' coupler_y_length='18.4mm'","dB(S(4,2)) [] - coupler_x_length='18.8mm' coupler_y_length='18.4mm'","dB(S(4,3)) [] - coupler_x_length='18.8mm' coupler_y_length='18.4mm'"
1.11,-7.446381744171,-5.87917616996098,-7.62939561438104
1.111,-7.44832676025847,-5.87809426877287,-7.63189812022933
1.112,-7.450271890622,-5.87700908236747,-7.63440117997321
1.113,-7.45221713331768,-5.87592060629316,-7.63690478372045
1.114,-7.45416248639797,-5.87482883610196,-7.63940892155724
1.115,-7.45610794791173,-5.87373376734948,-7.641913583548
1.116,-7.45805351590433,-5.87263539559505,-7.64441875973538
1.117,-7.45999918841768,-5.87153371640161,-7.64692444014003
1.118,-7.46194496349039,-5.87042872533586,-7.64943061476063
1.119,-7.46389083915776,-5.86932041796824,-7.65193727357366
1.12,-7.46583681345191,-5.86820878987294,-7.65444440653336
1.121,-7.46778288440186,-5.86709383662797,-7.65695200357162
1.122,-7.46972905003361,-5.86597555381516,-7.65946005459783
1.123,-7.47167530837024,-5.86485393702019,-7.66196854949879
1.124,-7.47362165743197,-5.86372898183267,-7.66447747813861
1.125,-7.47556809523627,-5.86260068384608,-7.66698683035857
1.126,-7.47751461979796,-5.86146903865787,-7.66949659597701
1.127,-7.47946122912929,-5.86033404186947,-7.67200676478921
1.128,-7.48140792124004,-5.85919568908631,-7.67451732656731
1.129,-7.4833546941376,-5.85805397591787,-7.67702827106011
1.13,-7.48530154582711,-5.85690889797769,-7.67953958799303
1.131,-7.48724847431152,-5.85576045088343,-7.68205126706794
1.132,-7.4891954775917,-5.85460863025686,-7.68456329796303
1.133,-7.49114255366657,-5.85345343172391,-7.68707567033276
1.134,-7.49308970053318,-5.85229485091472,-7.68958837380761
1.135,-7.49503691618682,-5.85113288346366,-7.69210139799406
1.136,-7.49698419862113,-5.84996752500933,-7.69461473247442
1.137,-7.49893154582822,-5.84879877119463,-7.69712836680668
1.138,-7.50087895579878,-5.84762661766681,-7.69964229052441
1.139,-7.50282642652219,-5.84645106007743,-7.70215649313663
1.14,-7.50477395598662,-5.84527209408246,-7.70467096412763
1.141,-7.50672154217918,-5.84408971534227,-7.70718569295692
1.142,-7.50866918308603,-5.8429039195217,-7.70970066905898
1.143,-7.51061687669247,-5.84171470229005,-7.71221588184322
1.144,-7.5125646209831,-5.84052205932116,-7.71473132069381
1.145,-7.51451241394194,-5.83932598629341,-7.71724697496948
1.146,-7.51646025355254,-5.83812647888975,-7.7197628340035
1.147,-7.51840813779812,-5.83692353279775,-7.72227888710342
1.148,-7.5203560646617,-5.83571714370965,-7.72479512355099
1.149,-7.5223040321262,-5.83450730732235,-7.72731153260199
1.15,-7.52425203817465,-5.83329401933747,-7.72982810348609
1.151,-7.52620008079023,-5.8320772754614,-7.73234482540672
1.152,-7.52814815795649,-5.83085707140529,-7.73486168754085
1.153,-7.53009626765742,-5.82963340288513,-7.73737867903897
1.154,-7.53204440787765,-5.82840626562177,-7.73989578902476
1.155,-7.53399257660255,-5.82717565534092,-7.74241300659512
1.156,-7.5359407718184,-5.82594156777324,-7.74493032081986
1.157,-7.5378889915125,-5.82470399865437,-7.74744772074165
1.158,-7.53983723367338,-5.82346294372488,-7.7499651953758
1.159,-7.5417854962909,-5.82221839873046,-7.75248273371013
1.16,-7.54373377735638,-5.82097035942181,-7.7550003247048
1.161,-7.54568207486283,-5.81971882155473,-7.75751795729214
1.162,-7.54763038680504,-5.81846378089021,-7.7600356203765
1.163,-7.54957871117977,-5.81720523319438,-7.76255330283407
1.164,-7.55152704598587,-5.81594317423859,-7.76507099351274
1.165,-7.55347538922451,-5.81467759979944,-7.76758868123187
1.166,-7.55542373889925,-5.81340850565884,-7.7701063547822
1.167,-7.55737209301628,-5.81213588760399,-7.77262400292565
1.168,-7.55932044958455,-5.81085974142749,-7.77514161439509
1.169,-7.56126880661596,-5.80958006292732,-7.77765917789425
1.17,-7.5632171621255,-5.80829684790691,-7.78017668209749
1.171,-7.56516551413142,-5.80701009217514,-7.78269411564966
1.172,-7.56711386065545,-5.80571979154647,-7.78521146716589
1.173,-7.56906219972293,-5.80442594184085,-7.78772872523141
1.174,-7.57101052936298,-5.80312853888385,-7.7902458784014
1.175,-7.57295884760874,-5.80182757850667,-7.79276291520078
1.176,-7.57490715249746,-5.80052305654619,-7.79527982412403
1.177,-7.57685544207075,-5.799214968845,-7.797796593635
1.178,-7.57880371437476,-5.79790331125144,-7.80031321216674
1.179,-7.58075196746033,-5.79658807961962,-7.80282966812128
1.18,-7.58270019938317,-5.79526926980953,-7.80534594986946
1.181,-7.58464840820413,-5.79394687768698,-7.80786204575076
1.182,-7.5865965919893,-5.79262089912373,-7.81037794407308
1.183,-7.58854474881024,-5.79129132999747,-7.8128936331125
1.184,-7.59049287674417,-5.78995816619191,-7.81540910111317
1.185,-7.59244097387419,-5.78862140359679,-7.81792433628706
1.186,-7.59438903828943,-5.78728103810789,-7.82043932681376
1.187,-7.59633706808529,-5.78593706562717,-7.82295406084031
1.188,-7.59828506136363,-5.7845894820627,-7.82546852648094
1.189,-7.60023301623296,-5.78323828332879,-7.82798271181694
1.19,-7.60218093080867,-5.78188346534599,-7.83049660489637
1.191,-7.6041288032132,-5.78052502404111,-7.83301019373394
1.192,-7.60607663157632,-5.77916295534733,-7.83552346631071
1.193,-7.60802441403523,-5.77779725520419,-7.83803641057396
1.194,-7.60997214873489,-5.77642791955764,-7.84054901443692
1.195,-7.61191983382815,-5.77505494436011,-7.84306126577857
1.196,-7.61386746747599,-5.77367832557053,-7.84557315244346
1.197,-7.61581504784777,-5.77229805915438,-7.84808466224143
1.198,-7.6177625731214,-5.77091414108372,-7.85059578294743
1.199,-7.61971004148359,-5.76952656733729,-7.8531065023013
1.2,-7.62165745113006,-5.76813533390047,-7.85561680800753
1.201,-7.6236048002658,-5.7667404367654,-7.85812668773504
1.202,-7.62555208710522,-5.76534187193099,-7.86063612911698
1.203,-7.62749930987247,-5.76393963540296,-7.86314511975044
1.204,-7.62944646680159,-5.76253372319392,-7.8656536471963
1.205,-7.63139355613681,-5.76112413132336,-7.86816169897892
1.206,-7.63334057613274,-5.75971085581776,-7.87066926258597
1.207,-7.63528752505461,-5.7582938927106,-7.87317632546818
1.208,-7.63723440117851,-5.7568732380424,-7.87568287503905
1.209,-7.63918120279165,-5.75544888786081,-7.87818889867472
1.21,-7.64112792819256,-5.75402083822059,-7.88069438371362
1.211,-7.64307457569138,-5.75258908518373,-7.88319931745627
1.212,-7.64502114361007,-5.75115362481945,-7.88570368716508
1.213,-7.64696763028266,-5.74971445320426,-7.88820748006404
1.214,-7.6489140340555,-5.74827156642203,-7.89071068333849
1.215,-7.65086035328751,-5.746824960564,-7.89321328413493
1.216,-7.65280658635046,-5.74537463172885,-7.89571526956066
1.217,-7.65475273162915,-5.74392057602277,-7.89821662668364
1.218,-7.65669878752174,-5.74246278955947,-7.90071734253215
1.219,-7.65864475243997,-5.74100126846027,-7.90321740409459
1.22,-7.66059062480942,-5.73953600885409,-7.9057167983192
1.221,-7.66253640306977,-5.73806700687758,-7.90821551211381
1.222,-7.66448208567505,-5.73659425867511,-7.91071353234556
1.223,-7.66642767109394,-5.73511776039886,-7.91321084584064
1.224,-7.66837315781,-5.73363750820882,-7.91570743938409
1.225,-7.67031854432194,-5.73215349827291,-7.91820329971941
1.226,-7.67226382914389,-5.73066572676698,-7.92069841354841
1.227,-7.67420901080569,-5.72917418987489,-7.92319276753089
1.228,-7.67615408785312,-5.72767888378853,-7.92568634828433
1.229,-7.67809905884821,-5.72617980470792,-7.92817914238372
1.23,-7.68004392236951,-5.72467694884124,-7.93067113636116
1.231,-7.68198867701233,-5.72317031240485,-7.9331623167057
1.232,-7.68393332138906,-5.7216598916234,-7.93565266986296
1.233,-7.68587785412942,-5.72014568272985,-7.93814218223493
1.234,-7.68782227388078,-5.71862768196556,-7.94063084017963
1.235,-7.68976657930838,-5.71710588558028,-7.94311863001086
1.236,-7.69171076909568,-5.71558028983227,-7.9456055379979
1.237,-7.69365484194458,-5.71405089098833,-7.94809155036523
1.238,-7.69559879657578,-5.71251768532383,-7.95057665329221
1.239,-7.69754263172899,-5.71098066912281,-7.95306083291285
1.24,-7.69948634616329,-5.70943983867801,-7.95554407531545
1.241,-7.70142993865739,-5.70789519029095,-7.95802636654233
1.242,-7.70337340800991,-5.70634672027196,-7.96050769258955
1.243,-7.70531675303968,-5.70479442494023,-7.9629880394066
1.244,-7.70725997258609,-5.70323830062391,-7.96546739289607
1.245,-7.7092030655093,-5.70167834366014,-7.96794573891341
1.246,-7.71114603069059,-5.70011455039509,-7.97042306326654
1.247,-7.71308886703268,-5.69854691718408,-7.97289935171562
1.248,-7.71503157345998,-5.69697544039156,-7.97537458997268
1.249,-7.71697414891893,-5.69540011639122,-7.97784876370139
1.25,-7.71891659237829,-5.69382094156605,-7.98032185851666
1.251,-7.72085890282946,-5.69223791230838,-7.98279385998434
1.252,-7.72280107928677,-5.69065102501993,-7.98526475362098
1.253,-7.72474312078782,-5.68906027611193,-7.98773452489341
1.254,-7.72668502639376,-5.68746566200509,-7.9902031592185
1.255,-7.72862679518959,-5.68586717912973,-7.99267064196277
1.256,-7.73056842628455,-5.68426482392585,-7.99513695844212
1.257,-7.73250991881233,-5.68265859284313,-7.99760209392148
1.258,-7.73445127193148,-5.68104848234103,-8.00006603361448
1.259,-7.73639248482567,-5.67943448888885,-8.00252876268312
1.26,-7.73833355670404,-5.6778166089658,-8.00499026623745
1.261,-7.74027448680149,-5.67619483906107,-8.00745052933523
1.262,-7.74221527437906,-5.67456917567383,-8.00990953698157
1.263,-7.74415591872416,-5.67293961531337,-8.01236727412863
1.264,-7.74609641915101,-5.67130615449916,-8.01482372567526
1.265,-7.74803677500088,-5.66966878976087,-8.01727887646667
1.266,-7.74997698564244,-5.66802751763844,-8.01973271129405
1.267,-7.75191705047211,-5.66638233468219,-8.02218521489426
1.268,-7.75385696891436,-5.66473323745285,-8.0246363719495
1.269,-7.7557967404221,-5.66308022252162,-8.0270861670869
1.27,-7.75773636447691,-5.66142328647027,-8.0295345848782
1.271,-7.75967584058947,-5.65976242589119,-8.03198160983941
1.272,-7.76161516829988,-5.65809763738743,-8.03442722643044
1.273,-7.76355434717794,-5.65642891757282,-8.03687141905474
1.274,-7.76549337682354,-5.654756263072,-8.03931417205891
1.275,-7.76743225686702,-5.65307967052049,-8.04175546973243
1.276,-7.76937098696944,-5.65139913656478,-8.04419529630717
1.277,-7.77130956682296,-5.64971465786239,-8.04663363595713
1.278,-7.77324799615121,-5.64802623108194,-8.04907047279802
1.279,-7.77518627470959,-5.64633385290319,-8.0515057908869
1.28,-7.77712440228563,-5.64463752001717,-8.05393957422181
1.281,-7.77906237869937,-5.64293722912621,-8.05637180674139
1.282,-7.78100020380365,-5.641232976944,-8.0588024723245
1.283,-7.78293787748449,-5.6395247601957,-8.06123155478986
1.284,-7.78487539966146,-5.637812575618,-8.06365903789566
1.285,-7.786812770288,-5.63609641995917,-8.06608490533917
1.286,-7.78874998935178,-5.63437628997914,-8.06850914075634
1.287,-7.79068705687506,-5.6326521824496,-8.07093172772149
1.288,-7.79262397291506,-5.63092409415406,-8.07335264974682
1.289,-7.79456073756427,-5.62919202188789,-8.07577189028208
1.29,-7.79649735095086,-5.62745596245846,-8.07818943271415
1.291,-7.79843381323901,-5.62571591268515,-8.08060526036669
1.292,-7.80037012462928,-5.62397186939946,-8.08301935649967
1.293,-7.80230628535895,-5.62222382944508,-8.08543170430906
1.294,-7.80424229570241,-5.62047178967798,-8.08784228692633
1.295,-7.80617815597152,-5.61871574696645,-8.09025108741815
1.296,-7.80811386651594,-5.6169556981912,-8.09265808878589
1.297,-7.81004942772355,-5.61519164024547,-8.09506327396528
1.298,-7.81198484002075,-5.61342357003501,-8.09746662582598
1.299,-7.81392010387289,-5.61165148447829,-8.09986812717116
1.3,-7.81585521978459,-5.60987538050647,-8.10226776073709
1.301,-7.81779018830015,-5.60809525506352,-8.10466550919273
1.302,-7.81972501000388,-5.60631110510631,-8.10706135513931
1.303,-7.82165968552051,-5.6045229276047,-8.10945528110993
1.304,-7.82359421551552,-5.60273071954156,-8.1118472695691
1.305,-7.82552860069554,-5.6009344779129,-8.11423730291233
1.306,-7.82746284180873,-5.59913419972797,-8.11662536346573
1.307,-7.82939693964513,-5.59732988200927,-8.11901143348556
1.308,-7.83133089503706,-5.59552152179272,-8.1213954951578
1.309,-7.83326470885946,-5.59370911612766,-8.12377753059772
1.31,-7.83519838203033,-5.591892662077,-8.12615752184945
1.311,-7.83713191551104,-5.59007215671724,-8.12853545088554
1.312,-7.83906531030674,-5.58824759713865,-8.13091129960655
1.313,-7.84099856746675,-5.58641898044523,-8.13328504984056
1.314,-7.84293168808495,-5.58458630375488,-8.13565668334274
1.315,-7.8448646733001,-5.58274956419947,-8.13802618179495
1.316,-7.84679752429629,-5.58090875892494,-8.14039352680526
1.317,-7.84873024230329,-5.5790638850913,-8.14275869990749
1.318,-7.85066282859696,-5.57721493987287,-8.14512168256077
1.319,-7.85259528449959,-5.5753619204582,-8.14748245614912
1.32,-7.85452761138032,-5.57350482405029,-8.14984100198096
1.321,-7.85645981065553,-5.5716436478666,-8.15219730128865
1.322,-7.85839188378921,-5.56977838913919,-8.15455133522805
1.323,-7.86032383229335,-5.56790904511475,-8.15690308487807
1.324,-7.86225565772834,-5.56603561305475,-8.15925253124017
1.325,-7.86418736170335,-5.5641580902355,-8.16159965523794
1.326,-7.86611894587673,-5.56227647394822,-8.16394443771659
1.327,-7.86805041195637,-5.56039076149919,-8.16628685944252
1.328,-7.86998176170015,-5.5585009502098,-8.16862690110284
1.329,-7.87191299691627,-5.55660703741663,-8.17096454330487
1.33,-7.87384411946369,-5.55470902047158,-8.1732997665757
1.331,-7.8757751312525,-5.55280689674193,-8.17563255136171
1.332,-7.8777060342443,-5.55090066361048,-8.17796287802807
1.333,-7.87963683045263,-5.54899031847558,-8.18029072685827
1.334,-7.88156752194337,-5.54707585875126,-8.18261607805365
1.335,-7.88349811083507,-5.54515728186735,-8.18493891173291
1.336,-7.88542859929943,-5.54323458526952,-8.18725920793161
1.337,-7.88735898956166,-5.54130776641944,-8.1895769466017
1.338,-7.88928928390085,-5.5393768227948,-8.19189210761103
1.339,-7.89121948465041,-5.53744175188947,-8.19420467074283
1.34,-7.89314959419848,-5.53550255121359,-8.19651461569526
1.341,-7.89507961498828,-5.53355921829363,-8.19882192208088
1.342,-7.89700954951854,-5.53161175067253,-8.20112656942617
1.343,-7.89893940034391,-5.52966014590978,-8.203428537171
1.344,-7.90086917007533,-5.52770440158153,-8.2057278046682
1.345,-7.90279886138047,-5.52574451528067,-8.20802435118297
1.346,-7.90472847698411,-5.52378048461695,-8.21031815589244
1.347,-7.90665801966855,-5.52181230721709,-8.21260919788511
1.348,-7.90858749227399,-5.51983998072486,-8.21489745616038
1.349,-7.91051689769899,-5.51786350280119,-8.21718290962804
1.35,-7.9124462389008,-5.51588287112427,-8.21946553710776
1.351,-7.91437551889583,-5.51389808338966,-8.22174531732849
1.352,-7.91630474076003,-5.51190913731041,-8.2240222289281
1.353,-7.91823390762929,-5.50991603061713,-8.22629625045271
1.354,-7.92016302269984,-5.50791876105813,-8.22856736035629
1.355,-7.92209208922869,-5.50591732639948,-8.23083553700003
1.356,-7.92402111053402,-5.50391172442516,-8.23310075865191
1.357,-7.92595008999556,-5.50190195293719,-8.23536300348614
1.358,-7.92787903105502,-5.49988800975563,-8.23762224958258
1.359,-7.92980793721653,-5.49786989271882,-8.23987847492631
1.36,-7.93173681204701,-5.4958475996834,-8.24213165740701
1.361,-7.93366565917658,-5.49382112852444,-8.24438177481851
1.362,-7.93559448229897,-5.49179047713559,-8.24662880485818
1.363,-7.93752328517197,-5.48975564342913,-8.24887272512643
1.364,-7.93945207161777,-5.48771662533611,-8.25111351312617
1.365,-7.94138084552345,-5.48567342080647,-8.25335114626227
1.366,-7.94330961084131,-5.48362602780915,-8.25558560184103
1.367,-7.94523837158936,-5.48157444433218,-8.25781685706963
1.368,-7.94716713185167,-5.47951866838282,-8.26004488905556
1.369,-7.94909589577881,-5.47745869798766,-8.2622696748061
1.37,-7.95102466758826,-5.47539453119275,-8.26449119122778
1.371,-7.95295345156483,-5.47332616606368,-8.26670941512583
1.372,-7.95488225206106,-5.47125360068575,-8.26892432320361
1.373,-7.95681107349762,-5.46917683316403,-8.27113589206206
1.374,-7.95873992036376,-5.46709586162353,-8.27334409819916
1.375,-7.9606687972177,-5.46501068420927,-8.27554891800937
1.376,-7.96259770868705,-5.46292129908642,-8.27775032778308
1.377,-7.96452665946922,-5.46082770444045,-8.27994830370604
1.378,-7.96645565433183,-5.45872989847717,-8.28214282185881
1.379,-7.96838469811315,-5.45662787942296,-8.28433385821617
1.38,-7.97031379572249,-5.45452164552478,-8.28652138864662
1.381,-7.97224295214061,-5.45241119505034,-8.28870538891176
1.382,-7.97417217242017,-5.45029652628828,-8.29088583466572
1.383,-7.97610146168612,-5.44817763754817,-8.29306270145467
1.384,-7.9780308251361,-5.44605452716075,-8.29523596471614
1.385,-7.97996026804089,-5.44392719347798,-8.29740559977854
1.386,-7.98188979574481,-5.44179563487318,-8.29957158186057
1.387,-7.98381941366616,-5.43965984974121,-8.30173388607061
1.388,-7.98574912729759,-5.4375198364985,-8.30389248740618
1.389,-7.98767894220653,-5.43537559358326,-8.30604736075337
1.39,-7.98960886403566,-5.43322711945555,-8.30819848088625
1.391,-7.99153889850326,-5.43107441259745,-8.31034582246628
1.392,-7.99346905140366,-5.42891747151317,-8.31248936004177
1.393,-7.99539932860765,-5.4267562947292,-8.31462906804727
1.394,-7.9973297360629,-5.42459088079436,-8.316764920803
1.395,-7.99926027979439,-5.42242122828007,-8.31889689251426
1.396,-8.0011909659048,-5.42024733578034,-8.32102495727087
1.397,-8.00312180057495,-5.41806920191201,-8.32314908904656
1.398,-8.0050527900642,-5.41588682531481,-8.32526926169841
1.399,-8.0069839407109,-5.41370020465152,-8.32738544896624
1.4,-8.00891525893278,-5.41150933860814,-8.32949762447203
1.401,-8.01084675122738,-5.40931422589395,-8.33160576171935
1.402,-8.01277842417246,-5.40711486524171,-8.33370983409276
1.403,-8.01471028442642,-5.40491125540776,-8.33580981485721
1.404,-8.01664233872874,-5.40270339517217,-8.33790567715747
1.405,-8.01857459390039,-5.40049128333889,-8.33999739401751
1.406,-8.0205070568442,-5.39827491873585,-8.34208493833997
1.407,-8.02243973454537,-5.39605430021514,-8.34416828290547
1.408,-8.02437263407181,-5.39382942665315,-8.34624740037211
1.409,-8.02630576257461,-5.39160029695065,-8.34832226327483
1.41,-8.02823912728842,-5.389366910033,-8.35039284402481
1.411,-8.03017273553191,-5.38712926485028,-8.35245911490891
1.412,-8.03210659470816,-5.3848873603774,-8.35452104808903
1.413,-8.03404071230509,-5.38264119561426,-8.35657861560154
1.414,-8.03597509589587,-5.3803907695859,-8.35863178935671
1.415,-8.03790975313935,-5.37813608134264,-8.36068054113803
1.416,-8.03984469178051,-5.37587712996025,-8.3627248426017
1.417,-8.04177991965079,-5.37361391454002,-8.36476466527599
1.418,-8.04371544466864,-5.37134643420902,-8.36679998056063
1.419,-8.0456512748398,-5.36907468812013,-8.36883075972625
1.42,-8.04758741825784,-5.36679867545229,-8.37085697391374
1.421,-8.04952388310451,-5.36451839541058,-8.37287859413367
1.422,-8.05146067765017,-5.3622338472264,-8.37489559126571
1.423,-8.05339781025425,-5.3599450301576,-8.37690793605798
1.424,-8.0553352893656,-5.35765194348868,-8.3789155991265
1.425,-8.05727312352299,-5.35535458653087,-8.38091855095456
1.426,-8.05921132135545,-5.35305295862235,-8.38291676189212
1.427,-8.06114989158279,-5.35074705912835,-8.38491020215521
1.428,-8.06308884301592,-5.34843688744135,-8.38689884182538
1.429,-8.06502818455732,-5.3461224429812,-8.38888265084901
1.43,-8.06696792520145,-5.34380372519528,-8.39086159903677
1.431,-8.06890807403521,-5.3414807335587,-8.39283565606301
1.432,-8.07084864023827,-5.33915346757438,-8.39480479146516
1.433,-8.07278963308361,-5.3368219267733,-8.39676897464309
1.434,-8.07473106193781,-5.33448611071455,-8.39872817485862
1.435,-8.07667293626161,-5.3321460189856,-8.40068236123477
1.436,-8.0786152656102,-5.3298016512024,-8.40263150275528
1.437,-8.08055805963373,-5.32745300700953,-8.40457556826395
1.438,-8.08250132807772,-5.32510008608041,-8.40651452646408
1.439,-8.08444508078342,-5.32274288811743,-8.40844834591786
1.44,-8.0863893276883,-5.32038141285211,-8.41037699504574
1.441,-8.08833407882644,-5.31801566004529,-8.41230044212587
1.442,-8.09027934432897,-5.31564562948725,-8.41421865529352
