Freq,S11_HFSS,S22_HFSS,S33_HFSS,S44_HFSS,S11_Milled,S22_Milled,S33_Milled,S44_Milled
1.022,-4.171602777,-4.184394583,-4.162927283,-4.151091328,-4.7571001,-4.8001804,-4.5425611,-4.7614775
1.023,-4.169689384,-4.182502476,-4.160991407,-4.149164728,-4.7824807,-4.8059669,-4.5753794,-4.7229271
1.024,-4.167777925,-4.180612246,-4.159057514,-4.14724016,-4.7666965,-4.8323565,-4.580317,-4.7688437
1.025,-4.16586841,-4.178723897,-4.157125611,-4.145317631,-4.7364326,-4.8276644,-4.5643725,-4.7931275
1.026,-4.163960843,-4.176837437,-4.155195704,-4.143397147,-4.8029871,-4.8263888,-4.5775862,-4.7351613
1.027,-4.162055231,-4.174952873,-4.1532678,-4.141478716,-4.7286696,-4.7973814,-4.5656662,-4.780272
1.028,-4.160151582,-4.173070212,-4.151341906,-4.139562342,-4.7726688,-4.8550901,-4.5726047,-4.7843332
1.029,-4.158249901,-4.171189459,-4.149418028,-4.137648034,-4.7601976,-4.8223143,-4.5687456,-4.7440286
1.03,-4.156350195,-4.169310622,-4.147496172,-4.135735798,-4.7681403,-4.8279524,-4.5522537,-4.7701921
1.031,-4.154452471,-4.167433708,-4.145576345,-4.133825639,-4.7124114,-4.7739701,-4.5296984,-4.7668958
1.032,-4.152556735,-4.165558723,-4.143658554,-4.131917564,-4.7901711,-4.8340802,-4.6004405,-4.7467623
1.033,-4.150662994,-4.163685674,-4.141742805,-4.130011581,-4.7507715,-4.817883,-4.5617504,-4.7626553
1.034,-4.148771254,-4.161814567,-4.139829105,-4.128107694,-4.7702441,-4.8163333,-4.5534163,-4.7767644
1.035,-4.146881522,-4.159945409,-4.137917459,-4.126205911,-4.7509656,-4.7865543,-4.5373354,-4.7573247
1.036,-4.144993804,-4.158078207,-4.136007875,-4.124306238,-4.7559109,-4.7894063,-4.5340538,-4.7891669
1.037,-4.143108107,-4.156212966,-4.13410036,-4.122408682,-4.7272625,-4.7696123,-4.5380049,-4.7726765
1.038,-4.141224437,-4.154349695,-4.132194918,-4.120513249,-4.7486148,-4.8062353,-4.5555763,-4.7579708
1.039,-4.139342801,-4.1524884,-4.130291558,-4.118619944,-4.7765698,-4.8120713,-4.5620785,-4.74546
1.04,-4.137463204,-4.150629086,-4.128390284,-4.116728776,-4.7116957,-4.8004551,-4.5450807,-4.7704701
1.041,-4.135585655,-4.148771761,-4.126491105,-4.114839749,-4.7787046,-4.8371072,-4.5700989,-4.7627835
1.042,-4.133710158,-4.146916431,-4.124594025,-4.11295287,-4.7633381,-4.8003235,-4.5732613,-4.7488794
1.043,-4.13183672,-4.145063102,-4.122699052,-4.111068146,-4.7553163,-4.8011675,-4.5273199,-4.7234354
1.044,-4.129965348,-4.143211782,-4.120806192,-4.109185582,-4.7365985,-4.806499,-4.5159349,-4.7360315
1.045,-4.128096048,-4.141362477,-4.118915451,-4.107305186,-4.7733192,-4.8201032,-4.552422,-4.7775998
1.046,-4.126228827,-4.139515192,-4.117026835,-4.105426963,-4.7314315,-4.7660899,-4.5101089,-4.7673192
1.047,-4.12436369,-4.137669936,-4.115140351,-4.10355092,-4.733006,-4.7905455,-4.540103,-4.7301288
1.048,-4.122500645,-4.135826713,-4.113256006,-4.101677062,-4.7422976,-4.8079648,-4.5503888,-4.7501864
1.049,-4.120639697,-4.133985532,-4.111373805,-4.099805397,-4.7057252,-4.7718844,-4.5217261,-4.7457938
1.05,-4.118780852,-4.132146397,-4.109493754,-4.09793593,-4.7135539,-4.781383,-4.5331206,-4.7526822
1.051,-4.116924118,-4.130309316,-4.107615861,-4.096068667,-4.7329679,-4.7787232,-4.5371494,-4.7268939
1.052,-4.1150695,-4.128474295,-4.10574013,-4.094203615,-4.7097306,-4.7697101,-4.5094051,-4.7700796
1.053,-4.113217005,-4.12664134,-4.10386657,-4.09234078,-4.7176619,-4.787147,-4.5403481,-4.7330008
1.054,-4.111366639,-4.124810458,-4.101995185,-4.090480169,-4.7223034,-4.784801,-4.5462389,-4.7523274
1.055,-4.109518408,-4.122981655,-4.100125982,-4.088621786,-4.7165179,-4.796804,-4.5513797,-4.7427692
1.056,-4.107672318,-4.121154938,-4.098258968,-4.086765639,-4.7748885,-4.7825356,-4.5482154,-4.7315807
1.057,-4.105828376,-4.119330313,-4.096394147,-4.084911733,-4.695076,-4.7486339,-4.4929852,-4.7137032
1.058,-4.103986588,-4.117507786,-4.094531528,-4.083060075,-4.7664223,-4.8104472,-4.5688152,-4.7496195
1.059,-4.10214696,-4.115687364,-4.092671115,-4.08121067,-4.7384453,-4.7729092,-4.5394878,-4.7317762
1.06,-4.100309499,-4.113869053,-4.090812915,-4.079363525,-4.7153373,-4.7674627,-4.5147433,-4.7489958
1.061,-4.098474209,-4.112052859,-4.088956934,-4.077518646,-4.7162862,-4.7751598,-4.5243773,-4.7488561
1.062,-4.096641099,-4.110238789,-4.087103178,-4.075676039,-4.7527847,-4.7563314,-4.5277214,-4.7258735
1.063,-4.094810173,-4.108426848,-4.085251654,-4.07383571,-4.7136421,-4.763176,-4.5105524,-4.7051821
1.064,-4.092981438,-4.106617045,-4.083402367,-4.071997665,-4.707418,-4.7695265,-4.5093288,-4.740447
1.065,-4.0911549,-4.104809383,-4.081555324,-4.07016191,-4.6993608,-4.7689157,-4.5064154,-4.7072387
1.066,-4.089330566,-4.103003871,-4.07971053,-4.068328451,-4.7131796,-4.767931,-4.5107965,-4.7437015
1.067,-4.087508441,-4.101200513,-4.077867992,-4.066497294,-4.7095413,-4.7737641,-4.5229292,-4.7311106
1.068,-4.085688531,-4.099399317,-4.076027716,-4.064668445,-4.7105527,-4.7402205,-4.5060163,-4.7096219
1.069,-4.083870842,-4.097600288,-4.074189707,-4.06284191,-4.6970644,-4.7630434,-4.5145683,-4.7382483
1.07,-4.082055382,-4.095803434,-4.072353973,-4.061017695,-4.7164326,-4.7497125,-4.4954553,-4.7321424
1.071,-4.080242154,-4.094008759,-4.070520518,-4.059195805,-4.7157679,-4.7828145,-4.5386057,-4.7073865
1.072,-4.078431167,-4.09221627,-4.068689349,-4.057376247,-4.7052298,-4.764123,-4.5021214,-4.699729
1.073,-4.076622425,-4.090425974,-4.066860472,-4.055559027,-4.7235155,-4.8007784,-4.5217199,-4.6785054
1.074,-4.074815935,-4.088637876,-4.065033893,-4.053744151,-4.6873293,-4.7422171,-4.4831233,-4.7224317
1.075,-4.073011703,-4.086851983,-4.063209617,-4.051931624,-4.7262821,-4.7716641,-4.5101986,-4.7137327
1.076,-4.071209734,-4.0850683,-4.061387652,-4.050121452,-4.6916723,-4.7528753,-4.5128226,-4.7166619
1.077,-4.069410035,-4.083286835,-4.059568002,-4.048313642,-4.6993065,-4.7286048,-4.491919,-4.7418137
1.078,-4.067612612,-4.081507593,-4.057750673,-4.046508198,-4.7177186,-4.7810512,-4.4991465,-4.7048616
1.079,-4.065817471,-4.07973058,-4.055935672,-4.044705127,-4.7045979,-4.7540283,-4.5084662,-4.696034
1.08,-4.064024617,-4.077955802,-4.054123005,-4.042904435,-4.697001,-4.7429643,-4.4873466,-4.702527
1.081,-4.062234056,-4.076183265,-4.052312677,-4.041106128,-4.6758428,-4.711246,-4.476644,-4.7010627
1.082,-4.060445795,-4.074412976,-4.050504694,-4.03931021,-4.7002592,-4.7488217,-4.4835997,-4.6988516
1.083,-4.05865984,-4.072644941,-4.048699062,-4.037516689,-4.6987453,-4.7766795,-4.4792895,-4.6874781
1.084,-4.056876195,-4.070879165,-4.046895787,-4.035725569,-4.6794763,-4.722827,-4.4655361,-4.6960979
1.085,-4.055094868,-4.069115655,-4.045094875,-4.033936857,-4.6708717,-4.7455549,-4.4697385,-4.6916699
1.086,-4.053315864,-4.067354416,-4.043296331,-4.032150558,-4.6922665,-4.7555165,-4.5140719,-4.697659
1.087,-4.051539189,-4.065595455,-4.041500162,-4.030366678,-4.660491,-4.7454877,-4.463069,-4.6710391
1.088,-4.049764848,-4.063838778,-4.039706372,-4.028585223,-4.6768999,-4.7407336,-4.476223,-4.6883841
1.089,-4.047992848,-4.06208439,-4.037914969,-4.026806198,-4.6881728,-4.7466898,-4.4934025,-4.6839461
1.09,-4.046223195,-4.060332298,-4.036125958,-4.02502961,-4.7045932,-4.7583604,-4.5085421,-4.6535354
1.091,-4.044455893,-4.058582508,-4.034339343,-4.023255462,-4.6742592,-4.7496333,-4.4738531,-4.6745734
1.092,-4.04269095,-4.056835025,-4.032555133,-4.021483763,-4.6816373,-4.7519784,-4.4951763,-4.6872888
1.093,-4.04092837,-4.055089855,-4.030773331,-4.019714516,-4.6658473,-4.7137976,-4.4608631,-4.6745715
1.094,-4.03916816,-4.053347005,-4.028993943,-4.017947728,-4.6781964,-4.7184153,-4.4684019,-4.6767502
1.095,-4.037410325,-4.05160648,-4.027216976,-4.016183404,-4.6642399,-4.7380743,-4.4809222,-4.655395
1.096,-4.035654871,-4.049868286,-4.025442436,-4.01442155,-4.6782298,-4.7452869,-4.4925332,-4.6781259
1.097,-4.033901804,-4.04813243,-4.023670326,-4.012662171,-4.6683726,-4.7003675,-4.4648976,-4.6847916
1.098,-4.03215113,-4.046398916,-4.021900655,-4.010905273,-4.6780481,-4.7109714,-4.4633927,-4.6879787
1.099,-4.030402853,-4.044667751,-4.020133426,-4.009150862,-4.6772494,-4.7417574,-4.5142894,-4.6669888
1.1,-4.028656981,-4.042938941,-4.018368646,-4.007398943,-4.6930642,-4.756,-4.4929104,-4.6757355
1.101,-4.026913518,-4.041212491,-4.01660632,-4.005649521,-4.6835632,-4.7224069,-4.4733644,-4.6514688
1.102,-4.02517247,-4.039488408,-4.014846454,-4.003902602,-4.6768684,-4.7154303,-4.4997134,-4.7030034
1.103,-4.023433843,-4.037766696,-4.013089053,-4.002158192,-4.6922593,-4.758924,-4.4779768,-4.6513643
1.104,-4.021697643,-4.036047363,-4.011334124,-4.000416297,-4.6894956,-4.7415452,-4.4777741,-4.6832981
1.105,-4.019963875,-4.034330414,-4.009581671,-3.99867692,-4.6762805,-4.721067,-4.4889927,-4.6866441
1.106,-4.018232544,-4.032615853,-4.007831701,-3.996940069,-4.6703372,-4.7281575,-4.4783125,-4.6982489
1.107,-4.016503657,-4.030903689,-4.006084218,-3.995205748,-4.6744847,-4.7636051,-4.4866796,-4.6611686
1.108,-4.014777219,-4.029193925,-4.004339228,-3.993473963,-4.6457233,-4.7131305,-4.4667072,-4.6626897
1.109,-4.013053235,-4.027486568,-4.002596737,-3.991744719,-4.6496425,-4.6922388,-4.4373984,-4.6794043
1.11,-4.011331712,-4.025781623,-4.000856751,-3.990018022,-4.6579132,-4.698689,-4.4494019,-4.6662822
1.111,-4.009612654,-4.024079097,-3.999119274,-3.988293877,-4.65166,-4.6883712,-4.4733706,-4.6346779
1.112,-4.007896068,-4.022378994,-3.997384312,-3.986572289,-4.6848388,-4.7188835,-4.4947438,-4.6914897
1.113,-4.006181958,-4.020681321,-3.995651872,-3.984853264,-4.6719275,-4.7299328,-4.4794068,-4.6800179
1.114,-4.00447033,-4.018986084,-3.993921957,-3.983136807,-4.7016873,-4.7490807,-4.4599161,-4.6860609
1.115,-4.00276119,-4.017293287,-3.992194574,-3.981422924,-4.6307325,-4.722403,-4.4354081,-4.7105517
1.116,-4.001054544,-4.015602936,-3.990469728,-3.97971162,-4.6653485,-4.735599,-4.4801984,-4.7095165
1.117,-3.999350396,-4.013915038,-3.988747424,-3.978002899,-4.625484,-4.6625686,-4.4478192,-4.6629734
1.118,-3.997648752,-4.012229598,-3.987027668,-3.976296768,-4.6509485,-4.7381296,-4.4700441,-4.6825533
1.119,-3.995949618,-4.010546621,-3.985310465,-3.974593232,-4.6326623,-4.7198982,-4.4534702,-4.6806092
1.12,-3.994252998,-4.008866113,-3.983595821,-3.972892296,-4.6442304,-4.702641,-4.4745574,-4.6866808
1.121,-3.9925589,-4.00718808,-3.98188374,-3.971193964,-4.6573091,-4.7023044,-4.4613919,-4.6938639
1.122,-3.990867327,-4.005512526,-3.980174229,-3.969498243,-4.6548009,-4.7191596,-4.4635987,-4.6739626
1.123,-3.989178285,-4.003839459,-3.978467293,-3.967805138,-4.6575432,-4.7240553,-4.4665098,-4.6522145
1.124,-3.98749178,-4.002168883,-3.976762936,-3.966114654,-4.6180911,-4.6819925,-4.4287701,-4.6555123
1.125,-3.985807817,-4.000500803,-3.975061165,-3.964426795,-4.6519136,-4.7287388,-4.4726887,-4.6708627
1.126,-3.984126402,-3.998835226,-3.973361984,-3.962741568,-4.6522708,-4.692255,-4.4440742,-4.6546144
1.127,-3.982447539,-3.997172157,-3.971665398,-3.961058977,-4.6660094,-4.7210522,-4.4555521,-4.6419754
1.128,-3.980771234,-3.9955116,-3.969971414,-3.959379027,-4.6681156,-4.7175894,-4.4637852,-4.6830301
1.129,-3.979097493,-3.993853563,-3.968280036,-3.957701725,-4.6467452,-4.7182183,-4.4610472,-4.7202754
1.13,-3.97742632,-3.99219805,-3.966591269,-3.956027074,-4.6440125,-4.6972632,-4.4606142,-4.6908789
1.131,-3.975757721,-3.990545067,-3.964905119,-3.954355079,-4.6151133,-4.6958208,-4.4294543,-4.6818943
1.132,-3.974091702,-3.988894618,-3.963221591,-3.952685747,-4.6513867,-4.6893978,-4.4405937,-4.6743317
1.133,-3.972428266,-3.987246711,-3.96154069,-3.951019082,-4.6552181,-4.7177558,-4.4793258,-4.68607
1.134,-3.970767421,-3.985601349,-3.959862421,-3.949355089,-4.6162243,-4.7164183,-4.4338565,-4.6704173
1.135,-3.969109171,-3.983958539,-3.95818679,-3.947693773,-4.6525917,-4.7331681,-4.4569364,-4.6933169
1.136,-3.967453521,-3.982318285,-3.956513801,-3.946035139,-4.6507096,-4.7141371,-4.4559045,-4.6702623
1.137,-3.965800476,-3.980680594,-3.95484346,-3.944379193,-4.6763787,-4.7183332,-4.466918,-4.6732535
1.138,-3.964150042,-3.97904547,-3.953175772,-3.942725938,-4.6039991,-4.6994066,-4.4703178,-4.675528
1.139,-3.962502224,-3.977412919,-3.951510741,-3.941075381,-4.6378059,-4.7525144,-4.4582176,-4.6490774
1.14,-3.960857027,-3.975782946,-3.949848374,-3.939427526,-4.6483164,-4.7072196,-4.4681172,-4.6726084
1.141,-3.959214456,-3.974155556,-3.948188675,-3.937782378,-4.6527929,-4.6979365,-4.4577188,-4.6779227
1.142,-3.957574516,-3.972530756,-3.946531649,-3.936139943,-4.6526327,-4.709578,-4.474401,-4.687911
1.143,-3.955937213,-3.970908549,-3.944877301,-3.934500224,-4.6341262,-4.6850152,-4.455986,-4.6704893
1.144,-3.954302551,-3.969288942,-3.943225637,-3.932863228,-4.6491308,-4.7293348,-4.4992552,-4.6417661
1.145,-3.952670536,-3.96767194,-3.94157666,-3.931228958,-4.6147866,-4.6937861,-4.4529676,-4.6823711
1.146,-3.951041173,-3.966057547,-3.939930377,-3.92959742,-4.6020622,-4.6678448,-4.4491949,-4.6733775
1.147,-3.949414467,-3.96444577,-3.938286793,-3.927968619,-4.5801744,-4.6347179,-4.4177179,-4.6706762
1.148,-3.947790422,-3.962836613,-3.936645912,-3.926342559,-4.6462045,-4.7096009,-4.465786,-4.6603699
1.149,-3.946169045,-3.961230082,-3.935007739,-3.924719246,-4.6425085,-4.6981173,-4.4756932,-4.644177
1.15,-3.944550339,-3.959626182,-3.933372279,-3.923098684,-4.6302028,-4.7018552,-4.4657698,-4.6711378
1.151,-3.942934311,-3.958024917,-3.931739537,-3.921480878,-4.6113644,-4.6971064,-4.425293,-4.650455
1.152,-3.941320965,-3.956426294,-3.930109519,-3.919865833,-4.6415777,-4.7046065,-4.4325066,-4.6781187
1.153,-3.939710305,-3.954830317,-3.928482228,-3.918253553,-4.6069474,-4.6761374,-4.4529114,-4.6712098
1.154,-3.938102338,-3.953236992,-3.926857671,-3.916644044,-4.6319089,-4.6982751,-4.4221182,-4.660109
1.155,-3.936497068,-3.951646323,-3.925235851,-3.915037311,-4.6118221,-4.6737442,-4.4438019,-4.6872334
1.156,-3.9348945,-3.950058316,-3.923616774,-3.913433357,-4.6048498,-4.6762633,-4.4288702,-4.6751881
1.157,-3.933294639,-3.948472976,-3.922000445,-3.911832188,-4.5915594,-4.6990309,-4.4351149,-4.6535082
1.158,-3.93169749,-3.946890308,-3.920386868,-3.910233809,-4.6014829,-4.6797667,-4.4215837,-4.650301
1.159,-3.930103057,-3.945310317,-3.918776048,-3.908638223,-4.6069946,-4.7103133,-4.4541845,-4.6773486
1.16,-3.928511347,-3.943733009,-3.917167991,-3.907045437,-4.6156907,-4.6721821,-4.4142642,-4.6598406
1.161,-3.926922363,-3.942158387,-3.9155627,-3.905455454,-4.5992198,-4.6852679,-4.459733,-4.6475744
1.162,-3.92533611,-3.940586458,-3.913960181,-3.90386828,-4.5973697,-4.684761,-4.4258227,-4.6572995
1.163,-3.923752594,-3.939017226,-3.912360439,-3.902283918,-4.6285439,-4.7037249,-4.4491191,-4.6549473
1.164,-3.922171819,-3.937450696,-3.910763478,-3.900702374,-4.583684,-4.6874604,-4.4258933,-4.6478934
1.165,-3.92059379,-3.935886874,-3.909169302,-3.899123653,-4.622313,-4.6801267,-4.4289913,-4.6516161
1.166,-3.919018513,-3.934325764,-3.907577918,-3.897547758,-4.6037097,-4.6709042,-4.4213605,-4.6504025
1.167,-3.917445991,-3.932767371,-3.905989329,-3.895974694,-4.6017222,-4.6841645,-4.424912,-4.6507301
1.168,-3.915876229,-3.931211701,-3.90440354,-3.894404467,-4.586504,-4.6831098,-4.4292741,-4.6244245
1.169,-3.914309233,-3.929658758,-3.902820557,-3.89283708,-4.6305695,-4.6912761,-4.4495249,-4.643054
1.17,-3.912745007,-3.928108547,-3.901240382,-3.891272538,-4.5935111,-4.6511636,-4.4024439,-4.6465821
1.171,-3.911183556,-3.926561073,-3.899663023,-3.889710846,-4.6182137,-4.7017217,-4.4260454,-4.6496429
1.172,-3.909624885,-3.925016341,-3.898088482,-3.888152009,-4.5951395,-4.692234,-4.4366136,-4.6071644
1.173,-3.908068998,-3.923474356,-3.896516764,-3.88659603,-4.6215172,-4.6936789,-4.430841,-4.6399469
1.174,-3.9065159,-3.921935123,-3.894947875,-3.885042914,-4.627172,-4.691287,-4.4295254,-4.6425934
1.175,-3.904965597,-3.920398647,-3.893381819,-3.883492667,-4.5917945,-4.6610856,-4.4148879,-4.6111732
1.176,-3.903418091,-3.918864932,-3.8918186,-3.881945291,-4.5783629,-4.6843557,-4.4215617,-4.6448927
1.177,-3.901873389,-3.917333983,-3.890258223,-3.880400792,-4.6275272,-4.7275214,-4.4654918,-4.6553025
1.178,-3.900331495,-3.915805806,-3.888700693,-3.878859175,-4.596148,-4.6567535,-4.42942,-4.6038923
1.179,-3.898792414,-3.914280405,-3.887146014,-3.877320443,-4.6058116,-4.7063179,-4.4229512,-4.6560597
1.18,-3.89725615,-3.912757785,-3.885594191,-3.875784601,-4.5891061,-4.6476111,-4.4500675,-4.5990262
1.181,-3.895722707,-3.91123795,-3.884045228,-3.874251653,-4.6169491,-4.7080722,-4.442379,-4.598084
1.182,-3.894192091,-3.909720906,-3.882499131,-3.872721605,-4.5591755,-4.6665411,-4.4428902,-4.6220818
1.183,-3.892664307,-3.908206657,-3.880955902,-3.87119446,-4.5994158,-4.6350121,-4.4062018,-4.6127634
1.184,-3.891139358,-3.906695208,-3.879415547,-3.869670222,-4.6220908,-4.6757593,-4.4475398,-4.630724
1.185,-3.889617249,-3.905186564,-3.877878071,-3.868148896,-4.6131363,-4.7050357,-4.4373803,-4.6275373
1.186,-3.888097986,-3.903680729,-3.876343477,-3.866630487,-4.6094956,-4.6721525,-4.4328895,-4.6318803
1.187,-3.886581571,-3.902177708,-3.874811771,-3.865114998,-4.6145973,-4.6923623,-4.4155006,-4.6403871
1.188,-3.885068011,-3.900677507,-3.873282956,-3.863602435,-4.5703835,-4.6391191,-4.3970337,-4.6166301
1.189,-3.88355731,-3.899180128,-3.871757038,-3.8620928,-4.5875058,-4.6629057,-4.4266438,-4.6397157
1.19,-3.882049471,-3.897685579,-3.87023402,-3.8605861,-4.5915351,-4.6756768,-4.4143896,-4.589313
1.191,-3.8805445,-3.896193862,-3.868713907,-3.859082337,-4.5952878,-4.6357312,-4.3926234,-4.6269374
1.192,-3.879042401,-3.894704982,-3.867196704,-3.857581516,-4.5890031,-4.6518064,-4.4206691,-4.6245742
1.193,-3.877543179,-3.893218945,-3.865682414,-3.856083642,-4.5976405,-4.7017031,-4.4425435,-4.6406093
1.194,-3.876046837,-3.891735755,-3.864171043,-3.854588718,-4.57932,-4.6679111,-4.4139595,-4.650825
1.195,-3.874553381,-3.890255416,-3.862662594,-3.853096749,-4.6058207,-4.6666994,-4.4269714,-4.6057153
1.196,-3.873062815,-3.888777933,-3.861157072,-3.851607739,-4.5838218,-4.6264033,-4.3772388,-4.6321392
1.197,-3.871575144,-3.887303311,-3.859654481,-3.850121692,-4.5841942,-4.6814494,-4.4208884,-4.6391482
1.198,-3.870090371,-3.885831554,-3.858154826,-3.848638613,-4.6018672,-4.6525898,-4.4342618,-4.6286516
1.199,-3.868608501,-3.884362666,-3.85665811,-3.847158506,-4.6002116,-4.6824961,-4.4296904,-4.6128368
1.2,-3.867129539,-3.882896654,-3.855164339,-3.845681374,-4.5628457,-4.6603599,-4.4036865,-4.6222444
1.201,-3.865653489,-3.88143352,-3.853673516,-3.844207222,-4.5796785,-4.6611295,-4.418694,-4.5876136
1.202,-3.864180356,-3.879973269,-3.852185645,-3.842736054,-4.5850334,-4.6620798,-4.4071646,-4.6253414
1.203,-3.862710143,-3.878515906,-3.850700731,-3.841267874,-4.606503,-4.6627393,-4.4364481,-4.6299968
1.204,-3.861242855,-3.877061436,-3.849218779,-3.839802686,-4.5987701,-4.6643472,-4.4371839,-4.6405973
1.205,-3.859778496,-3.875609862,-3.847739792,-3.838340495,-4.5841298,-4.6553097,-4.4299269,-4.6406994
1.206,-3.858317071,-3.87416119,-3.846263774,-3.836881304,-4.6026373,-4.6820884,-4.4331737,-4.6113806
1.207,-3.856858584,-3.872715423,-3.84479073,-3.835425118,-4.5980968,-4.6680126,-4.4054923,-4.5964632
1.208,-3.855403039,-3.871272567,-3.843320665,-3.83397194,-4.5652094,-4.6444445,-4.4143448,-4.624496
1.209,-3.853950441,-3.869832626,-3.841853581,-3.832521774,-4.5788722,-4.6496491,-4.4102621,-4.6636691
1.21,-3.852500794,-3.868395603,-3.840389483,-3.831074625,-4.5741787,-4.668931,-4.4037876,-4.6519284
1.211,-3.851054101,-3.866961504,-3.838928376,-3.829630497,-4.5764055,-4.6446624,-4.4194484,-4.6336875
1.212,-3.849610368,-3.865530333,-3.837470264,-3.828189394,-4.5701303,-4.687336,-4.4131603,-4.5970192
1.213,-3.848169599,-3.864102094,-3.83601515,-3.826751318,-4.6099796,-4.6667418,-4.4347301,-4.6029658
1.214,-3.846731797,-3.862676792,-3.834563039,-3.825316276,-4.5919819,-4.6633639,-4.4246011,-4.6377721
1.215,-3.845296968,-3.861254431,-3.833113935,-3.82388427,-4.5712833,-4.6340175,-4.4077764,-4.6294594
1.216,-3.843865114,-3.859835014,-3.831667842,-3.822455304,-4.5500188,-4.6670489,-4.3863482,-4.6023011
1.217,-3.842436241,-3.858418548,-3.830224764,-3.821029383,-4.5710344,-4.6335187,-4.4132981,-4.6513095
1.218,-3.841010352,-3.857005036,-3.828784705,-3.81960651,-4.5714765,-4.6209598,-4.4099073,-4.6367774
1.219,-3.839587452,-3.855594481,-3.827347669,-3.818186689,-4.5327911,-4.6493959,-4.3851123,-4.6392479
1.22,-3.838167545,-3.85418689,-3.82591366,-3.816769924,-4.5827556,-4.6554804,-4.4354157,-4.6060348
1.221,-3.836750634,-3.852782265,-3.824482682,-3.815356219,-4.5865064,-4.6397619,-4.4278464,-4.612637
1.222,-3.835336725,-3.851380611,-3.82305474,-3.813945578,-4.5597248,-4.6551924,-4.3882022,-4.6075048
1.223,-3.83392582,-3.849981932,-3.821629837,-3.812538004,-4.5667214,-4.6553946,-4.4205718,-4.6322279
1.224,-3.832517925,-3.848586233,-3.820207977,-3.811133502,-4.5436668,-4.6626196,-4.4045577,-4.6115851
1.225,-3.831113044,-3.847193518,-3.818789164,-3.809732075,-4.5677042,-4.6426086,-4.4155202,-4.6474175
1.226,-3.829711179,-3.845803791,-3.817373402,-3.808333728,-4.5900927,-4.6691165,-4.413794,-4.6245184
1.227,-3.828312336,-3.844417056,-3.815960695,-3.806938463,-4.5864506,-4.6924677,-4.4480686,-4.6211638
1.228,-3.826916519,-3.843033317,-3.814551047,-3.805546285,-4.575531,-4.6465106,-4.4384022,-4.6276369
1.229,-3.82552373,-3.841652579,-3.813144462,-3.804157198,-4.6022644,-4.6406817,-4.4111576,-4.6255107
1.23,-3.824133976,-3.840274845,-3.811740944,-3.802771205,-4.5675554,-4.6304512,-4.4073553,-4.6341586
1.231,-3.822747259,-3.838900121,-3.810340496,-3.801388309,-4.5515351,-4.6514964,-4.4202418,-4.6040053
