Freq,Milled,HFSS,Measured
1.148,-17.436338,-23.1361095,-12.805744
1.149,-17.447868,-23.06760744,-12.823571
1.15,-17.410194,-22.99981609,-12.806271
1.151,-17.362003,-22.93272496,-12.77269
1.152,-17.504377,-22.86632382,-12.861679
1.153,-17.435246,-22.80060269,-12.794287
1.154,-17.480047,-22.73555185,-12.809492
1.155,-17.454102,-22.67116181,-12.819274
1.156,-17.570204,-22.6074233,-12.922907
1.157,-17.581697,-22.54432731,-12.898378
1.158,-17.543293,-22.481865,-12.892617
1.159,-17.5446,-22.42002778,-12.892515
1.16,-17.57238,-22.35880724,-12.912749
1.161,-17.618269,-22.29819518,-12.960869
1.162,-17.637768,-22.23818359,-12.948498
1.163,-17.749607,-22.17876465,-13.025177
1.164,-17.630598,-22.1199307,-12.935189
1.165,-17.701077,-22.06167428,-13.00677
1.166,-17.699274,-22.00398809,-12.979464
1.167,-17.719561,-21.946865,-13.033546
1.168,-17.889469,-21.89029802,-13.102138
1.169,-17.82806,-21.83428036,-13.077596
1.17,-17.855904,-21.77880533,-13.091343
1.171,-17.836088,-21.72386642,-13.081511
1.172,-17.855265,-21.66945725,-13.104813
1.173,-17.898146,-21.61557159,-13.114578
1.174,-17.882687,-21.56220333,-13.148647
1.175,-18.004578,-21.50934651,-13.200229
1.176,-17.879421,-21.45699529,-13.137897
1.177,-17.935484,-21.40514394,-13.152691
1.178,-17.988035,-21.35378687,-13.210076
1.179,-18.046047,-21.3029186,-13.244893
1.18,-18.070816,-21.25253378,-13.264914
1.181,-18.056068,-21.20262714,-13.27408
1.182,-18.039421,-21.15319354,-13.26985
1.183,-18.170458,-21.10422796,-13.336796
1.184,-18.194551,-21.05572545,-13.326201
1.185,-18.207203,-21.00768118,-13.362179
1.186,-18.26531,-20.96009043,-13.406686
1.187,-18.268951,-20.91294855,-13.402479
1.188,-18.359953,-20.866251,-13.470081
1.189,-18.319427,-20.81999332,-13.47072
1.19,-18.341286,-20.77417115,-13.497215
1.191,-18.318747,-20.72878021,-13.502545
1.192,-18.427845,-20.68381632,-13.530644
1.193,-18.377115,-20.63927535,-13.524514
1.194,-18.504829,-20.59515328,-13.632785
1.195,-18.491232,-20.55144615,-13.594916
1.196,-18.570589,-20.50815009,-13.643495
1.197,-18.608776,-20.46526131,-13.664136
1.198,-18.629816,-20.42277607,-13.710268
1.199,-18.599226,-20.38069071,-13.645123
1.2,-18.647507,-20.33900167,-13.715448
1.201,-18.769279,-20.2977054,-13.778945
1.202,-18.780672,-20.25679848,-13.798922
1.203,-18.834181,-20.21627751,-13.82391
1.204,-18.826769,-20.17613917,-13.827678
1.205,-18.842804,-20.1363802,-13.868996
1.206,-18.963089,-20.09699741,-13.93221
1.207,-18.985888,-20.05798766,-13.951394
1.208,-19.04303,-20.01934786,-14.012984
1.209,-19.048317,-19.981075,-14.008398
1.21,-19.149979,-19.94316612,-14.06354
1.211,-19.216835,-19.90561829,-14.061399
1.212,-19.189045,-19.86842867,-14.114368
1.213,-19.264175,-19.83159445,-14.13463
1.214,-19.343946,-19.79511287,-14.223868
1.215,-19.380505,-19.75898123,-14.190263
1.216,-19.360842,-19.72319689,-14.236895
1.217,-19.455421,-19.68775722,-14.300697
1.218,-19.517076,-19.65265968,-14.309083
1.219,-19.468838,-19.61790176,-14.318674
1.22,-19.643276,-19.58348098,-14.449356
1.221,-19.588388,-19.54939493,-14.387443
1.222,-19.684681,-19.51564124,-14.516567
1.223,-19.745232,-19.48221756,-14.542422
1.224,-19.849392,-19.4491216,-14.539208
1.225,-19.896206,-19.41635112,-14.647514
1.226,-19.919937,-19.3839039,-14.621543
1.227,-19.971727,-19.35177778,-14.696596
1.228,-20.070318,-19.31997062,-14.731874
1.229,-20.194136,-19.28848034,-14.771545
1.23,-20.266277,-19.25730486,-14.877384
1.231,-20.339424,-19.22644219,-14.921619
1.232,-20.369576,-19.19589034,-14.960539
1.233,-20.291737,-19.16564735,-14.890889
1.234,-20.440025,-19.13571133,-15.035924
1.235,-20.53886,-19.10608039,-15.051967
1.236,-20.64925,-19.07675269,-15.135891
1.237,-20.680887,-19.04772643,-15.21317
1.238,-20.818647,-19.01899983,-15.259404
1.239,-20.771198,-18.99057114,-15.248617
1.24,-20.83544,-18.96243865,-15.296338
1.241,-20.968163,-18.93460069,-15.387328
1.242,-21.05484,-18.9070556,-15.432903
1.243,-21.187424,-18.87980176,-15.551167
1.244,-21.205791,-18.85283758,-15.57618
1.245,-21.293432,-18.82616151,-15.615528
1.246,-21.411037,-18.799772,-15.723091
1.247,-21.490911,-18.77366756,-15.747705
1.248,-21.579268,-18.74784671,-15.865686
1.249,-21.743952,-18.72230801,-15.904852
1.25,-21.755024,-18.69705003,-15.978193
1.251,-21.861393,-18.67207137,-16.055214
1.252,-21.979906,-18.64737068,-16.055267
1.253,-22.03215,-18.62294661,-16.11471
1.254,-22.119946,-18.59879784,-16.20281
1.255,-22.274971,-18.57492308,-16.29796
1.256,-22.412291,-18.55132107,-16.427145
1.257,-22.660425,-18.52799056,-16.49699
1.258,-22.597103,-18.50493035,-16.493822
1.259,-22.642059,-18.48213923,-16.559834
1.26,-22.824625,-18.45961604,-16.702177
1.261,-22.934698,-18.43735963,-16.756975
1.262,-23.007109,-18.41536888,-16.826408
1.263,-23.245634,-18.39364269,-16.943741
1.264,-23.243216,-18.37217998,-16.966864
1.265,-23.457352,-18.3509797,-17.066059
1.266,-23.595158,-18.33004081,-17.189335
1.267,-23.645937,-18.3093623,-17.216948
1.268,-23.817783,-18.28894319,-17.362843
1.269,-23.84782,-18.2687825,-17.367342
1.27,-24.125393,-18.24887928,-17.52017
1.271,-24.128374,-18.22923262,-17.549463
1.272,-24.422001,-18.2098416,-17.697334
1.273,-24.520403,-18.19070534,-17.769903
1.274,-24.715624,-18.17182297,-17.911095
1.275,-24.813295,-18.15319365,-18.059502
1.276,-25.001421,-18.13481655,-18.127438
1.277,-25.249292,-18.11669086,-18.294016
1.278,-25.422464,-18.09881581,-18.314146
1.279,-25.503584,-18.08119061,-18.424582
1.28,-25.664862,-18.06381452,-18.568617
1.281,-25.897717,-18.04668682,-18.650932
1.282,-26.08713,-18.02980679,-18.788416
1.283,-26.379686,-18.01317374,-18.949139
1.284,-26.555159,-17.996787,-19.050821
1.285,-26.848253,-17.9806459,-19.205868
1.286,-26.891798,-17.96474982,-19.271143
1.287,-27.147751,-17.94909813,-19.389322
1.288,-27.512836,-17.93369024,-19.60844
1.289,-27.775476,-17.91852556,-19.783527
1.29,-28.214348,-17.90360352,-20.007395
1.291,-28.098267,-17.88892357,-19.98457
1.292,-28.578135,-17.87448519,-20.19096
1.293,-28.861612,-17.86028786,-20.369904
1.294,-29.0578,-17.84633108,-20.479992
1.295,-29.566223,-17.83261438,-20.721468
1.296,-29.799679,-17.8191373,-20.868021
1.297,-29.828733,-17.80589938,-20.902363
1.298,-30.454296,-17.79290021,-21.181835
1.299,-30.549477,-17.78013936,-21.321562
1.3,-31.167568,-17.76761645,-21.485117
1.301,-31.509932,-17.7553311,-21.705013
1.302,-32.198898,-17.74328295,-21.973398
1.303,-32.210831,-17.73147164,-22.064039
1.304,-32.815357,-17.71989686,-22.35832
1.305,-33.222347,-17.7085583,-22.529121
1.306,-33.956722,-17.69745565,-22.711823
1.307,-34.453899,-17.68658863,-22.942907
1.308,-35.113804,-17.675957,-23.230841
1.309,-36.122082,-17.66556049,-23.53443
1.31,-36.177345,-17.65539889,-23.577106
1.311,-37.454903,-17.64547197,-23.925758
1.312,-38.407475,-17.63577953,-24.282166
1.313,-39.568439,-17.62632141,-24.483704
1.314,-39.634399,-17.61709743,-24.754145
1.315,-40.410217,-17.60810744,-25.093166
1.316,-42.00602,-17.59935131,-25.394873
1.317,-44.196301,-17.59082893,-25.776432
1.318,-44.075748,-17.58254018,-25.988335
1.319,-45.906204,-17.574485,-26.537979
1.32,-45.967251,-17.56666331,-26.725246
1.321,-45.412643,-17.55907506,-27.094124
1.322,-45.288322,-17.55172021,-27.546261
1.323,-44.061108,-17.54459874,-27.881763
1.324,-42.617901,-17.53771065,-28.541115
1.325,-41.068474,-17.53105596,-29.062143
1.326,-40.770977,-17.52463468,-29.364729
1.327,-39.031204,-17.51844688,-30.095627
1.328,-38.079693,-17.5124926,-30.673178
1.329,-37.262695,-17.50677193,-31.22986
1.33,-36.439999,-17.50128496,-31.932398
1.331,-35.785999,-17.49603181,-32.55822
1.332,-35.042702,-17.49101259,-33.34325
1.333,-34.160152,-17.48622746,-34.386055
1.334,-33.679459,-17.48167657,-35.208813
1.335,-33.386951,-17.47736011,-36.08799
1.336,-32.314842,-17.47327826,-37.71434
1.337,-32.021126,-17.46943124,-38.835987
1.338,-31.359838,-17.46581928,-40.09037
1.339,-30.93075,-17.46244262,-41.63752
1.34,-30.553642,-17.45930152,-43.109791
1.341,-30.108042,-17.45639626,-42.962555
1.342,-29.80574,-17.45372715,-42.615295
1.343,-29.25428,-17.45129448,-41.004467
1.344,-29.016653,-17.44909861,-40.769066
1.345,-28.348898,-17.44713986,-38.477013
1.346,-28.096581,-17.44541862,-36.914825
1.347,-27.667852,-17.44393526,-35.765675
1.348,-27.484602,-17.44269019,-35.071251
1.349,-27.132944,-17.44168383,-33.958462
1.35,-26.785074,-17.44091662,-32.869484
1.351,-26.474007,-17.44038901,-31.990078
1.352,-26.239063,-17.44010148,-31.583572
1.353,-25.901176,-17.44005452,-30.68149
1.354,-25.822077,-17.44024865,-30.387196
1.355,-25.315659,-17.44068439,-29.191648
1.356,-25.073309,-17.44136231,-28.658794
1.357,-24.885828,-17.44228297,-28.234579
1.358,-24.564137,-17.44344695,-27.571678
1.359,-24.389837,-17.44485487,-27.209249
1.36,-24.072149,-17.44650735,-26.629822
1.361,-23.845264,-17.44840505,-26.193369
1.362,-23.61698,-17.45054863,-25.762722
1.363,-23.457809,-17.45293879,-25.383898
1.364,-23.224752,-17.45557622,-24.973352
1.365,-22.927538,-17.45846166,-24.50128
1.366,-22.807505,-17.46159587,-24.251505
1.367,-22.610819,-17.46497961,-23.937145
1.368,-22.373266,-17.46861367,-23.53594
1.369,-22.184067,-17.47249888,-23.184778
1.37,-21.94529,-17.47663607,-22.820709
1.371,-21.827364,-17.4810261,-22.587086
1.372,-21.607821,-17.48566984,-22.280615
1.373,-21.408108,-17.49056821,-21.955732
1.374,-21.291733,-17.49572213,-21.755491
1.375,-21.028492,-17.50113255,-21.406952
1.376,-20.842684,-17.50680044,-21.123861
1.377,-20.697357,-17.5127268,-20.876394
1.378,-20.584047,-17.51891265,-20.693878
1.379,-20.395016,-17.52535903,-20.435207
1.38,-20.191051,-17.53206702,-20.13019
1.381,-20.069889,-17.53903771,-19.935589
1.382,-19.94379,-17.54627222,-19.766045
1.383,-19.749346,-17.5537717,-19.475363
1.384,-19.614267,-17.5615373,-19.273941
1.385,-19.485931,-17.56957025,-19.099819
1.386,-19.280355,-17.57787174,-18.841545
1.387,-19.176357,-17.58644305,-18.660671
1.388,-19.003426,-17.59528544,-18.436922
1.389,-18.829241,-17.60440023,-18.221189
1.39,-18.674294,-17.61378874,-18.002434
1.391,-18.552244,-17.62345235,-17.83296
1.392,-18.456915,-17.63339243,-17.689745
1.393,-18.325163,-17.64361042,-17.494213
1.394,-18.173838,-17.65410776,-17.31377
1.395,-18.016809,-17.66488593,-17.107685
1.396,-17.909628,-17.67594645,-16.951157
1.397,-17.74905,-17.68729087,-16.779152
1.398,-17.647573,-17.69892074,-16.632267
1.399,-17.538221,-17.7108377,-16.460976
1.4,-17.376978,-17.72304336,-16.276964
1.401,-17.292763,-17.73553941,-16.148808
1.402,-17.117847,-17.74832756,-15.972034
1.403,-17.043404,-17.76140954,-15.842677
1.404,-16.908251,-17.77478713,-15.673677
1.405,-16.786415,-17.78846215,-15.505256
1.406,-16.634119,-17.80243643,-15.338668
1.407,-16.579649,-17.81671188,-15.234306
1.408,-16.403559,-17.8312904,-15.058498
1.409,-16.322132,-17.84617397,-14.925671
1.41,-16.215097,-17.86136457,-14.767853
1.411,-16.112196,-17.87686425,-14.660368
1.412,-15.975821,-17.89267509,-14.50379
1.413,-15.901539,-17.9087992,-14.414101
1.414,-15.779436,-17.92523874,-14.269061
1.415,-15.677053,-17.94199593,-14.147608
1.416,-15.524044,-17.959073,-13.993786
1.417,-15.504036,-17.97647224,-13.899899
1.418,-15.336009,-17.99419599,-13.742213
1.419,-15.262686,-18.01224664,-13.634045
1.42,-15.15447,-18.03062659,-13.515936
1.421,-15.069255,-18.04933834,-13.379499
1.422,-14.949397,-18.0683844,-13.245656
1.423,-14.853564,-18.08776734,-13.142305
1.424,-14.780207,-18.10748979,-13.054441
1.425,-14.647188,-18.12755441,-12.910704
1.426,-14.55376,-18.14796394,-12.815766
1.427,-14.474969,-18.16872114,-12.69803
1.428,-14.36772,-18.18982885,-12.570549
1.429,-14.247943,-18.21128995,-12.449692
1.43,-14.195098,-18.2331074,-12.381109
1.431,-14.077326,-18.25528418,-12.230699
1.432,-14.000314,-18.27782337,-12.152761
1.433,-13.923655,-18.30072807,-12.044801
1.434,-13.806906,-18.32400148,-11.926534
1.435,-13.729222,-18.34764682,-11.836363
1.436,-13.624713,-18.37166742,-11.724623
1.437,-13.549671,-18.39606664,-11.646062
1.438,-13.464335,-18.42084793,-11.542763
1.439,-13.377592,-18.44601478,-11.436631
1.44,-13.288806,-18.47157078,-11.348696
1.441,-13.21555,-18.49751957,-11.243827
1.442,-13.149858,-18.52386488,-11.157016
1.443,-13.026491,-18.5506105,-11.054545
1.444,-12.960053,-18.5777603,-10.968769
1.445,-12.8832,-18.60531823,-10.850883
1.446,-12.76862,-18.63328832,-10.750057
1.447,-12.766007,-18.66167467,-10.694292
1.448,-12.63341,-18.69048149,-10.578985
1.449,-12.528759,-18.71971305,-10.485081
1.45,-12.481749,-18.74937371,-10.446529
1.451,-12.392831,-18.77946793,-10.319058
1.452,-12.335015,-18.81000026,-10.24724
1.453,-12.228847,-18.84097533,-10.1321
1.454,-12.16449,-18.87239788,-10.073112
1.455,-12.109537,-18.90427275,-10.02543
1.456,-12.019197,-18.93660486,-9.9083548
1.457,-11.953959,-18.96939926,-9.8287506
1.458,-11.887455,-19.00266109,-9.7600002
1.459,-11.786569,-19.0363956,-9.6755648
1.46,-11.727951,-19.07060814,-9.5820742
1.461,-11.637087,-19.10530421,-9.5175781
1.462,-11.559363,-19.14048938,-9.458169
1.463,-11.485647,-19.17616937,-9.3783236
1.464,-11.43184,-19.21235001,-9.2998428
1.465,-11.392743,-19.24903727,-9.2046928
1.466,-11.326194,-19.28623723,-9.1656628
1.467,-11.232323,-19.32395611,-9.0804329
1.468,-11.157507,-19.36220028,-9.0064564
1.469,-11.103662,-19.40097622,-8.9266624
1.47,-11.048223,-19.44029058,-8.8692636
1.471,-10.980507,-19.48015015,-8.8239374
1.472,-10.892184,-19.52056187,-8.7277794
1.473,-10.855738,-19.56153283,-8.6475916
1.474,-10.768066,-19.60307027,-8.5764103
1.475,-10.695895,-19.64518163,-8.5262375
1.476,-10.642075,-19.68787449,-8.4522409
1.477,-10.578482,-19.7311566,-8.3931684
1.478,-10.502718,-19.77503591,-8.3412323
1.479,-10.412045,-19.81952052,-8.2423801
1.48,-10.383491,-19.86461876,-8.1825981
1.481,-10.318481,-19.91033913,-8.1136618
1.482,-10.249508,-19.95669031,-8.0678644
1.483,-10.200055,-20.00368123,-7.9956026
1.484,-10.138412,-20.051321,-7.9262781
1.485,-10.091647,-20.09961896,-7.8838415
1.486,-10.019788,-20.14858465,-7.8219609
1.487,-9.9380274,-20.19822788,-7.723465
1.488,-9.8946362,-20.24855867,-7.6966376
1.489,-9.8199682,-20.29958728,-7.6565266
1.49,-9.7932262,-20.35132424,-7.5794883
1.491,-9.7341223,-20.40378032,-7.5314054
1.492,-9.6542244,-20.45696659,-7.460804
1.493,-9.6111288,-20.51089435,-7.4121847
1.494,-9.5405293,-20.56557522,-7.3614316
1.495,-9.4971046,-20.62102109,-7.279232
1.496,-9.4335718,-20.67724418,-7.2542028
1.497,-9.3661585,-20.73425698,-7.155561
1.498,-9.342248,-20.79207233,-7.1236086
1.499,-9.2613335,-20.85070341,-7.0674567
1.5,-9.2258005,-20.9101637,-7.0277901
1.501,-9.1375742,-20.97046708,-6.9627895
1.502,-9.1179619,-21.03162777,-6.9307895
1.503,-9.0576057,-21.09366036,-6.8614264
1.504,-9.0027313,-21.15657984,-6.798739
1.505,-8.9603109,-21.2204016,-6.7514782
1.506,-8.8831253,-21.28514144,-6.7007151
1.507,-8.8388834,-21.35081558,-6.6598492
1.508,-8.7982292,-21.41744069,-6.6234474
1.509,-8.7331028,-21.4850339,-6.5511827
1.51,-8.6924143,-21.5536128,-6.5268784
1.511,-8.6192179,-21.62319547,-6.455873
1.512,-8.5768433,-21.6938005,-6.4129148
1.513,-8.5223808,-21.76544698,-6.3657961
1.514,-8.5014868,-21.83815455,-6.2897105
1.515,-8.4472132,-21.91194341,-6.2876301
1.516,-8.3940716,-21.98683431,-6.2311349
1.517,-8.3260612,-22.06284861,-6.1720204
1.518,-8.295332,-22.14000828,-6.1436629
1.519,-8.2474546,-22.21833592,-6.0810876
1.52,-8.2157946,-22.29785477,-6.0593228
1.521,-8.180439,-22.37858875,-6.0094929
1.522,-8.0926647,-22.46056249,-5.9625354
1.523,-8.0716944,-22.54380132,-5.9274344
1.524,-8.0146742,-22.62833132,-5.8733678
1.525,-7.9545388,-22.71417933,-5.836184
1.526,-7.9451084,-22.80137297,-5.7921634
1.527,-7.8877673,-22.8899407,-5.7484951
1.528,-7.8435111,-22.9799118,-5.7090693
1.529,-7.7964206,-23.07131642,-5.6445546
1.53,-7.7599301,-23.16418558,-5.6503592
1.531,-7.7267675,-23.25855126,-5.5878835
1.532,-7.6619692,-23.35444633,-5.5579309
1.533,-7.6266961,-23.45190466,-5.5521302
1.534,-7.5829077,-23.5509611,-5.4696956
1.535,-7.5304222,-23.65165151,-5.4317298
1.536,-7.4766946,-23.75401281,-5.390276
1.537,-7.4537592,-23.85808295,-5.3485665
1.538,-7.4284272,-23.96390098,-5.3266759
1.539,-7.3739138,-24.07150706,-5.2817197
1.54,-7.2905793,-24.18094245,-5.2223086
1.541,-7.2687898,-24.29224954,-5.2103958
1.542,-7.2549047,-24.40547187,-5.1762304
1.543,-7.2445636,-24.5206541,-5.1471596
1.544,-7.1794853,-24.63784204,-5.1263089
1.545,-7.1398168,-24.75708264,-5.062427
1.546,-7.0787086,-24.87842395,-5.0386109
1.547,-7.0485363,-25.0019151,-5.0049534
1.548,-7.0100336,-25.12760628,-4.9792295
1.549,-6.9441209,-25.25554865,-4.9394569
1.55,-6.912128,-25.3857943,-4.8824368
1.551,-6.8714042,-25.51839614,-4.8700609
1.552,-6.8551564,-25.65340781,-4.8424129
1.553,-6.797564,-25.7908835,-4.7927022
1.554,-6.7689056,-25.93087782,-4.7604847
1.555,-6.7512264,-26.07344554,-4.7473249
1.556,-6.7214565,-26.21864137,-4.7347069
1.557,-6.6736164,-26.36651963,-4.6693215
1.558,-6.6299543,-26.5171339,-4.6169348
1.559,-6.5987554,-26.67053655,-4.618155
1.56,-6.5384188,-26.82677823,-4.5413475
1.561,-6.5334425,-26.98590724,-4.5371423
1.562,-6.4654155,-27.14796882,-4.5096097
1.563,-6.4552298,-27.31300422,-4.4969335
1.564,-6.4160957,-27.48104972,-4.453639
1.565,-6.3668094,-27.65213541,-4.4225292
1.566,-6.358407,-27.82628377,-4.4290342
1.567,-6.3208365,-28.00350804,-4.3644376
1.568,-6.2902656,-28.18381023,-4.3445401
1.569,-6.2614274,-28.36717891,-4.3176937
1.57,-6.244349,-28.55358655,-4.273931
1.571,-6.1745834,-28.7429865,-4.2606344
1.572,-6.1284542,-28.93530943,-4.2286625
1.573,-6.1161313,-29.1304593,-4.220798
1.574,-6.10464,-29.32830863,-4.1690784
1.575,-6.0338478,-29.52869324,-4.1715817
1.576,-6.0100369,-29.7314061,-4.1150737
1.577,-5.9792175,-29.93619056,-4.0921192
1.578,-5.9698963,-30.14273264,-4.1060815
1.579,-5.9244537,-30.35065262,-4.0538216
1.58,-5.8929114,-30.55949574,-4.03088
1.581,-5.8662734,-30.76872234,-4.0115981
1.582,-5.8514838,-30.97769743,-3.9921324
1.583,-5.8005638,-31.18568009,-3.9638581
1.584,-5.7708869,-31.39181319,-3.9232411
1.585,-5.7566128,-31.59511391,-3.9144497
1.586,-5.7018833,-31.79446608,-3.8836403
1.587,-5.6787167,-31.98861524,-3.8609452
1.588,-5.6545086,-32.17616781,-3.8454733
1.589,-5.63094,-32.35559587,-3.8115301
1.59,-5.5942626,-32.52524899,-3.8132594
1.591,-5.5544772,-32.6833748,-3.7506373
1.592,-5.5488019,-32.82814943,-3.7481799
1.593,-5.4895535,-32.95771851,-3.7099438
1.594,-5.4839773,-33.07024858,-3.6890798
1.595,-5.4474893,-33.16398729,-3.6911621
1.596,-5.4286189,-33.23732983,-3.6537423
