Freq [GHz],Phase_Difference,S21 Phase(ç),S31 Phase(Á),S21-S31
1.12,21.05307465,-51.334938,-79.142708,27.80777
1.121,21.08162548,-51.413681,-79.446388,28.032707
1.122,21.1102172,-51.464561,-79.299911,27.83535
1.123,21.13884995,-51.394222,-79.130447,27.736225
1.124,21.16752386,-51.507572,-79.418762,27.91119
1.125,21.19623907,-51.588413,-79.60627,28.017857
1.126,21.22499573,-51.570713,-79.431511,27.860798
1.127,21.25379397,-51.49435,-79.548759,28.054409
1.128,21.28263392,-51.613796,-79.79483,28.181034
1.129,21.31151573,-51.763069,-79.847809,28.08474
1.13,21.34043954,-51.582085,-79.735222,28.153137
1.131,21.36940547,-51.777431,-79.791931,28.0145
1.132,21.39841367,-51.647636,-79.828285,28.180649
1.133,21.42746428,-51.799847,-80.143265,28.343418
1.134,21.45655742,-51.812298,-80.162178,28.34988
1.135,21.48569324,-51.642025,-80.076126,28.434101
1.136,21.51487188,-51.746704,-80.266609,28.519905
1.137,21.54409347,-51.896259,-80.269234,28.372975
1.138,21.57335814,-51.968716,-80.339134,28.370418
1.139,21.60266603,-51.970642,-80.422256,28.451614
1.14,21.63201727,-52.113808,-80.611572,28.497764
1.141,21.66141201,-52.045094,-80.465088,28.419994
1.142,21.69085038,-52.164978,-80.607193,28.442215
1.143,21.7203325,-52.111145,-80.517403,28.406258
1.144,21.74985852,-52.144054,-80.981087,28.837033
1.145,21.77942857,-52.212719,-81.002609,28.78989
1.146,21.80904279,-52.080734,-80.646065,28.565331
1.147,21.8387013,-52.308475,-80.75988,28.451405
1.148,21.86840424,-52.321476,-81.070099,28.748623
1.149,21.89815175,-52.272747,-81.183945,28.911198
1.15,21.92794396,-52.274014,-81.131607,28.857593
1.151,21.95778099,-52.315044,-81.183479,28.868435
1.152,21.987663,-52.431156,-81.298752,28.867596
1.153,22.0175901,-52.234238,-81.28257,29.048332
1.154,22.04756243,-52.377686,-81.466301,29.088615
1.155,22.07758012,-52.525249,-81.552971,29.027722
1.156,22.10764331,-52.626358,-81.626785,29.000427
1.157,22.13775212,-52.537689,-81.570793,29.033104
1.158,22.1679067,-52.460461,-81.787819,29.327358
1.159,22.19810716,-52.672775,-81.92498,29.252205
1.16,22.22835365,-52.633904,-81.979942,29.346038
1.161,22.25864629,-52.512257,-81.888191,29.375934
1.162,22.28898522,-52.779175,-82.140099,29.360924
1.163,22.31937056,-52.819599,-82.100937,29.281338
1.164,22.34980245,-52.863758,-82.169044,29.305286
1.165,22.38028101,-52.674587,-82.102089,29.427502
1.166,22.41080639,-52.840214,-82.378532,29.538318
1.167,22.4413787,-52.921551,-82.520096,29.598545
1.168,22.47199809,-52.792305,-82.43824,29.645935
1.169,22.50266467,-52.895649,-82.496735,29.601086
1.17,22.53337858,-52.910542,-82.686363,29.775821
1.171,22.56413996,-52.942425,-82.681412,29.738987
1.172,22.59494892,-52.910015,-82.595177,29.685162
1.173,22.6258056,-53.030689,-82.747536,29.716847
1.174,22.65671013,-52.937275,-82.914421,29.977146
1.175,22.68766263,-53.003296,-82.956886,29.95359
1.176,22.71866325,-53.061615,-82.99527,29.933655
1.177,22.74971209,-53.025028,-83.277122,30.252094
1.178,22.78080931,-53.176956,-83.104202,29.927246
1.179,22.81195501,-53.19804,-83.191376,29.993336
1.18,22.84314934,-53.248543,-83.263275,30.014732
1.181,22.87439242,-53.204288,-83.541885,30.337597
1.182,22.90568438,-53.171787,-83.552078,30.380291
1.183,22.93702535,-53.251099,-83.60154,30.350441
1.184,22.96841545,-53.345104,-83.577797,30.232693
1.185,22.99985481,-53.24144,-83.657227,30.415787
1.186,23.03134357,-53.213707,-83.584404,30.370697
1.187,23.06288185,-53.435272,-83.882797,30.447525
1.188,23.09446977,-53.599598,-83.808548,30.20895
1.189,23.12610747,-53.685715,-83.963509,30.277794
1.19,23.15779507,-53.44696,-84.200172,30.753212
1.191,23.1895327,-53.52607,-84.029495,30.503425
1.192,23.22132049,-53.613197,-84.263451,30.650254
1.193,23.25315856,-53.652237,-84.264275,30.612038
1.194,23.28504704,-53.684196,-84.144218,30.460022
1.195,23.31698607,-53.54855,-84.472633,30.924083
1.196,23.34897575,-53.597851,-84.321991,30.72414
1.197,23.38101623,-53.917938,-84.605667,30.687729
1.198,23.41310763,-53.777027,-84.706078,30.929051
1.199,23.44525008,-53.826775,-84.61087,30.784095
1.2,23.47744369,-54.011929,-84.832397,30.820468
1.201,23.50968861,-53.950645,-84.777061,30.826416
1.202,23.54198495,-54.003353,-84.908661,30.905308
1.203,23.57433284,-53.901093,-84.926323,31.02523
1.204,23.60673242,-53.875191,-85.063087,31.187896
1.205,23.63918379,-54.045036,-85.117836,31.0728
1.206,23.6716871,-54.086563,-85.100792,31.014229
1.207,23.70424246,-53.903076,-85.094551,31.191475
1.208,23.73685001,-54.073006,-85.260941,31.187935
1.209,23.76950986,-53.927761,-85.299721,31.37196
1.21,23.80222215,-54.044533,-85.460922,31.416389
1.211,23.834987,-54.140923,-85.490646,31.349723
1.212,23.86780453,-54.234516,-85.641052,31.406536
1.213,23.90067488,-54.354527,-85.757782,31.403255
1.214,23.93359816,-54.278336,-85.715508,31.437172
1.215,23.96657451,-54.055168,-85.785217,31.730049
1.216,23.99960405,-54.387012,-85.831367,31.444355
1.217,24.0326869,-54.348976,-85.870544,31.521568
1.218,24.06582319,-54.497456,-86.214066,31.71661
1.219,24.09901305,-54.232426,-85.900017,31.667591
1.22,24.1322566,-54.449146,-86.128532,31.679386
1.221,24.16555397,-54.3936,-86.303902,31.910302
1.222,24.19890527,-54.446896,-86.379128,31.932232
1.223,24.23231065,-54.399994,-86.360794,31.9608
1.224,24.26577022,-54.246468,-86.364349,32.117881
1.225,24.2992841,-54.533585,-86.512451,31.978866
1.226,24.33285243,-54.594746,-86.521523,31.926777
1.227,24.36647533,-54.708069,-86.742455,32.034386
1.228,24.40015292,-54.595913,-86.705147,32.109234
1.229,24.43388534,-54.659172,-86.730522,32.07135
1.23,24.46767269,-54.772919,-86.925781,32.152862
1.231,24.50151512,-54.774063,-87.074364,32.300301
1.232,24.53541274,-54.659122,-87.092171,32.433049
1.233,24.56936568,-54.888489,-87.021179,32.13269
1.234,24.60337407,-54.759941,-87.130325,32.370384
1.235,24.63743803,-54.899261,-87.233231,32.33397
1.236,24.67155769,-54.966877,-87.219048,32.252171
1.237,24.70573317,-54.942974,-87.328613,32.385639
1.238,24.73996459,-54.932625,-87.400528,32.467903
1.239,24.77425209,-54.920143,-87.498184,32.578041
1.24,24.80859578,-55.083138,-87.577087,32.493949
1.241,24.8429958,-54.999821,-87.563927,32.564106
1.242,24.87745226,-54.909523,-87.658531,32.749008
1.243,24.9119653,-54.974445,-87.669662,32.695217
1.244,24.94653503,-55.07909,-87.842674,32.763584
1.245,24.9811616,-55.027817,-87.82856,32.800743
1.246,25.01584511,-55.192089,-88.071899,32.87981
1.247,25.05058569,-55.175465,-88.189316,33.013851
1.248,25.08538348,-55.152733,-88.187889,33.035156
1.249,25.12023859,-55.189754,-88.239792,33.050038
1.25,25.15515116,-55.286423,-88.311859,33.025436
1.251,25.1901213,-55.328522,-88.419167,33.090645
1.252,25.22514914,-55.422245,-88.548653,33.126408
1.253,25.26023482,-55.372692,-88.41217,33.039478
1.254,25.29537844,-55.460869,-88.625534,33.164665
1.255,25.33058015,-55.268726,-88.622864,33.354138
1.256,25.36584007,-55.539394,-88.673393,33.133999
1.257,25.40115831,-55.630589,-88.770477,33.139888
1.258,25.43653502,-55.484463,-88.979141,33.494678
1.259,25.47197031,-55.626053,-89.138939,33.512886
1.26,25.5074643,-55.522591,-88.908447,33.385856
1.261,25.54301714,-55.228222,-88.807892,33.57967
1.262,25.57862894,-55.653664,-89.258392,33.604728
1.263,25.61429982,-55.726566,-89.258659,33.532093
1.264,25.65002992,-55.517292,-89.291748,33.774456
1.265,25.68581936,-55.534454,-89.287903,33.753449
1.266,25.72166827,-55.509933,-89.379723,33.86979
1.267,25.75757678,-55.744354,-89.475151,33.730797
1.268,25.793545,-55.895832,-89.601715,33.705883
1.269,25.82957308,-55.464409,-89.658546,34.194137
1.27,25.86566112,-55.653397,-89.859192,34.205795
1.271,25.90180927,-55.701511,-89.748672,34.047161
1.272,25.93801765,-55.762714,-89.866394,34.10368
1.273,25.97428638,-55.860691,-90.021294,34.160603
1.274,26.0106156,-55.797333,-90.031067,34.233734
1.275,26.04700542,-56.083336,-90.143654,34.060318
1.276,26.08345598,-55.889217,-90.231567,34.34235
1.277,26.11996741,-55.779819,-90.209297,34.429478
1.278,26.15653983,-55.846886,-90.136818,34.289932
1.279,26.19317336,-56.127758,-90.426682,34.298924
1.28,26.22986815,-56.190876,-90.518913,34.328037
1.281,26.26662431,-55.84267,-90.456375,34.613705
1.282,26.30344197,-56.016182,-90.609695,34.593513
1.283,26.34032127,-56.150711,-90.788734,34.638023
1.284,26.37726232,-56.092293,-90.773956,34.681663
1.285,26.41426527,-56.139919,-90.837646,34.697727
1.286,26.45133022,-56.129871,-90.833679,34.703808
1.287,26.48845733,-56.076935,-90.900818,34.823883
1.288,26.5256467,-55.967327,-90.936142,34.968815
1.289,26.56289848,-56.247433,-91.119873,34.87244
1.29,26.60021279,-56.293266,-91.13298,34.839714
1.291,26.63758975,-56.311108,-91.253197,34.942089
1.292,26.67502951,-56.405895,-91.361755,34.95586
1.293,26.71253219,-56.252342,-91.286911,35.034569
1.294,26.75009791,-56.295979,-91.415741,35.119762
1.295,26.78772681,-56.383526,-91.63665,35.253124
1.296,26.82541901,-56.099751,-91.363243,35.263492
1.297,26.86317466,-56.463078,-91.611931,35.148853
1.298,26.90099387,-56.535358,-91.911209,35.375851
1.299,26.93887677,-56.284729,-91.803253,35.518524
1.3,26.9768235,-56.596581,-92.006859,35.410278
1.301,27.01483419,-56.508568,-91.979805,35.471237
1.302,27.05290897,-56.530605,-91.984222,35.453617
1.303,27.09104796,-56.490379,-92.143654,35.653275
1.304,27.12925131,-56.345844,-92.106155,35.760311
1.305,27.16751913,-56.402779,-92.070686,35.667907
1.306,27.20585157,-56.50029,-92.349258,35.848968
1.307,27.24424874,-56.546051,-92.326347,35.780296
1.308,27.2827108,-56.546276,-92.212212,35.665936
1.309,27.32123785,-56.597336,-92.554207,35.956871
1.31,27.35983004,-56.798515,-92.714134,35.915619
1.311,27.39848751,-56.776432,-92.740944,35.964512
1.312,27.43721037,-56.607918,-92.8339,36.225982
1.313,27.47599876,-56.720791,-92.761589,36.040798
1.314,27.51485283,-56.856556,-93.039566,36.18301
1.315,27.55377269,-56.79911,-92.924561,36.125451
1.316,27.59275848,-56.869144,-93.063934,36.19479
1.317,27.63181033,-56.890793,-93.053467,36.162674
1.318,27.67092838,-56.927433,-93.031853,36.10442
1.319,27.71011276,-56.952076,-93.437614,36.485538
1.32,27.7493636,-56.933952,-93.349586,36.415634
1.321,27.78868104,-56.840607,-93.579254,36.738647
1.322,27.82806522,-56.931126,-93.485687,36.554561
1.323,27.86751625,-57.001118,-93.671211,36.670093
1.324,27.90703429,-56.882618,-93.463249,36.580631
1.325,27.94661945,-56.705322,-93.694801,36.989479
1.326,27.98627189,-56.954136,-93.741516,36.78738
1.327,28.02599173,-57.006016,-93.860298,36.854282
1.328,28.0657791,-57.002129,-93.895271,36.893142
1.329,28.10563415,-57.177994,-93.959015,36.781021
1.33,28.145557,-57.069851,-93.985962,36.916111
1.331,28.1855478,-57.188095,-94.066879,36.878784
1.332,28.22560667,-57.201912,-94.125191,36.923279
1.333,28.26573376,-57.221035,-94.301804,37.080769
1.334,28.3059292,-57.229256,-94.37262,37.143364
1.335,28.34619312,-57.07616,-94.502098,37.425938
1.336,28.38652567,-57.10762,-94.566895,37.459275
1.337,28.42692698,-57.316948,-94.598801,37.281853
1.338,28.46739718,-57.215729,-94.631752,37.416023
1.339,28.50793641,-57.344208,-94.758896,37.414688
1.34,28.54854482,-57.235172,-94.62104,37.385868
1.341,28.58922253,-57.294632,-94.72242,37.427788
1.342,28.62996969,-57.370674,-94.965248,37.594574
1.343,28.67078643,-57.347492,-94.972786,37.625294
1.344,28.71167289,-57.314445,-95.007751,37.693306
1.345,28.75262921,-57.513054,-95.090302,37.577248
1.346,28.79365553,-57.349697,-95.052338,37.702641
1.347,28.83475199,-57.547615,-95.269676,37.722061
1.348,28.87591872,-57.417603,-95.267227,37.849624
1.349,28.91715586,-57.629921,-95.479271,37.84935
1.35,28.95846355,-57.682514,-95.61615,37.933636
1.351,28.99984194,-57.299252,-95.540939,38.241687
1.352,29.04129116,-57.703671,-95.713776,38.010105
1.353,29.08281135,-57.513409,-95.735916,38.222507
1.354,29.12440266,-57.596424,-95.741638,38.145214
1.355,29.16606521,-57.410515,-95.606583,38.196068
1.356,29.20779916,-57.658974,-95.851242,38.192268
1.357,29.24960464,-57.825405,-96.166664,38.341259
1.358,29.2914818,-57.436214,-95.947777,38.511563
1.359,29.33343077,-57.76791,-96.201218,38.433308
1.36,29.37545169,-57.835037,-96.412735,38.577698
1.361,29.41754472,-57.735912,-96.428627,38.692715
1.362,29.45970998,-57.761585,-96.513161,38.751576
1.363,29.50194763,-57.682266,-96.45742,38.775154
1.364,29.5442578,-57.756832,-96.668587,38.911755
1.365,29.58664064,-57.798489,-96.695129,38.89664
1.366,29.62909628,-57.6945,-96.570114,38.875614
1.367,29.67162488,-57.864361,-96.734344,38.869983
1.368,29.71422657,-57.896946,-96.862335,38.965389
1.369,29.75690151,-57.918781,-96.912361,38.99358
1.37,29.79964982,-57.815086,-96.968285,39.153199
1.371,29.84247165,-57.7883,-96.986679,39.198379
1.372,29.88536716,-58.009659,-97.255905,39.246246
1.373,29.92833648,-58.057396,-97.148598,39.091202
1.374,29.97137975,-58.051636,-97.404793,39.353157
1.375,30.01449713,-57.891293,-97.333008,39.441715
1.376,30.05768876,-57.872513,-97.250916,39.378403
1.377,30.10095477,-57.982738,-97.604599,39.621861
1.378,30.14429533,-58.070145,-97.547363,39.477218
1.379,30.18771056,-58.059212,-97.635582,39.57637
1.38,30.23120063,-58.071575,-97.731918,39.660343
1.381,30.27476566,-58.112446,-97.728897,39.616451
1.382,30.31840582,-58.070992,-97.994705,39.923713
1.383,30.36212124,-58.02282,-97.824135,39.801315
1.384,30.40591208,-58.232697,-97.996269,39.763572
1.385,30.44977847,-58.062538,-98.078751,40.016213
1.386,30.49372057,-58.126495,-98.111565,39.98507
1.387,30.53773852,-58.149929,-98.280693,40.130764
1.388,30.58183248,-58.25148,-98.295029,40.043549
1.389,30.62600258,-58.113525,-98.477043,40.363518
1.39,30.67024897,-58.179886,-98.47049,40.290604
1.391,30.71457181,-58.068356,-98.631264,40.562908
1.392,30.75897124,-58.153965,-98.684921,40.530956
1.393,30.80344742,-58.25301,-98.60482,40.35181
1.394,30.84800047,-58.432133,-98.842987,40.410854
1.395,30.89263057,-58.077305,-98.558182,40.480877
1.396,30.93733785,-58.256359,-98.905685,40.649326
1.397,30.98212247,-58.221783,-98.906631,40.684848
1.398,31.02698458,-58.29882,-99.095581,40.796761
1.399,31.07192431,-58.415085,-98.984741,40.569656
1.4,31.11694183,-58.592075,-99.220245,40.62817
1.401,31.16203729,-58.588188,-99.316101,40.727913
1.402,31.20721083,-58.236748,-99.242088,41.00534
1.403,31.2524626,-58.471527,-99.386559,40.915032
1.404,31.29779276,-58.392155,-99.501419,41.109264
1.405,31.34320145,-58.477486,-99.609909,41.132423
1.406,31.38868883,-58.548599,-99.793678,41.245079
1.407,31.43425505,-58.463161,-99.671196,41.208035
1.408,31.47990026,-58.517544,-99.6726,41.155056
1.409,31.52562461,-58.435539,-99.71994,41.284401
1.41,31.57142825,-58.615723,-99.956314,41.340591
1.411,31.61731133,-58.614559,-100.25556,41.641001
1.412,31.66327401,-58.618679,-100.20519,41.586511
1.413,31.70931644,-58.501102,-100.24129,41.740188
1.414,31.75543877,-58.54726,-100.15985,41.61259
1.415,31.80164115,-58.512341,-100.35948,41.847139
1.416,31.84792374,-58.584335,-100.52383,41.939495
1.417,31.89428668,-58.634319,-100.55372,41.919401
1.418,31.94073014,-58.599827,-100.5537,41.953873
1.419,31.98725426,-58.87608,-100.76344,41.88736
1.42,32.03385921,-58.435787,-100.63262,42.196833
1.421,32.08054512,-58.646137,-100.77306,42.126923
1.422,32.12731216,-58.676655,-100.59894,41.922285
1.423,32.17416048,-58.758057,-100.88939,42.131333
1.424,32.22109024,-58.816269,-100.97375,42.157481
1.425,32.26810158,-58.661449,-101.18295,42.521501
1.426,32.31519466,-58.668285,-101.1425,42.474215
1.427,32.36236965,-58.61055,-101.19923,42.58868
1.428,32.40962668,-58.80666,-101.40704,42.60038
1.429,32.45696592,-58.829296,-101.29387,42.464574
1.43,32.50438752,-58.697765,-101.22356,42.525795
1.431,32.55189164,-58.762077,-101.3718,42.609723
1.432,32.59947843,-58.924294,-101.64164,42.717346
1.433,32.64714805,-58.731125,-101.60658,42.875455
1.434,32.69490064,-58.751389,-101.58192,42.830531
1.435,32.74273638,-58.779713,-101.76015,42.980437
1.436,32.79065541,-58.808311,-101.84702,43.038709
1.437,32.83865789,-58.904507,-102.06551,43.161003
1.438,32.88674398,-58.926968,-102.14273,43.215762
1.439,32.93491383,-58.929874,-102.021,43.091126
1.44,32.98316759,-58.883804,-102.22152,43.337716
1.441,33.03150543,-58.903786,-102.27681,43.373024
1.442,33.0799275,-58.895344,-102.2746,43.379256
1.443,33.12843396,-59.079014,-102.59692,43.517906
1.444,33.17702496,-58.80217,-102.44157,43.6394
1.445,33.22570066,-58.945599,-102.47063,43.525031
1.446,33.27446122,-59.11063,-102.71873,43.6081
1.447,33.3233068,-58.899158,-102.7766,43.877442
1.448,33.37223754,-59.151657,-102.74755,43.595893
1.449,33.42125361,-58.94075,-102.78169,43.84094
1.45,33.47035517,-59.074394,-103.07352,43.999126
1.451,33.51954236,-59.152328,-103.06789,43.915562
1.452,33.56881536,-59.155373,-103.08947,43.934097
1.453,33.61817432,-59.205391,-103.41652,44.211129
1.454,33.66761939,-59.214058,-103.45889,44.244832
1.455,33.71715072,-59.038345,-103.28719,44.248845
1.456,33.76676849,-59.261917,-103.32924,44.067323
1.457,33.81647285,-59.180653,-103.56036,44.379707
1.458,33.86626395,-59.206505,-103.58365,44.377145
1.459,33.91614194,-59.212883,-103.69351,44.480627
1.46,33.966107,-59.083076,-103.49744,44.414364
1.461,34.01615928,-59.341167,-103.90999,44.568823
1.462,34.06629893,-59.326027,-103.91064,44.584613
1.463,34.11652611,-59.190441,-103.83175,44.641309
1.464,34.16684098,-59.160961,-103.90351,44.742549
1.465,34.21724369,-59.251514,-104.15806,44.906546
1.466,34.26773441,-59.248798,-104.16125,44.912452
1.467,34.31831329,-59.219509,-104.11745,44.897941
1.468,34.3689805,-59.227905,-104.35491,45.127005
1.469,34.41973618,-59.240028,-104.29246,45.052432
1.47,34.47058049,-59.220966,-104.49354,45.272574
1.471,34.5215136,-59.330139,-104.6227,45.292561
1.472,34.57253565,-59.144875,-104.75006,45.605185
1.473,34.62364682,-59.185699,-104.72961,45.543911
1.474,34.67484725,-59.285763,-104.64925,45.363487
1.475,34.7261371,-59.395817,-104.82462,45.428803
1.476,34.77751653,-59.350246,-104.93163,45.581384
1.477,34.82898569,-59.198444,-104.88164,45.683196
1.478,34.88054475,-59.096001,-104.95365,45.857649
1.479,34.93219387,-59.447598,-105.26777,45.820172
1.48,34.98393318,-59.590866,-105.28099,45.690124
1.481,35.03576287,-59.468231,-105.28824,45.820009
1.482,35.08768307,-59.580055,-105.63628,46.056225
1.483,35.13969396,-59.305283,-105.22021,45.914927
1.484,35.19179567,-59.581764,-105.65007,46.068306
1.485,35.24398838,-59.373154,-105.51093,46.137776
1.486,35.29627224,-59.410175,-105.65088,46.240705
1.487,35.3486474,-59.455799,-105.83257,46.376771
1.488,35.40111402,-59.393719,-105.74791,46.354191
1.489,35.45367226,-59.332066,-105.86155,46.529484
1.49,35.50632227,-59.535919,-106.01323,46.477311
1.491,35.5590642,-59.56031,-106.10168,46.54137
1.492,35.61189822,-59.558765,-106.22472,46.665955
1.493,35.66482448,-59.388271,-106.25295,46.864679
1.494,35.71784313,-59.65102,-106.22567,46.57465
1.495,35.77095432,-59.496468,-106.17049,46.674022
1.496,35.82415822,-59.566059,-106.47646,46.910401
1.497,35.87745498,-59.600906,-106.37802,46.777114
1.498,35.93084475,-59.517723,-106.55131,47.033587
1.499,35.98432768,-59.519821,-106.81456,47.294739
1.5,36.03790393,-59.763424,-106.77487,47.011446
1.501,36.09157366,-59.485935,-106.8808,47.394865
1.502,36.14533701,-59.629566,-107.09885,47.469284
1.503,36.19919414,-59.560555,-106.89593,47.335375
1.504,36.2531452,-59.512817,-107.22626,47.713443
1.505,36.30719035,-59.891014,-107.4331,47.542086
1.506,36.36132973,-59.636665,-107.17572,47.539055
1.507,36.41556351,-59.681797,-107.41088,47.729083
1.508,36.46989182,-59.673477,-107.41074,47.737263
1.509,36.52431483,-59.562878,-107.34683,47.783952
1.51,36.57883267,-59.460766,-107.53868,48.077914
1.511,36.63344551,-59.57589,-107.50906,47.93317
1.512,36.6881535,-59.562698,-107.6265,48.063802
1.513,36.74295678,-59.6409,-107.68958,48.04868
1.514,36.7978555,-59.538925,-107.72739,48.188465
