"Freq [GHz]","ang_deg(S(4,2)) [deg]","ang_deg(S(3,2)) [deg]","ang_deg(S(4,3)) [deg]"
1.073,-144.633047306549,-126.433021119579,-124.984375251591
1.074,-144.764749327658,-126.548466111619,-125.089300136555
1.075,-144.896450538677,-126.663915592481,-125.194188812475
1.076,-145.028150975554,-126.779369602368,-125.299041177471
1.077,-145.159850674352,-126.894828181602,-125.403857130022
1.078,-145.291549671245,-127.010291370627,-125.50863656897
1.079,-145.423248002525,-127.125759210004,-125.613379393514
1.08,-145.554945704593,-127.241231740421,-125.718085503212
1.081,-145.686642813968,-127.356709002687,-125.82275479798
1.082,-145.818339367283,-127.472191037736,-125.927387178089
1.083,-145.950035401285,-127.587677886629,-126.031982544165
1.084,-146.081730952836,-127.703169590551,-126.136540797186
1.085,-146.213426058912,-127.818666190818,-126.241061838484
1.086,-146.345120756608,-127.934167728874,-126.34554556974
1.087,-146.476815083131,-128.049674246292,-126.449991892985
1.088,-146.608509075806,-128.165185784778,-126.554400710599
1.089,-146.740202772074,-128.28070238617,-126.658771925306
1.09,-146.871896209491,-128.39622409244,-126.763105440179
1.091,-147.00358942573,-128.511750945693,-126.867401158632
1.092,-147.135282458582,-128.627282988173,-126.971658984424
1.093,-147.266975345954,-128.742820262259,-127.075878821655
1.094,-147.398668125871,-128.858362810469,-127.180060574763
1.095,-147.530360836475,-128.97391067546,-127.284204148526
1.096,-147.662053516026,-129.089463900031,-127.388309448061
1.097,-147.793746202901,-129.205022527121,-127.492376378816
1.098,-147.925438935596,-129.320586599814,-127.596404846579
1.099,-148.057131752726,-129.436156161336,-127.700394757466
1.1,-148.188824693025,-129.551731255062,-127.804346017927
1.101,-148.320517795343,-129.667311924511,-127.908258534742
1.102,-148.452211098654,-129.782898213349,-128.012132215019
1.103,-148.583904642046,-129.898490165395,-128.115966966191
1.104,-148.715598464731,-130.014087824615,-128.219762696021
1.105,-148.847292606039,-130.129691235128,-128.323519312592
1.106,-148.97898710542,-130.245300441206,-128.42723672431
1.107,-149.110682002445,-130.360915487274,-128.530914839905
1.108,-149.242377336805,-130.476536417914,-128.634553568423
1.109,-149.374073148313,-130.592163277863,-128.738152819229
1.11,-149.505769476901,-130.707796112018,-128.841712502006
1.111,-149.637466362624,-130.823434965433,-128.945232526749
1.112,-149.769163845659,-130.939079883323,-129.048712803767
1.113,-149.900861966304,-131.054730911065,-129.152153243683
1.114,-150.032560764978,-131.170388094201,-129.255553757427
1.115,-150.164260282225,-131.286051478433,-129.358914256238
1.116,-150.295960558709,-131.401721109632,-129.462234651664
1.117,-150.427661635218,-131.517397033834,-129.565514855556
1.118,-150.559363552663,-131.633079297245,-129.668754780069
1.119,-150.691066352079,-131.74876794624,-129.77195433766
1.12,-150.822770074623,-131.864463027363,-129.875113441087
1.121,-150.954474761576,-131.980164587332,-129.978232003406
1.122,-151.086180454346,-132.095872673037,-130.081309937971
1.123,-151.217887194461,-132.211587331546,-130.18434715843
1.124,-151.349595023576,-132.327308610098,-130.287343578724
1.125,-151.481303983471,-132.443036556114,-130.390299113089
1.126,-151.613014116051,-132.558771217192,-130.493213676048
1.127,-151.744725463346,-132.67451264111,-130.596087182415
1.128,-151.87643806751,-132.790260875827,-130.69891954729
1.129,-152.008151970826,-132.906015969486,-130.801710686058
1.13,-152.1398672157,-133.021777970413,-130.904460514387
1.131,-152.271583844668,-133.137546927122,-131.007168948228
1.132,-152.403301900388,-133.253322888311,-131.109835903812
1.133,-152.53502142565,-133.369105902867,-131.212461297646
1.134,-152.666742463367,-133.484896019869,-131.315045046516
1.135,-152.798465056581,-133.600693288583,-131.417587067483
1.136,-152.930189248463,-133.716497758472,-131.520087277878
1.137,-153.061915082309,-133.832309479189,-131.622545595306
1.138,-153.193642601546,-133.948128500584,-131.724961937641
1.139,-153.325371849727,-134.063954872704,-131.827336223024
1.14,-153.457102870536,-134.179788645794,-131.929668369862
1.141,-153.588835707785,-134.295629870296,-132.031958296827
1.142,-153.720570405415,-134.411478596856,-132.134205922853
1.143,-153.852307007497,-134.527334876321,-132.236411167134
1.144,-153.984045558232,-134.643198759742,-132.338573949122
1.145,-154.11578610195,-134.759070298373,-132.440694188529
1.146,-154.247528683111,-134.874949543678,-132.542771805318
1.147,-154.379273346309,-134.990836547327,-132.644806719708
1.148,-154.511020136265,-135.106731361199,-132.746798852169
1.149,-154.642769097832,-135.222634037385,-132.848748123421
1.15,-154.774520275996,-135.338544628187,-132.95065445443
1.151,-154.906273715874,-135.454463186122,-133.05251776641
1.152,-155.038029462714,-135.57038976392,-133.154337980819
1.153,-155.169787561896,-135.686324414531,-133.256115019354
1.154,-155.301548058935,-135.802267191119,-133.357848803958
1.155,-155.433310999477,-135.918218147071,-133.459539256808
1.156,-155.5650764293,-136.034177335993,-133.561186300319
1.157,-155.696844394318,-136.150144811713,-133.662789857141
1.158,-155.828614940575,-136.266120628284,-133.764349850159
1.159,-155.960388114254,-136.382104839985,-133.865866202485
1.16,-156.092163961666,-136.49809750132,-133.967338837463
1.161,-156.223942529263,-136.614098667021,-134.068767678664
1.162,-156.355723863625,-136.730108392051,-134.170152649884
1.163,-156.487508011473,-136.846126731605,-134.271493675143
1.164,-156.619295019659,-136.962153741109,-134.372790678682
1.165,-156.751084935172,-137.078189476223,-134.474043584963
1.166,-156.882877805139,-137.194233992844,-134.575252318665
1.167,-157.014673676819,-137.310287347104,-134.676416804683
1.168,-157.146472597611,-137.426349595377,-134.777536968126
1.169,-157.278274615048,-137.542420794274,-134.878612734317
1.17,-157.410079776802,-137.658501000648,-134.979644028787
1.171,-157.541888130682,-137.774590271596,-135.080630777276
1.172,-157.673699724633,-137.89068866446,-135.181572905732
1.173,-157.80551460674,-138.006796236827,-135.282470340306
1.174,-157.937332825224,-138.122913046531,-135.383323007352
1.175,-158.069154428446,-138.239039151656,-135.484130833425
1.176,-158.200979464905,-138.355174610537,-135.584893745279
1.177,-158.332807983239,-138.47131948176,-135.685611669866
1.178,-158.464640032225,-138.587473824165,-135.78628453433
1.179,-158.596475660781,-138.703637696847,-135.886912266012
1.18,-158.728314917963,-138.819811159157,-135.987494792441
1.181,-158.860157852969,-138.935994270705,-136.088032041337
1.182,-158.992004515135,-139.052187091361,-136.188523940607
1.183,-159.123854953941,-139.168389681254,-136.288970418345
1.184,-159.255709219005,-139.284602100778,-136.389371402825
1.185,-159.387567360088,-139.400824410588,-136.489726822506
1.186,-159.519429427091,-139.517056671608,-136.590036606026
1.187,-159.65129547006,-139.633298945028,-136.690300682199
1.188,-159.783165539181,-139.749551292305,-136.790518980017
1.189,-159.915039684782,-139.865813775168,-136.890691428645
1.19,-160.046917957335,-139.982086455617,-136.990817957421
1.191,-160.178800407456,-140.098369395924,-137.090898495851
1.192,-160.310687085901,-140.214662658639,-137.190932973612
1.193,-160.442578043574,-140.330966306584,-137.290921320545
1.194,-160.57447333152,-140.447280402863,-137.390863466657
1.195,-160.70637300093,-140.563605010854,-137.490759342117
1.196,-160.838277103138,-140.679940194222,-137.590608877254
1.197,-160.970185689624,-140.796286016908,-137.690412002557
1.198,-161.102098812014,-140.912642543141,-137.790168648669
1.199,-161.234016522078,-141.029009837435,-137.889878746391
1.2,-161.365938871732,-141.145387964588,-137.989542226676
1.201,-161.497865913039,-141.261776989689,-138.089159020627
1.202,-161.629797698209,-141.378176978115,-138.188729059497
1.203,-161.761734279596,-141.494587995536,-138.288252274687
1.204,-161.893675709705,-141.611010107914,-138.387728597741
1.205,-162.025622041184,-141.727443381504,-138.487157960348
1.206,-162.157573326833,-141.843887882861,-138.586540294339
1.207,-162.289529619597,-141.960343678831,-138.685875531684
1.208,-162.421490972569,-142.076810836565,-138.785163604491
1.209,-162.553457438994,-142.193289423511,-138.884404445003
1.21,-162.685429072263,-142.30977950742,-138.983597985598
1.211,-162.817405925917,-142.426281156345,-139.082744158786
1.212,-162.949388053646,-142.542794438645,-139.181842897207
1.213,-163.081375509292,-142.659319422987,-139.28089413363
1.214,-163.213368346843,-142.775856178341,-139.379897800949
1.215,-163.345366620443,-142.892404773993,-139.478853832184
1.216,-163.477370384381,-143.008965279533,-139.577762160477
1.217,-163.609379693102,-143.125537764869,-139.676622719092
1.218,-163.741394601201,-143.24212230022,-139.775435441412
1.219,-163.873415163422,-143.35871895612,-139.874200260935
1.22,-164.005441434665,-143.475327803422,-139.972917111276
1.221,-164.13747346998,-143.591948913295,-140.071585926164
1.222,-164.26951132457,-143.708582357229,-140.17020663944
1.223,-164.401555053792,-143.825228207035,-140.268779185053
1.224,-164.533604713156,-143.941886534846,-140.367303497061
1.225,-164.665660358325,-144.058557413121,-140.465779509629
1.226,-164.797722045117,-144.175240914644,-140.564207157025
1.227,-164.929789829502,-144.291937112524,-140.662586373621
1.228,-165.061863767608,-144.408646080202,-140.760917093888
1.229,-165.193943915716,-144.525367891447,-140.859199252398
1.23,-165.326030330263,-144.64210262036,-140.957432783818
1.231,-165.458123067839,-144.758850341374,-141.055617622913
1.232,-165.590222185195,-144.875611129259,-141.153753704539
1.233,-165.722327739234,-144.992385059118,-141.251840963645
1.234,-165.854439787016,-145.109172206393,-141.349879335271
1.235,-165.986558385761,-145.225972646865,-141.447868754545
1.236,-166.118683592842,-145.342786456653,-141.545809156679
1.237,-166.250815465793,-145.459613712222,-141.643700476973
1.238,-166.382954062304,-145.576454490374,-141.741542650808
1.239,-166.515099440224,-145.693308868261,-141.839335613648
1.24,-166.647251657559,-145.810176923379,-141.937079301035
1.241,-166.779410772477,-145.927058733569,-142.034773648589
1.242,-166.911576843302,-146.043954377025,-142.132418592008
1.243,-167.04374992852,-146.160863932288,-142.230014067062
1.244,-167.175930086774,-146.277787478252,-142.327560009596
1.245,-167.308117376871,-146.394725094162,-142.425056355523
1.246,-167.440311857774,-146.511676859621,-142.522503040829
1.247,-167.572513588612,-146.628642854584,-142.619900001565
1.248,-167.704722628671,-146.745623159366,-142.717247173849
1.249,-167.8369390374,-146.862617854639,-142.814544493863
1.25,-167.96916287441,-146.979627021434,-142.911791897852
1.251,-168.101394199474,-147.096650741146,-143.008989322122
1.252,-168.233633072527,-147.21368909553,-143.106136703039
1.253,-168.365879553669,-147.330742166707,-143.203233977025
1.254,-168.498133703161,-147.447810037162,-143.300281080561
1.255,-168.630395581428,-147.564892789746,-143.39727795018
1.256,-168.762665249058,-147.681990507681,-143.494224522468
1.257,-168.894942766806,-147.799103274555,-143.591120734066
1.258,-169.027228195589,-147.916231174328,-143.687966521659
1.259,-169.15952159649,-148.033374291334,-143.784761821986
1.26,-169.291823030757,-148.150532710277,-143.881506571828
1.261,-169.424132559802,-148.267706516237,-143.978200708015
1.262,-169.556450245207,-148.384895794672,-144.074844167417
1.263,-169.688776148715,-148.502100631414,-144.17143688695
1.264,-169.82111033224,-148.619321112674,-144.267978803567
1.265,-169.95345285786,-148.736557325046,-144.364469854262
1.266,-170.085803787822,-148.853809355502,-144.460909976066
1.267,-170.21816318454,-148.971077291398,-144.557299106046
1.268,-170.350531110596,-149.088361220471,-144.653637181305
1.269,-170.48290762874,-149.205661230847,-144.749924138976
1.27,-170.61529280189,-149.322977411036,-144.846159916228
1.271,-170.747686693135,-149.440309849934,-144.942344450256
1.272,-170.880089365732,-149.557658636829,-145.038477678287
1.273,-171.012500883108,-149.675023861396,-145.134559537573
1.274,-171.144921308859,-149.792405613703,-145.230589965395
1.275,-171.277350706753,-149.909803984209,-145.326568899056
1.276,-171.409789140727,-150.027219063768,-145.422496275884
1.277,-171.542236674891,-150.144650943627,-145.518372033227
1.278,-171.674693373524,-150.26209971543,-145.614196108455
1.279,-171.807159301079,-150.379565471218,-145.709968438958
1.28,-171.93963452218,-150.497048303431,-145.805688962142
1.281,-172.072119101623,-150.614548304906,-145.901357615432
1.282,-172.204613104378,-150.732065568885,-145.996974336265
1.283,-172.337116595586,-150.849600189007,-146.092539062095
1.284,-172.469629640565,-150.967152259317,-146.188051730387
1.285,-172.602152304803,-151.084721874263,-146.283512278619
1.286,-172.734684653964,-151.202309128699,-146.378920644279
1.287,-172.867226753888,-151.319914117884,-146.474276764862
1.288,-172.999778670586,-151.437536937485,-146.569580577874
1.289,-173.132340470248,-151.555177683579,-146.664832020826
1.29,-173.264912219237,-151.672836452651,-146.760031031234
1.291,-173.397493984094,-151.790513341596,-146.85517754662
1.292,-173.530085831534,-151.908208447723,-146.950271504507
1.293,-173.66268782845,-152.025921868753,-147.045312842422
1.294,-173.795300041913,-152.143653702819,-147.140301497893
1.295,-173.927922539168,-152.261404048473,-147.235237408445
1.296,-174.060555387641,-152.379173004679,-147.330120511607
1.297,-174.193198654934,-152.49696067082,-147.4249507449
1.298,-174.325852408829,-152.614767146696,-147.519728045845
1.299,-174.458516717284,-152.732592532529,-147.614452351959
1.3,-174.59119164844,-152.850436928957,-147.709123600751
1.301,-174.723877270614,-152.968300437042,-147.803741729726
1.302,-174.856573652303,-153.086183158266,-147.898306676382
1.303,-174.989280862187,-153.204085194536,-147.992818378205
1.304,-175.121998969123,-153.322006648182,-148.087276772677
1.305,-175.254728042152,-153.439947621958,-148.181681797265
1.306,-175.387468150493,-153.557908219046,-148.276033389429
1.307,-175.520219363549,-153.675888543052,-148.370331486613
1.308,-175.652981750903,-153.793888698013,-148.464576026252
1.309,-175.785755382322,-153.911908788391,-148.558766945765
1.31,-175.918540327754,-154.029948919082,-148.652904182557
1.311,-176.051336657331,-154.148009195408,-148.746987674018
1.312,-176.184144441368,-154.266089723124,-148.841017357522
1.313,-176.316963750363,-154.384190608419,-148.934993170425
1.314,-176.449794655,-154.502311957912,-149.028915050067
1.315,-176.582637226144,-154.620453878657,-149.122782933768
1.316,-176.715491534848,-154.738616478144,-149.216596758831
1.317,-176.848357652348,-154.856799864297,-149.310356462537
1.318,-176.981235650066,-154.975004145477,-149.404061982148
1.319,-177.114125599609,-155.093229430481,-149.497713254904
1.32,-177.247027572772,-155.211475828546,-149.591310218024
1.321,-177.379941641535,-155.329743449346,-149.684852808706
1.322,-177.512867878065,-155.448032402995,-149.778340964121
1.323,-177.645806354716,-155.566342800047,-149.871774621421
1.324,-177.77875714403,-155.684674751499,-149.965153717732
1.325,-177.911720318737,-155.803028368785,-150.058478190156
1.326,-178.044695951754,-155.921403763787,-150.151747975769
1.327,-178.177684116187,-156.039801048826,-150.244963011623
1.328,-178.310684885333,-156.158220336669,-150.338123234742
1.329,-178.443698332675,-156.276661740526,-150.431228582127
1.33,-178.576724531887,-156.395125374055,-150.52427899075
1.331,-178.709763556835,-156.513611351356,-150.617274397555
1.332,-178.842815481571,-156.632119786979,-150.710214739461
1.333,-178.975880380342,-156.750650795919,-150.803099953358
1.334,-179.108958327584,-156.869204493619,-150.895929976107
1.335,-179.242049397923,-156.987780995971,-150.988704744543
1.336,-179.375153666179,-157.106380419316,-151.081424195471
1.337,-179.508271207363,-157.225002880444,-151.174088265666
1.338,-179.64140209668,-157.343648496597,-151.266696891876
1.339,-179.774546409524,-157.462317385464,-151.359250010819
1.34,-179.907704221487,-157.581009665189,-151.451747559184
1.341,179.959124391649,-157.699725454367,-151.54418947363
1.342,179.825939353908,-157.818464872043,-151.636575690787
1.343,179.692740589118,-157.937228037717,-151.728906147254
1.344,179.559528020914,-158.056015071343,-151.821180779603
1.345,179.426301572735,-158.174826093326,-151.913399524373
1.346,179.293061167827,-158.293661224529,-152.005562318077
1.347,179.159806729237,-158.412520586268,-152.097669097195
1.348,179.02653817982,-158.531404300312,-152.189719798179
1.349,178.893255442231,-158.650312488889,-152.281714357452
1.35,178.759958438932,-158.769245274683,-152.373652711408
1.351,178.626647092185,-158.888202780832,-152.465534796409
1.352,178.493321324056,-159.007185130932,-152.557360548792
1.353,178.359981056415,-159.126192449039,-152.649129904862
1.354,178.226626210931,-159.245224859662,-152.740842800897
1.355,178.093256709077,-159.364282487771,-152.832499173148
1.356,177.959872472127,-159.483365458794,-152.924098957835
1.357,177.826473421154,-159.602473898617,-153.015642091153
1.358,177.693059477035,-159.721607933587,-153.107128509269
1.359,177.559630560444,-159.840767690507,-153.198558148322
1.36,177.426186591858,-159.959953296642,-153.289930944428
1.361,177.292727491552,-160.079164879717,-153.381246833673
1.362,177.1592531796,-160.198402567916,-153.47250575212
1.363,177.025763575877,-160.317666489883,-153.563707635807
1.364,176.892258600054,-160.436956774726,-153.654852420747
1.365,176.758738171602,-160.556273552009,-153.74594004293
1.366,176.625202209789,-160.675616951762,-153.836970438323
1.367,176.491650633683,-160.794987104472,-153.927943542869
1.368,176.358083362146,-160.91438414109,-154.018859292491
1.369,176.224500313838,-161.033808193028,-154.10971762309
1.37,176.090901407218,-161.15325939216,-154.200518470549
1.371,175.957286560538,-161.272737870823,-154.291261770728
1.372,175.823655691849,-161.392243761813,-154.381947459471
1.373,175.690008718995,-161.511777198391,-154.472575472604
1.374,175.556345559616,-161.631338314279,-154.563145745936
1.375,175.422666131149,-161.750927243663,-154.653658215259
1.376,175.288970350823,-161.870544121189,-154.744112816352
1.377,175.155258135663,-161.990189081968,-154.83450948498
1.378,175.021529402488,-162.109862261572,-154.924848156893
1.379,174.887784067909,-162.229563796035,-155.015128767832
1.38,174.754022048333,-162.349293821856,-155.105351253527
1.381,174.620243259958,-162.469052475995,-155.195515549696
1.382,174.486447618775,-162.588839895875,-155.285621592053
1.383,174.352635040568,-162.708656219381,-155.375669316302
1.384,174.218805440914,-162.828501584861,-155.465658658143
1.385,174.08495873518,-162.948376131127,-155.55558955327
1.386,173.951094838525,-163.068279997451,-155.645461937376
1.387,173.8172136659,-163.188213323569,-155.735275746151
1.388,173.683315132045,-163.308176249678,-155.825030915287
1.389,173.549399151493,-163.428168916439,-155.914727380475
1.39,173.415465638565,-163.548191464973,-156.00436507741
1.391,173.281514507374,-163.668244036864,-156.093943941791
1.392,173.14754567182,-163.788326774159,-156.183463909325
1.393,173.013559045594,-163.908439819365,-156.272924915726
1.394,172.879554542177,-164.02858331545,-156.362326896715
1.395,172.745532074836,-164.148757405844,-156.451669788027
1.396,172.611491556629,-164.268962234439,-156.54095352541
1.397,172.477432900399,-164.389197945587,-156.630178044626
1.398,172.34335601878,-164.509464684099,-156.719343281454
1.399,172.209260824192,-164.62976259525,-156.808449171691
1.4,172.075147228843,-164.750091824772,-156.897495651157
1.401,171.941015144725,-164.870452518858,-156.986482655691
1.402,171.80686448362,-164.99084482416,-157.075410121161
1.403,171.672695157095,-165.11126888779,-157.164277983457
1.404,171.538507076504,-165.231724857319,-157.253086178502
1.405,171.404300152984,-165.352212880776,-157.341834642249
1.406,171.270074297459,-165.472733106648,-157.430523310683
1.407,171.13582942064,-165.59328568388,-157.519152119826
1.408,171.001565433021,-165.713870761876,-157.607721005739
1.409,170.867282244879,-165.834488490496,-157.696229904521
1.41,170.732979766279,-165.955139020055,-157.784678752316
1.411,170.598657907067,-166.075822501328,-157.873067485312
1.412,170.464316576874,-166.196539085543,-157.961396039746
1.413,170.329955685114,-166.317288924385,-158.049664351905
1.414,170.195575140985,-166.438072169993,-158.137872358128
1.415,170.061174853467,-166.558888974962,-158.226019994812
1.416,169.926754731323,-166.679739492339,-158.314107198411
1.417,169.792314683098,-166.800623875626,-158.40213390544
1.418,169.65785461712,-166.921542278778,-158.490100052481
1.419,169.523374441498,-167.042494856202,-158.578005576179
1.42,169.388874064124,-167.163481762758,-158.665850413252
1.421,169.254353392669,-167.284503153756,-158.75363450049
1.422,169.119812334587,-167.405559184958,-158.841357774759
1.423,168.985250797112,-167.526650012577,-158.929020173004
1.424,168.850668687259,-167.647775793273,-159.016621632254
1.425,168.716065911822,-167.768936684158,-159.104162089622
1.426,168.581442377377,-167.890132842791,-159.191641482309
1.427,168.446797990279,-168.01136442718,-159.279059747611
1.428,168.312132656663,-168.132631595779,-159.366416822917
1.429,168.177446282441,-168.253934507489,-159.453712645716
1.43,168.042738773308,-168.375273321658,-159.5409471536
1.431,167.908010034734,-168.496648198077,-159.628120284266
1.432,167.773259971971,-168.618059296984,-159.715231975522
1.433,167.638488490048,-168.739506779059,-159.802282165289
1.434,167.50369549377,-168.860990805427,-159.889270791603
1.435,167.368880887724,-168.982511537653,-159.976197792624
1.436,167.234044576272,-169.104069137745,-160.063063106635
1.437,167.099186463553,-169.225663768152,-160.149866672049
1.438,166.964306453487,-169.347295591762,-160.236608427409
1.439,166.829404449766,-169.468964771905,-160.323288311397
1.44,166.694480355863,-169.590671472346,-160.409906262836
1.441,166.559534075025,-169.71241585729,-160.496462220692
1.442,166.424565510278,-169.834198091378,-160.582956124081
1.443,166.289574564421,-169.956018339687,-160.669387912274
1.444,166.154561140031,-170.07787676773,-160.755757524697
1.445,166.019525139462,-170.199773541453,-160.84206490094
1.446,165.884466464841,-170.321708827237,-160.928309980759
1.447,165.749385018072,-170.443682791894,-161.014492704081
1.448,165.614280700834,-170.565695602668,-161.100613011011
1.449,165.47915341458,-170.687747427236,-161.18667084183
1.45,165.344003060541,-170.809838433701,-161.272666137008
1.451,165.208829539719,-170.931968790597,-161.358598837204
1.452,165.073632752892,-171.054138666887,-161.444468883271
1.453,164.938412600614,-171.176348231958,-161.530276216263
1.454,164.80316898321,-171.298597655626,-161.616020777438
1.455,164.667901800782,-171.42088710813,-161.701702508263
1.456,164.532610953205,-171.543216760134,-161.787321350423
1.457,164.397296340125,-171.665586782724,-161.87287724582
1.458,164.261957860967,-171.787997347409,-161.958370136583
1.459,164.126595414924,-171.910448626119,-162.043799965071
1.46,163.991208900965,-172.032940791202,-162.129166673881
1.461,163.855798217832,-172.155474015427,-162.21447020585
1.462,163.72036326404,-172.27804847198,-162.299710504063
1.463,163.584903937876,-172.400664334463,-162.384887511857
1.464,163.4494201374,-172.523321776895,-162.470001172829
1.465,163.313911760446,-172.646020973708,-162.55505143084
1.466,163.178378704617,-172.768762099748,-162.640038230021
1.467,163.042820867292,-172.891545330273,-162.72496151478
1.468,162.90723814562,-173.014370840953,-162.809821229805
1.469,162.771630436524,-173.137238807866,-162.894617320075
1.47,162.635997636696,-173.260149407501,-162.979349730861
1.471,162.500339642603,-173.383102816753,-163.064018407737
1.472,162.364656350483,-173.506099212923,-163.148623296582
1.473,162.228947656343,-173.62913877372,-163.23316434359
1.474,162.093213455965,-173.752221677253,-163.317641495272
1.475,161.957453644902,-173.875348102037,-163.402054698468
1.476,161.821668118476,-173.998518226987,-163.486403900351
1.477,161.685856771783,-174.121732231419,-163.570689048431
1.478,161.550019499689,-174.244990295048,-163.654910090566
1.479,161.414156196831,-174.368292597986,-163.739066974968
1.48,161.278266757619,-174.491639320741,-163.823159650208
1.481,161.14235107623,-174.615030644219,-163.907188065224
1.482,161.006409046618,-174.738466749717,-163.991152169328
1.483,160.870440562501,-174.861947818927,-164.075051912216
1.484,160.734445517375,-174.98547403393,-164.158887243968
1.485,160.5984238045,-175.109045577199,-164.242658115064
1.486,160.462375316913,-175.232662631594,-164.326364476386
1.487,160.326299947418,-175.356325380363,-164.410006279226
1.488,160.19019758859,-175.480034007141,-164.493583475295
1.489,160.054068132776,-175.603788695947,-164.577096016731
1.49,159.917911472094,-175.727589631181,-164.660543856105
1.491,159.781727498431,-175.851436997628,-164.743926946429
1.492,159.645516103446,-175.975330980452,-164.827245241167
1.493,159.509277178569,-176.099271765197,-164.910498694237
1.494,159.373010614999,-176.223259537782,-164.993687260026
1.495,159.236716303708,-176.347294484505,-165.076810893394
1.496,159.100394135437,-176.471376792038,-165.159869549681
1.497,158.964044000699,-176.595506647426,-165.242863184719
1.498,158.827665789776,-176.719684238085,-165.325791754841
1.499,158.691259392723,-176.843909751803,-165.408655216884
1.5,158.554824699365,-176.968183376737,-165.491453528203
