"Freq [GHz]","cang_deg(S(2,1)) [deg]","cang_deg(S(3,1)) [deg]"
1.093,-135.984633756804,-186.352490852334
1.094,-136.12362299549,-186.531502142888
1.095,-136.26262913149,-186.710562507739
1.096,-136.401651664871,-186.889672211641
1.097,-136.540690088495,-187.068831520842
1.098,-136.679743887935,-187.248040703085
1.099,-136.818812541389,-187.427300027619
1.1,-136.957895519599,-187.606609765195
1.101,-137.096992285759,-187.785970188078
1.102,-137.236102295435,-187.965381570046
1.103,-137.375224996472,-188.144844186399
1.104,-137.514359828906,-188.324358313957
1.105,-137.653506224875,-188.503924231072
1.106,-137.792663608528,-188.683542217624
1.107,-137.931831395933,-188.863212555032
1.108,-138.071008994983,-189.042935526254
1.109,-138.210195805301,-189.222711415789
1.11,-138.349391218149,-189.402540509688
1.111,-138.488594616327,-189.58242309555
1.112,-138.627805374077,-189.762359462529
1.113,-138.767022856988,-189.942349901337
1.114,-138.906246421892,-190.12239470425
1.115,-139.045475416764,-190.302494165106
1.116,-139.184709180623,-190.482648579312
1.117,-139.323947043427,-190.662858243848
1.118,-139.463188325968,-190.843123457266
1.119,-139.602432339769,-191.023444519698
1.12,-139.741678386977,-191.203821732854
1.121,-139.880925760254,-191.384255400029
1.122,-140.020173742667,-191.564745826101
1.123,-140.159421607584,-191.74529331754
1.124,-140.298668618556,-191.925898182403
1.125,-140.437914029206,-192.106560730343
1.126,-140.577157083119,-192.287281272607
1.127,-140.716397013721,-192.468060122039
1.128,-140.855633044168,-192.648897593084
1.129,-140.994864387225,-192.829794001786
1.13,-141.134090245146,-193.010749665796
1.131,-141.273309809559,-193.191764904365
1.132,-141.412522261337,-193.372840038354
1.133,-141.551726770482,-193.553975390231
1.134,-141.690922495996,-193.735171284072
1.135,-141.830108585755,-193.916428045564
1.136,-141.969284176386,-194.097746002004
1.137,-142.108448393132,-194.279125482304
1.138,-142.247600349727,-194.460566816985
1.139,-142.386739148264,-194.642070338185
1.14,-142.52586387906,-194.823636379654
1.141,-142.664973620521,-195.005265276756
1.142,-142.804067439008,-195.186957366471
1.143,-142.9431443887,-195.368712987392
1.144,-143.082203511452,-195.550532479727
1.145,-143.221243836657,-195.732416185299
1.146,-143.360264381104,-195.914364447543
1.147,-143.499264148829,-196.096377611507
1.148,-143.63824213098,-196.278456023854
1.149,-143.77719730566,-196.460600032855
1.15,-143.916128637784,-196.642809988394
1.151,-144.055035078926,-196.825086241962
1.152,-144.19391556717,-197.00742914666
1.153,-144.332769026954,-197.189839057194
1.154,-144.471594368916,-197.372316329872
1.155,-144.610390489737,-197.554861322609
1.156,-144.749156271982,-197.737474394917
1.157,-144.887890583939,-197.920155907907
1.158,-145.026592279459,-198.102906224284
1.159,-145.16526019779,-198.285725708349
1.16,-145.303893163412,-198.468614725989
1.161,-145.442489985869,-198.651573644682
1.162,-145.581049459601,-198.834602833485
1.163,-145.719570363772,-199.017702663038
1.164,-145.858051462094,-199.200873505557
1.165,-145.996491502659,-199.38411573483
1.166,-146.134889217755,-199.567429726214
1.167,-146.273243323692,-199.750815856628
1.168,-146.411552520618,-199.934274504554
1.169,-146.549815492339,-200.117806050025
1.17,-146.688030906131,-200.301410874628
1.171,-146.826197412559,-200.48508936149
1.172,-146.964313645282,-200.668841895281
1.173,-147.102378220866,-200.852668862203
1.174,-147.240389738591,-201.036570649985
1.175,-147.378346780255,-201.220547647879
1.176,-147.516247909977,-201.404600246652
1.177,-147.654091674,-201.588728838577
1.178,-147.791876600489,-201.772933817434
1.179,-147.929601199327,-201.957215578492
1.18,-148.067263961908,-202.141574518511
1.181,-148.204863360934,-202.326011035729
1.182,-148.342397850202,-202.510525529857
1.183,-148.479865864392,-202.695118402069
1.184,-148.617265818854,-202.879790054993
1.185,-148.75459610939,-203.064540892707
1.186,-148.891855112037,-203.249371320723
1.187,-149.029041182846,-203.434281745985
1.188,-149.166152657654,-203.619272576853
1.189,-149.303187851867,-203.804344223099
1.19,-149.440145060223,-203.989497095892
1.191,-149.577022556567,-204.174731607792
1.192,-149.713818593619,-204.360048172735
1.193,-149.850531402732,-204.545447206026
1.194,-149.987159193663,-204.730929124327
1.195,-150.123700154327,-204.916494345643
1.196,-150.260152450557,-205.102143289313
1.197,-150.396514225859,-205.287876375995
1.198,-150.532783601164,-205.473694027659
1.199,-150.668958674576,-205.659596667567
1.2,-150.805037521125,-205.845584720266
1.201,-150.941018192506,-206.031658611571
1.202,-151.076898716826,-206.217818768553
1.203,-151.212677098339,-206.404065619525
1.204,-151.348351317189,-206.590399594026
1.205,-151.48391932914,-206.776821122808
1.206,-151.61937906531,-206.963330637822
1.207,-151.754728431901,-207.1499285722
1.208,-151.889965309923,-207.33661536024
1.209,-152.025087554922,-207.523391437392
1.21,-152.160092996697,-207.710257240238
1.211,-152.294979439023,-207.89721320648
1.212,-152.429744659363,-208.084259774918
1.213,-152.564386408584,-208.271397385437
1.214,-152.698902410666,-208.458626478985
1.215,-152.833290362412,-208.64594749756
1.216,-152.967547933149,-208.833360884184
1.217,-153.101672764435,-209.020867082893
1.218,-153.235662469752,-209.208466538711
1.219,-153.369514634211,-209.396159697632
1.22,-153.503226814238,-209.583947006603
1.221,-153.63679653727,-209.771828913499
1.222,-153.770221301443,-209.959805867106
1.223,-153.903498575272,-210.147878317098
1.224,-154.036625797341,-210.336046714015
1.225,-154.169600375977,-210.524311509243
1.226,-154.30241968893,-210.712673154989
1.227,-154.435081083046,-210.901132104261
1.228,-154.567581873938,-211.089688810843
1.229,-154.699919345653,-211.278343729272
1.23,-154.832090750341,-211.467097314815
1.231,-154.964093307914,-211.655950023443
1.232,-155.095924205707,-211.844902311806
1.233,-155.227580598134,-212.03395463721
1.234,-155.359059606345,-212.22310745759
1.235,-155.490358317872,-212.412361231485
1.236,-155.621473786283,-212.601716418008
1.237,-155.752403030822,-212.791173476824
1.238,-155.883143036056,-212.980732868121
1.239,-156.01369075151,-213.170395052579
1.24,-156.144043091312,-213.360160491348
1.241,-156.274196933816,-213.550029646013
1.242,-156.404149121242,-213.740002978569
1.243,-156.533896459304,-213.930080951392
1.244,-156.663435716829,-214.120264027205
1.245,-156.792763625389,-214.310552669052
1.246,-156.921876878913,-214.500947340264
1.247,-157.050772133313,-214.691448504431
1.248,-157.17944600609,-214.882056625366
1.249,-157.307895075955,-215.072772167077
1.25,-157.436115882433,-215.263595593733
1.251,-157.564104925471,-215.454527369628
1.252,-157.691858665044,-215.645567959152
1.253,-157.819373520757,-215.836717826756
1.254,-157.946645871443,-216.027977436914
1.255,-158.073672054762,-216.219347254091
1.256,-158.200448366794,-216.41082774271
1.257,-158.326971061631,-216.602419367111
1.258,-158.453236350971,-216.794122591517
1.259,-158.579240403701,-216.985937879999
1.26,-158.704979345485,-217.177865696436
1.261,-158.830449258346,-217.369906504478
1.262,-158.955646180251,-217.562060767511
1.263,-159.080566104685,-217.754328948611
1.264,-159.205204980234,-217.946711510513
1.265,-159.329558710154,-218.139208915567
1.266,-159.453623151953,-218.331821625698
1.267,-159.577394116956,-218.524550102368
1.268,-159.700867369877,-218.71739480653
1.269,-159.824038628392,-218.910356198593
1.27,-159.9469035627,-219.103434738376
1.271,-160.069457795095,-219.296630885064
1.272,-160.191696899526,-219.48994509717
1.273,-160.313616401164,-219.683377832488
1.274,-160.435211775963,-219.87692954805
1.275,-160.556478450222,-220.070600700082
1.276,-160.677411800146,-220.264391743958
1.277,-160.798007151406,-220.458303134157
1.278,-160.918259778698,-220.652335324214
1.279,-161.038164905305,-220.846488766677
1.28,-161.157717702653,-221.040763913059
1.281,-161.27691328987,-221.23516121379
1.282,-161.395746733348,-221.429681118169
1.283,-161.514213046299,-221.624324074319
1.284,-161.632307188316,-221.819090529134
1.285,-161.750024064931,-222.013980928234
1.286,-161.867358527182,-222.208995715912
1.287,-161.984305371167,-222.404135335088
1.288,-162.100859337612,-222.599400227253
1.289,-162.217015111434,-222.794790832424
1.29,-162.332767321306,-222.990307589088
1.291,-162.448110539227,-223.185950934153
1.292,-162.563039280089,-223.381721302894
1.293,-162.677548001252,-223.577619128903
1.294,-162.791631102116,-223.773644844031
1.295,-162.9052829237,-223.969798878338
1.296,-163.01849774822,-224.16608166004
1.297,-163.131269798678,-224.362493615451
1.298,-163.243593238442,-224.559035168929
1.299,-163.355462170845,-224.755706742823
1.3,-163.466870638776,-224.952508757414
1.301,-163.577812624279,-225.149441630861
1.302,-163.688282048166,-225.346505779144
1.303,-163.798272769616,-225.543701616006
1.304,-163.907778585802,-225.741029552895
1.305,-164.016793231506,-225.938489998909
1.306,-164.125310378749,-226.136083360734
1.307,-164.23332363643,-226.333810042589
1.308,-164.340826549965,-226.531670446163
1.309,-164.447812600936,-226.72966497056
1.31,-164.554275206756,-226.927794012235
1.311,-164.660207720328,-227.126057964935
1.312,-164.765603429726,-227.324457219641
1.313,-164.87045555788,-227.522992164502
1.314,-164.97475726227,-227.721663184778
1.315,-165.078501634635,-227.920470662778
1.316,-165.181681700687,-228.119414977795
1.317,-165.284290419842,-228.318496506045
1.318,-165.386320684963,-228.517715620606
1.319,-165.48776532211,-228.717072691353
1.32,-165.588617090312,-228.916568084896
1.321,-165.688868681347,-229.116202164512
1.322,-165.788512719537,-229.31597529009
1.323,-165.887541761565,-229.515887818056
1.324,-165.985948296298,-229.715940101317
1.325,-166.083724744634,-229.916132489191
1.326,-166.180863459366,-230.116465327343
1.327,-166.277356725064,-230.316938957722
1.328,-166.373196757971,-230.517553718492
1.329,-166.468375705929,-230.718309943967
1.33,-166.562885648315,-230.919207964547
1.331,-166.656718596008,-231.120248106648
1.332,-166.749866491372,-231.321430692639
1.333,-166.842321208267,-231.52275604077
1.334,-166.934074552079,-231.724224465113
1.335,-167.025118259784,-231.925836275486
1.336,-167.115444000027,-232.127591777392
1.337,-167.20504337324,-232.329491271947
1.338,-167.29390791178,-232.531535055816
1.339,-167.382029080099,-232.733723421143
1.34,-167.469398274948,-232.936056655482
1.341,-167.556006825606,-233.138535041731
1.342,-167.641845994149,-233.341158858062
1.343,-167.726906975748,-233.543928377854
1.344,-167.811180899004,-233.746843869622
1.345,-167.894658826321,-233.949905596953
1.346,-167.977331754315,-234.153113818432
1.347,-168.05919061426,-234.356468787576
1.348,-168.140226272582,-234.559970752766
1.349,-168.220429531386,-234.763619957175
1.35,-168.299791129033,-234.967416638704
1.351,-168.378301740757,-235.171361029907
1.352,-168.45595197933,-235.375453357928
1.353,-168.532732395778,-235.579693844428
1.354,-168.60863348014,-235.784082705519
1.355,-168.683645662284,-235.988620151693
1.356,-168.757759312769,-236.193306387755
1.357,-168.830964743766,-236.398141612753
1.358,-168.903252210038,-236.60312601991
1.359,-168.974611909964,-236.808259796556
1.36,-169.045033986638,-237.013543124059
1.361,-169.114508529021,-237.218976177759
1.362,-169.183025573155,-237.424559126893
1.363,-169.250575103443,-237.630292134538
1.364,-169.317147054001,-237.836175357534
1.365,-169.382731310067,-238.042208946419
1.366,-169.447317709491,-238.248393045365
1.367,-169.510896044294,-238.454727792107
1.368,-169.573456062298,-238.661213317877
1.369,-169.634987468833,-238.867849747338
1.37,-169.695479928532,-239.074637198519
1.371,-169.75492306719,-239.281575782745
1.372,-169.813306473722,-239.488665604575
1.373,-169.870619702191,-239.695906761735
1.374,-169.926852273938,-239.903299345053
1.375,-169.981993679784,-240.110843438394
1.376,-170.036033382342,-240.318539118596
1.377,-170.088960818405,-240.526386455406
1.378,-170.140765401442,-240.734385511416
1.379,-170.191436524185,-240.942536342001
1.38,-170.240963561322,-241.150838995252
1.381,-170.289335872284,-241.359293511922
1.382,-170.336542804146,-241.567899925356
1.383,-170.38257369463,-241.776658261433
1.384,-170.427417875217,-241.985568538506
1.385,-170.471064674372,-242.194630767341
1.386,-170.513503420882,-242.403844951055
1.387,-170.554723447314,-242.613211085062
1.388,-170.594714093581,-242.822729157008
1.389,-170.633464710639,-243.032399146718
1.39,-170.670964664306,-243.242221026137
1.391,-170.707203339198,-243.452194759273
1.392,-170.742170142797,-243.662320302139
1.393,-170.775854509653,-243.872597602702
1.394,-170.808245905704,-244.083026600826
1.395,-170.839333832747,-244.293607228215
1.396,-170.869107833026,-244.504339408365
1.397,-170.897557493972,-244.715223056508
1.398,-170.92467245307,-244.926258079561
1.399,-170.950442402877,-245.137444376075
1.4,-170.974857096175,-245.348781836186
1.401,-170.997906351272,-245.560270341564
1.402,-171.019580057445,-245.771909765364
1.403,-171.039868180534,-245.98369997218
1.404,-171.05876076868,-246.195640817998
1.405,-171.076247958216,-246.407732150148
1.406,-171.092319979707,-246.619973807261
1.407,-171.10696716414,-246.832365619226
1.408,-171.120179949267,-247.044907407143
1.409,-171.131948886101,-247.257598983285
1.41,-171.142264645567,-247.470440151052
1.411,-171.151118025299,-247.683430704937
1.412,-171.158499956602,-247.896570430481
1.413,-171.164401511556,-248.109859104239
1.414,-171.168813910282,-248.323296493739
1.415,-171.171728528353,-248.536882357451
1.416,-171.173136904362,-248.750616444747
1.417,-171.17303074764,-248.964498495871
1.418,-171.171401946119,-249.178528241903
1.419,-171.16824257435,-249.392705404731
1.42,-171.163544901661,-249.607029697018
1.421,-171.157301400461,-249.821500822172
1.422,-171.149504754689,-250.036118474322
1.423,-171.140147868394,-250.250882338286
1.424,-171.12922387446,-250.465792089551
1.425,-171.116726143457,-250.680847394243
1.426,-171.102648292623,-250.896047909108
1.427,-171.086984194971,-251.111393281488
1.428,-171.069727988518,-251.326883149299
1.429,-171.050874085621,-251.542517141018
1.43,-171.030417182437,-251.758294875658
1.431,-171.008352268475,-251.974215962753
1.432,-170.984674636254,-252.190280002347
1.433,-170.959379891049,-252.406486584974
1.434,-170.932463960724,-252.62283529165
1.435,-170.903923105643,-252.839325693858
1.436,-170.873753928651,-253.055957353543
1.437,-170.841953385112,-253.2727298231
1.438,-170.80851879301,-253.489642645365
1.439,-170.773447843081,-253.706695353617
1.44,-170.736738608992,-253.923887471566
1.441,-170.698389557531,-254.141218513354
1.442,-170.658399558824,-254.358687983554
1.443,-170.616767896539,-254.576295377171
1.444,-170.573494278093,-254.79404017964
1.445,-170.528578844832,-255.011921866833
1.446,-170.482022182173,-255.229939905063
1.447,-170.433825329709,-255.44809375109
1.448,-170.38398979124,-255.666382852127
1.449,-170.332517544739,-255.884806645854
1.45,-170.279411052227,-256.103364560424
1.451,-170.224673269534,-256.322056014479
1.452,-170.168307655957,-256.540880417161
1.453,-170.110318183764,-256.75983716813
1.454,-170.050709347561,-256.978925657582
1.455,-169.989486173481,-257.198145266264
1.456,-169.926654228193,-257.417495365498
1.457,-169.862219627703,-257.6369753172
1.458,-169.796189045938,-257.856584473906
1.459,-169.728569723094,-258.076322178796
1.46,-169.659369473718,-258.296187765722
1.461,-169.588596694524,-258.516180559234
1.462,-169.516260371911,-258.736299874611
1.463,-169.442370089169,-258.956545017894
1.464,-169.366936033353,-259.176915285917
1.465,-169.289969001803,-259.397409966343
1.466,-169.211480408301,-259.6180283377
1.467,-169.131482288834,-259.838769669421
1.468,-169.049987306948,-260.059633221879
1.469,-168.967008758676,-260.280618246434
1.47,-168.882560577023,-260.501723985472
1.471,-168.796657335981,-260.72294967245
1.472,-168.709314254063,-260.944294531944
1.473,-168.620547197337,-261.165757779696
1.474,-168.530372681941,-261.387338622661
1.475,-168.438807876054,-261.609036259061
1.476,-168.345870601328,-261.830849878437
1.477,-168.251579333735,-262.052778661702
1.478,-168.15595320384,-262.274821781197
1.479,-168.059011996467,-262.496978400751
1.48,-167.96077614975,-262.719247675735
1.481,-167.861266753561,-262.941628753127
1.482,-167.760505547288,-263.164120771572
1.483,-167.658514916968,-263.386722861445
1.484,-167.555317891751,-263.60943414492
1.485,-167.450938139689,-263.832253736031
1.486,-167.345399962847,-264.055180740744
1.487,-167.238728291716,-264.278214257028
1.488,-167.130948678936,-264.501353374923
1.489,-167.022087292311,-264.724597176614
1.49,-166.912170907119,-264.947944736506
1.491,-166.801226897714,-265.171395121301
1.492,-166.689283228415,-265.394947390071
1.493,-166.576368443686,-265.618600594341
1.494,-166.462511657602,-265.842353778169
1.495,-166.347742542618,-266.066205978225
1.496,-166.232091317626,-266.290156223876
1.497,-166.11558873532,-266.514203537269
1.498,-165.998266068876,-266.73834693342
1.499,-165.880155097945,-266.962585420297
1.5,-165.761288093982,-267.186917998912
1.501,-165.64169780492,-267.411343663408
1.502,-165.521417439192,-267.635861401155
1.503,-165.400480649133,-267.860470192836
1.504,-165.27892151377,-268.085169012546
1.505,-165.156774521013,-268.309956827885
1.506,-165.03407454928,-268.534832600056
1.507,-164.910856848562,-268.75979528396
1.508,-164.787157020965,-268.984843828297
1.509,-164.663011000743,-269.209977175665
1.51,-164.538455033848,-269.435194262662
1.511,-164.41352565703,-269.660494019988
1.512,-164.288259676511,-269.885875372547
1.513,-164.162694146253,-270.111337239553
1.514,-164.036866345869,-270.336878534638
1.515,-163.910813758193,-270.562498165955
1.516,-163.784574046538,-270.788195036285
1.517,-163.658185031695,-271.013968043151
1.518,-163.531684668679,-271.239816078923
1.519,-163.405111023283,-271.465738030931
1.52,-163.278502248449,-271.691732781576
1.521,-163.151896560512,-271.917799208442
1.522,-163.025332215343,-272.143936184412
1.523,-162.898847484425,-272.37014257778
1.524,-162.772480630902,-272.596417252366
1.525,-162.646269885638,-272.822759067634
1.526,-162.520253423317,-273.049166878806
1.527,-162.394469338623,-273.275639536984
1.528,-162.268955622537,-273.502175889264
1.529,-162.143750138781,-273.728774778857
1.53,-162.018890600456,-273.955435045209
1.531,-161.894414546887,-274.18215552412
1.532,-161.770359320734,-274.408935047867
1.533,-161.646762045381,-274.635772445324
1.534,-161.523659602649,-274.862666542084
1.535,-161.40108861086,-275.089616160584
1.536,-161.27908540328,-275.316620120225
1.537,-161.157686006969,-275.543677237498
1.538,-161.036926122079,-275.770786326109
1.539,-160.916841101611,-275.9979461971
1.54,-160.797465931666,-276.225155658977
1.541,-160.678835212213,-276.452413517835
1.542,-160.560983138398,-276.679718577483
1.543,-160.443943482413,-276.907069639572
1.544,-160.327749575953,-277.134465503715
1.545,-160.212434293264,-277.361904967624
1.546,-160.098030034825,-277.589386827227
1.547,-159.984568711653,-277.816909876801
1.548,-159.872081730265,-278.044472909096
1.549,-159.760599978304,-278.272074715463
1.55,-159.65015381083,-278.499714085984
1.551,-159.54077303731,-278.727389809594
1.552,-159.43248690929,-278.955100674214
1.553,-159.325324108771,-279.182845466876
1.554,-159.219312737287,-279.410622973849
1.555,-159.1144803057,-279.638431980769
1.556,-159.010853724697,-279.866271272766
1.557,-158.908459296002,-280.09413963459
1.558,-158.807322704302,-280.322035850738
1.559,-158.707469009882,-280.549958705582
1.56,-158.608922641963,-280.777906983498
1.561,-158.511707392746,-281.005879468985
1.562,-158.415846412151,-281.233874946801
1.563,-158.321362203241,-281.461892202081
1.564,-158.228276618334,-281.689930020466
1.565,-158.136610855779,-281.91798718823
1.566,-158.046385457398,-282.146062492402
1.567,-157.957620306577,-282.374154720892
1.568,-157.870334626991,-282.602262662614
1.569,-157.784546981958,-282.830385107611
1.57,-157.700275274402,-283.058520847178
1.571,-157.617536747407,-283.286668673985
1.572,-157.536347985362,-283.514827382197
1.573,-157.456724915656,-283.742995767598
1.574,-157.378682810932,-283.971172627712
1.575,-157.302236291871,-284.199356761922
1.576,-157.227399330477,-284.427546971589
1.577,-157.154185253873,-284.655742060175
1.578,-157.082606748565,-284.883940833357
1.579,-157.012675865162,-285.112142099148
1.58,-156.944404023545,-285.340344668011
1.581,-156.877802018445,-285.568547352979
1.582,-156.812880025432,-285.796748969765
1.583,-156.749647607278,-286.024948336884
1.584,-156.688113720693,-286.253144275758
1.585,-156.628286723393,-286.481335610836
1.586,-156.570174381505,-286.709521169703
1.587,-156.513783877266,-286.937699783191
1.588,-156.459121817023,-287.16587028549
1.589,-156.406194239486,-287.394031514258
1.59,-156.355006624242,-287.622182310725
1.591,-156.3055639005,-287.850321519808
1.592,-156.257870456044,-288.078447990209
1.593,-156.211930146389,-288.306560574525
1.594,-156.167746304109,-288.534658129352
1.595,-156.125321748339,-288.762739515386
1.596,-156.08465879441,-288.990803597528
1.597,-156.04575926362,-289.218849244981
1.598,-156.008624493123,-289.446875331353
1.599,-155.973255345906,-289.674880734757
1.6,-155.939652220861,-289.902864337901
1.601,-155.907815062922,-290.130825028195
1.602,-155.877743373255,-290.358761697837
1.603,-155.849436219497,-290.586673243913
1.604,-155.822892246019,-290.814558568485
1.605,-155.798109684207,-291.042416578686
1.606,-155.775086362753,-291.27024618681
1.607,-155.753819717932,-291.498046310399
1.608,-155.734306803867,-291.725815872332
1.609,-155.716544302764,-291.95355380091
1.61,-155.700528535111,-292.181259029945
1.611,-155.686255469826,-292.408930498838
1.612,-155.673720734354,-292.636567152667
1.613,-155.662919624695,-292.864167942265
1.614,-155.653847115358,-293.0917318243
1.615,-155.646497869239,-293.319257761354
1.616,-155.640866247406,-293.546744722001
1.617,-155.636946318793,-293.774191680881
1.618,-155.634731869791,-294.001597618776
1.619,-155.634216413734,-294.228961522682
1.62,-155.635393200267,-294.45628238588
1.621,-155.638255224606,-294.683559208007
1.622,-155.642795236666,-294.910790995125
1.623,-155.649005750071,-295.137976759788
1.624,-155.656879051026,-295.365115521109
1.625,-155.666407207058,-295.59220630482
1.626,-155.677582075625,-295.819248143343
1.627,-155.690395312573,-296.046240075844
1.628,-155.704838380461,-296.273181148298
1.629,-155.720902556736,-296.500070413544
1.63,-155.738578941761,-296.726906931347
1.631,-155.757858466695,-296.953689768451
1.632,-155.778731901223,-297.180417998631
1.633,-155.801189861131,-297.407090702752
1.634,-155.825222815736,-297.633706968817
1.635,-155.850821095155,-297.860265892016
1.636,-155.877974897426,-298.086766574776
1.637,-155.906674295469,-298.31320812681
1.638,-155.936909243904,-298.53958966516
1.639,-155.968669585701,-298.765910314243
1.64,-156.00194505869,-298.992169205892
1.641,-156.036725301907,-299.2183654794
1.642,-156.072999861798,-299.444498281558
1.643,-156.110758198261,-299.670566766696
1.644,-156.149989690547,-299.896570096715
1.645,-156.190683643006,-300.122507441129
1.646,-156.232829290686,-300.348377977096
1.647,-156.276415804786,-300.574180889451
1.648,-156.321432297962,-300.799915370736
1.649,-156.36786782949,-301.025580621234
1.65,-156.41571141029,-301.251175848996
1.651,-156.464952007801,-301.476700269865
1.652,-156.515578550726,-301.702153107505
1.653,-156.567579933636,-301.927533593428
1.654,-156.620945021438,-302.15284096701
1.655,-156.675662653714,-302.378074475519
1.656,-156.731721648922,-302.603233374134
1.657,-156.789110808478,-302.82831692596
1.658,-156.847818920701,-303.053324402052
1.659,-156.90783476464,-303.278255081426
1.66,-156.969147113778,-303.503108251078
1.661,-157.031744739609,-303.727883205993
1.662,-157.095616415109,-303.952579249164
1.663,-157.160750918077,-304.177195691595
1.664,-157.227137034377,-304.401731852319
1.665,-157.294763561055,-304.626187058399
1.666,-157.363619309357,-304.850560644942
1.667,-157.433693107635,-305.074851955099
1.668,-157.50497380415,-305.299060340074
1.669,-157.577450269773,-305.523185159126
1.67,-157.651111400587,-305.74722577957
1.671,-157.725946120386,-305.971181576781
1.672,-157.801943383088,-306.195051934191
1.673,-157.879092175043,-306.418836243288
1.674,-157.957381517262,-306.642533903618
1.675,-158.036800467545,-306.866144322772
1.676,-158.117338122535,-307.089666916393
1.677,-158.198983619673,-307.313101108159
1.678,-158.281726139084,-307.536446329782
1.679,-158.365554905378,-307.759702021002
1.68,-158.450459189362,-307.982867629569
1.681,-158.536428309698,-308.205942611242
1.682,-158.623451634463,-308.428926429773
1.683,-158.711518582654,-308.651818556892
1.684,-158.800618625614,-308.874618472302
1.685,-158.890741288392,-309.097325663653
1.686,-158.981876151037,-309.319939626536
1.687,-159.074012849824,-309.542459864463
1.688,-159.167141078424,-309.764885888848
1.689,-159.261250589005,-309.987217218989
1.69,-159.356331193281,-310.209453382052
1.691,-159.452372763497,-310.431593913044
1.692,-159.54936523336,-310.6536383548
1.693,-159.647298598925,-310.875586257951
1.694,-159.746162919408,-311.097437180911
