Freq [GHz],dB(S11_OFF),dB(S11_ON),dB(S21_OFF),dB(S21_ON)
1.387,-1.1335773866,-9.4500201737,-10.4361085067,-1.0298698703
1.388,-1.1342691765,-9.4652970918,-10.4301278237,-1.0277580794
1.389,-1.1349585034,-9.480585018,-10.42416899,-1.0256533574
1.39,-1.1356453668,-9.495883925,-10.4182319363,-1.0235556882
1.391,-1.1363297664,-9.5111937854,-10.4123165936,-1.0214650553
1.392,-1.1370117019,-9.5265145715,-10.4064228928,-1.0193814426
1.393,-1.1376911729,-9.5418462554,-10.4005507651,-1.0173048337
1.394,-1.1383681792,-9.5571888093,-10.3947001415,-1.0152352124
1.395,-1.1390427206,-9.5725422051,-10.3888709535,-1.0131725624
1.396,-1.1397147968,-9.5879064146,-10.3830631323,-1.0111168676
1.397,-1.1403844079,-9.6032814094,-10.3772766095,-1.0090681116
1.398,-1.1410515536,-9.6186671609,-10.3715113167,-1.0070262784
1.399,-1.1417162339,-9.6340636406,-10.3657671855,-1.0049913516
1.4,-1.142378449,-9.6494708195,-10.3600441479,-1.0029633152
1.401,-1.1430381987,-9.6648886688,-10.3543421356,-1.0009421529
1.402,-1.1436954831,-9.6803171594,-10.3486610808,-0.9989278486
1.403,-1.1443503025,-9.6957562619,-10.3430009155,-0.9969203862
1.404,-1.145002657,-9.711205947,-10.3373615721,-0.9949197495
1.405,-1.1456525467,-9.7266661852,-10.3317429828,-0.9929259223
1.406,-1.146299972,-9.7421369466,-10.3261450801,-0.9909388887
1.407,-1.1469449331,-9.7576182015,-10.3205677966,-0.9889586324
1.408,-1.1475874304,-9.7731099198,-10.3150110649,-0.9869851374
1.409,-1.1482274642,-9.7886120714,-10.3094748179,-0.9850183877
1.41,-1.148865035,-9.804124626,-10.3039589885,-0.9830583671
1.411,-1.1495001431,-9.8196475531,-10.2984635097,-0.9811050597
1.412,-1.1501327893,-9.835180822,-10.2929883146,-0.9791584493
1.413,-1.1507629738,-9.850724402,-10.2875333364,-0.9772185201
1.414,-1.1513906974,-9.8662782622,-10.2820985085,-0.9752852559
1.415,-1.1520159606,-9.8818423714,-10.2766837645,-0.9733586408
1.416,-1.1526387642,-9.8974166984,-10.2712890378,-0.9714386588
1.417,-1.1532591088,-9.9130012119,-10.2659142622,-0.9695252939
1.418,-1.1538769951,-9.9285958802,-10.2605593715,-0.9676185303
1.419,-1.1544924239,-9.9442006716,-10.2552242997,-0.9657183518
1.42,-1.1551053961,-9.9598155542,-10.2499089808,-0.9638247427
1.421,-1.1557159124,-9.9754404961,-10.244613349,-0.961937687
1.422,-1.1563239739,-9.991075465,-10.2393373386,-0.9600571688
1.423,-1.1569295813,-10.0067204286,-10.2340808839,-0.9581831723
1.424,-1.1575327358,-10.0223753542,-10.2288439196,-0.9563156814
1.425,-1.1581334382,-10.0380402094,-10.2236263803,-0.9544546805
