Freq [GHz],VSWR_HFSS,VSWR_measured_stub_matching,VSWR_measured_unmatched
1,320.7702345,70.682007,102.31223
1.001,321.369638,74.224411,103.8325
1.002,321.9683445,64.853691,102.6442
1.003,322.5663445,73.733459,127.20243
1.004,323.1636289,68.529572,99.228333
1.005,323.7601883,69.297638,90.474113
1.006,324.3560133,66.004913,119.47407
1.007,324.9510946,65.45536,117.48534
1.008,325.5454229,61.608788,99.684959
1.009,326.138989,62.833405,104.6795
1.01,326.7317835,63.193623,96.906075
1.011,327.323797,62.252983,90.720482
1.012,327.9150203,63.665646,106.17151
1.013,328.5054441,77.140648,97.842941
1.014,329.0950591,66.219864,113.69043
1.015,329.683856,66.074753,107.70584
1.016,330.2718255,66.433121,98.466942
1.017,330.8589583,63.096798,108.59033
1.018,331.4452452,60.363506,97.914848
1.019,332.0306769,65.361198,110.2793
1.02,332.6152441,62.068771,110.61176
1.021,333.1989375,61.387489,108.79451
1.022,333.781748,58.49305,90.175407
1.023,334.3636663,60.936451,99.628006
1.024,334.9446831,65.78907,106.11836
1.025,335.5247892,56.791546,90.756554
1.026,336.1039755,53.600979,85.120285
1.027,336.6822328,58.13406,106.72435
1.028,337.2595518,52.457943,90.790024
1.029,337.8359233,62.94838,103.66663
1.03,338.4113382,62.867046,99.77581
1.031,338.9857874,63.970127,122.16599
1.032,339.5592617,55.258606,90.997787
1.033,340.1317519,53.518127,92.208153
1.034,340.703249,58.452595,94.396133
1.035,341.2737438,56.76749,101.50384
1.036,341.8432273,54.480316,87.608032
1.037,342.4116904,53.716404,93.313309
1.038,342.979124,57.860153,95.288155
1.039,343.5455191,61.670246,107.31113
1.04,344.1108666,54.860233,91.882141
1.041,344.6751575,56.5597,100.61617
1.042,345.2383829,53.777256,89.608345
1.043,345.8005337,58.67931,104.98552
1.044,346.361601,51.358921,103.44903
1.045,346.9215759,51.567055,106.64107
1.046,347.4804493,57.458508,90.637787
1.047,348.0382125,55.006748,113.67562
1.048,348.5948565,55.338917,97.294769
1.049,349.1503725,52.239136,90.434776
1.05,349.7047515,55.00832,126.13209
1.051,350.2579848,56.159637,90.223106
1.052,350.8100636,55.771477,102.15625
1.053,351.3609791,56.996067,113.05203
1.054,351.9107224,51.541725,97.871323
1.055,352.459285,53.448544,101.42986
1.056,353.0066579,51.394272,92.116264
1.057,353.5528327,54.612022,90.808624
1.058,354.0978005,51.195892,102.27601
1.059,354.6415527,52.702412,124.91107
1.06,355.1840807,48.189007,93.37915
1.061,355.7253759,51.000835,99.937744
1.062,356.2654297,48.50893,95.521858
1.063,356.8042336,49.913765,93.370239
1.064,357.341779,51.687038,132.9064
1.065,357.8780574,49.288486,98.420685
1.066,358.4130605,46.188148,94.303032
1.067,358.9467796,46.493618,86.584679
1.068,359.4792064,47.551994,95.038841
1.069,360.0103326,49.999161,97.381836
1.07,360.5401497,49.729164,98.48394
1.071,361.0686494,46.501427,92.656067
1.072,361.5958235,49.183765,92.550514
1.073,362.1216636,46.38295,97.135414
1.074,362.6461614,50.476959,103.80674
1.075,363.1693089,49.054119,106.26397
1.076,363.6910978,49.122726,88.983345
1.077,364.2115199,42.746891,93.215836
1.078,364.7305671,45.683624,114.25683
1.079,365.2482314,49.284286,101.1243
1.08,365.7645046,44.787552,109.0641
1.081,366.2793788,52.736568,119.58485
1.082,366.792846,47.567169,106.06457
1.083,367.3048982,43.834663,90.039627
1.084,367.8155275,48.431374,90.558388
1.085,368.3247259,50.772076,97.033203
1.086,368.8324858,48.182877,96.704742
1.087,369.3387991,43.510216,100.82119
1.088,369.8436582,45.080189,101.49432
1.089,370.3470553,44.356873,114.00014
1.09,370.8489827,45.957424,113.28426
1.091,371.3494326,44.802132,110.66093
1.092,371.8483976,45.273727,107.29887
1.093,372.3458699,44.038139,85.291443
1.094,372.841842,43.874928,85.554382
1.095,373.3363064,41.557461,105.12308
1.096,373.8292556,42.554367,85.030991
1.097,374.3206821,41.666698,87.922913
1.098,374.8105786,46.423508,115.64655
1.099,375.2989376,42.465992,98.078453
1.1,375.7857518,42.016495,87.599434
1.101,376.271014,42.186073,90.568893
1.102,376.7547169,40.932915,95.707397
1.103,377.2368533,41.75552,79.625107
1.104,377.7174159,40.896778,103.89536
1.105,378.1963978,41.758762,111.42013
1.106,378.6737917,39.032581,85.583176
1.107,379.1495907,38.631977,91.17646
1.108,379.6237877,40.686634,96.850533
1.109,380.0963759,41.308651,97.583618
1.11,380.5673482,39.420982,92.890221
1.111,381.0366978,40.661892,104.18555
1.112,381.5044179,41.688599,95.694122
1.113,381.9705016,37.982525,89.61013
1.114,382.4349423,39.487076,94.855873
1.115,382.8977333,37.526367,87.888481
1.116,383.3588679,36.780479,89.781967
1.117,383.8183394,37.142155,87.775589
1.118,384.2761414,39.646999,92.30925
1.119,384.7322673,37.39959,90.233192
1.12,385.1867107,39.14922,96.420822
1.121,385.639465,38.456818,94.978317
1.122,386.0905241,39.380291,96.944008
1.123,386.5398814,37.768688,91.340538
1.124,386.9875307,35.324951,84.929382
1.125,387.4334659,35.984882,86.204536
1.126,387.8776806,35.448166,99.516708
1.127,388.3201689,34.947289,85.365562
1.128,388.7609245,36.125328,116.26591
1.129,389.1999414,36.551819,106.17532
1.13,389.6372136,36.704365,95.118286
1.131,390.0727353,35.541565,101.5733
1.132,390.5065004,36.745029,83.179634
1.133,390.9385032,35.607563,99.93103
1.134,391.3687378,36.269424,93.169762
1.135,391.7971985,34.147179,90.776428
1.136,392.2238796,35.101894,90.147522
1.137,392.6487754,36.691242,103.02662
1.138,393.0718804,34.923374,100.24851
1.139,393.493189,33.567696,90.212105
1.14,393.9126957,33.342529,92.301331
1.141,394.330395,33.526997,92.767059
1.142,394.7462817,32.583256,79.183487
1.143,395.1603502,33.311993,99.508453
1.144,395.5725953,33.172291,94.442284
1.145,395.9830119,33.955864,103.14136
1.146,396.3915946,30.667978,88.19194
1.147,396.7983384,33.122822,100.1387
1.148,397.2032382,32.310661,89.182846
1.149,397.6062889,31.74861,81.630196
1.15,398.0074857,32.611187,86.649666
1.151,398.4068234,32.700733,99.285889
1.152,398.8042974,32.188656,82.083588
1.153,399.1999027,31.645325,89.261696
1.154,399.5936346,31.892309,89.557434
1.155,399.9854884,31.090361,97.139503
1.156,400.3754595,30.515572,81.275894
1.157,400.7635431,32.577991,104.47917
1.158,401.1497349,31.322803,98.075081
1.159,401.5340302,31.192411,87.750534
1.16,401.9164247,30.29196,81.898552
1.161,402.2969139,32.512844,98.503479
1.162,402.6754936,30.942577,87.074791
1.163,403.0521594,29.380405,90.444771
1.164,403.4269072,30.752275,96.630333
1.165,403.7997327,30.552631,98.114258
1.166,404.1706319,30.670105,96.210327
1.167,404.5396006,30.917822,103.41125
1.168,404.906635,29.223413,95.531837
1.169,405.271731,30.186932,94.763367
1.17,405.6348847,28.410427,89.580048
1.171,405.9960924,31.0327,102.0031
1.172,406.3553503,29.470381,101.31535
1.173,406.7126545,28.98748,80.202309
1.174,407.0680015,29.016068,79.956078
1.175,407.4213877,28.377205,89.161957
1.176,407.7728094,27.949598,79.082657
1.177,408.1222632,28.409388,91.327225
1.178,408.4697457,28.424059,102.60725
1.179,408.8152534,28.105286,84.479546
1.18,409.1587831,28.98877,90.9972
1.181,409.5003314,27.660358,91.793213
1.182,409.8398951,26.460775,92.663704
1.183,410.1774711,27.266537,94.200676
1.184,410.5130562,26.518673,85.54538
1.185,410.8466475,27.051857,93.218895
1.186,411.1782419,26.341911,85.709419
1.187,411.5078365,26.931604,91.411026
1.188,411.8354283,27.769327,94.633942
1.189,412.1610147,26.166302,95.648743
1.19,412.4845928,25.907198,88.130714
1.191,412.8061598,27.154736,94.389046
1.192,413.1257132,25.567558,88.900246
1.193,413.4432504,26.665205,93.072975
1.194,413.7587688,26.563625,87.088287
1.195,414.0722659,25.856144,87.556145
1.196,414.3837393,25.559893,81.704765
1.197,414.6931866,24.935598,78.932037
1.198,415.0006056,25.307671,81.780403
1.199,415.3059939,25.528906,84.41011
1.2,415.6093493,25.27796,89.838516
1.201,415.9106698,24.111633,80.86911
1.202,416.2099531,25.780682,98.508804
1.203,416.5071974,24.049799,75.438164
1.204,416.8024006,24.89747,81.576996
1.205,417.0955607,23.941507,81.015457
1.206,417.386676,24.269184,85.663177
1.207,417.6757446,25.097603,96.270271
1.208,417.9627648,24.386555,78.222839
1.209,418.2477348,23.86002,72.413773
1.21,418.5306531,23.945215,98.769073
1.211,418.811518,24.873833,85.631241
1.212,419.090328,23.503689,83.946663
1.213,419.3670817,23.175303,73.448875
1.214,419.6417776,23.812027,79.230591
1.215,419.9144144,23.931751,80.733215
1.216,420.1849908,23.318504,79.858376
1.217,420.4535055,23.118744,73.858788
1.218,420.7199573,22.752151,73.136131
1.219,420.9843451,22.802382,88.946594
1.22,421.2466678,22.713192,78.869301
1.221,421.5069244,23.305695,106.21721
1.222,421.7651139,22.592834,86.860764
1.223,422.0212354,21.745081,80.917496
1.224,422.275288,22.682444,76.631271
1.225,422.5272709,22.129419,78.702988
