"Freq [GHz]","ang_deg(S(2,1)) [deg]"
1.205,-35.9756806137481
1.206,-36.0062963717011
1.207,-36.0369108853931
1.208,-36.0675241567084
1.209,-36.0981361875428
1.21,-36.1287469798032
1.211,-36.1593565354082
1.212,-36.1899648562868
1.213,-36.2205719443789
1.214,-36.2511778016355
1.215,-36.2817824300179
1.216,-36.3123858314976
1.217,-36.3429880080564
1.218,-36.3735889616863
1.219,-36.4041886943893
1.22,-36.4347872081769
1.221,-36.4653845050701
1.222,-36.4959805871001
1.223,-36.5265754563067
1.224,-36.557169114739
1.225,-36.5877615644555
1.226,-36.6183528075235
1.227,-36.6489428460186
1.228,-36.6795316820256
1.229,-36.7101193176372
1.23,-36.7407057549553
1.231,-36.7712909960892
1.232,-36.8018750431564
1.233,-36.8324578982825
1.234,-36.8630395636012
1.235,-36.8936200412534
1.236,-36.9241993333876
1.237,-36.9547774421596
1.238,-36.985354369733
1.239,-37.0159301182779
1.24,-37.0465046899717
1.241,-37.0770780869989
1.242,-37.1076503115501
1.243,-37.1382213658236
1.244,-37.1687912520228
1.245,-37.1993599723588
1.246,-37.2299275290481
1.247,-37.260493924314
1.248,-37.2910591603853
1.249,-37.3216232394968
1.25,-37.352186163889
1.251,-37.3827479358086
1.252,-37.4133085575072
1.253,-37.4438680312423
1.254,-37.4744263592763
1.255,-37.504983543877
1.256,-37.5355395873175
1.257,-37.5660944918756
1.258,-37.596648259834
1.259,-37.6272008934803
1.26,-37.6577523951065
1.261,-37.6883027670094
1.262,-37.7188520114901
1.263,-37.749400130854
1.264,-37.7799471274108
1.265,-37.8104930034744
1.266,-37.8410377613623
1.267,-37.8715814033965
1.268,-37.9021239319021
1.269,-37.9326653492088
1.27,-37.9632056576489
1.271,-37.9937448595591
1.272,-38.0242829572788
1.273,-38.0548199531512
1.274,-38.0853558495227
1.275,-38.1158906487422
1.276,-38.1464243531623
1.277,-38.1769569651383
1.278,-38.2074884870283
1.279,-38.2380189211931
1.28,-38.2685482699962
1.281,-38.2990765358035
1.282,-38.3296037209839
1.283,-38.360129827908
1.284,-38.390654858949
1.285,-38.4211788164821
1.286,-38.4517017028852
1.287,-38.4822235205374
1.288,-38.5127442718204
1.289,-38.5432639591175
1.29,-38.5737825848135
1.291,-38.6043001512955
1.292,-38.6348166609516
1.293,-38.6653321161718
1.294,-38.6958465193474
1.295,-38.726359872871
1.296,-38.7568721791367
1.297,-38.7873834405398
1.298,-38.8178936594763
1.299,-38.8484028383438
1.3,-38.8789109795403
1.301,-38.9094180854655
1.302,-38.939924158519
1.303,-38.970429201102
1.304,-39.0009332156157
1.305,-39.0314362044622
1.306,-39.0619381700443
1.307,-39.0924391147647
1.308,-39.1229390410273
1.309,-39.1534379512357
1.31,-39.1839358477938
1.311,-39.2144327331058
1.312,-39.2449286095763
1.313,-39.2754234796095
1.314,-39.3059173456098
1.315,-39.3364102099814
1.316,-39.3669020751284
1.317,-39.3973929434548
1.318,-39.4278828173642
1.319,-39.4583716992599
1.32,-39.488859591545
1.321,-39.5193464966215
1.322,-39.5498324168915
1.323,-39.5803173547564
1.324,-39.6108013126168
1.325,-39.6412842928726
1.326,-39.671766297923
1.327,-39.7022473301665
1.328,-39.7327273920005
1.329,-39.7632064858217
1.33,-39.7936846140255
1.331,-39.8241617790066
1.332,-39.8546379831582
1.333,-39.8851132288728
1.334,-39.9155875185413
1.335,-39.9460608545537
1.336,-39.9765332392983
1.337,-40.0070046751622
1.338,-40.0374751645314
1.339,-40.0679447097899
1.34,-40.0984133133205
1.341,-40.1288809775043
1.342,-40.1593477047209
1.343,-40.1898134973482
1.344,-40.2202783577623
1.345,-40.2507422883376
1.346,-40.2812052914467
1.347,-40.3116673694605
1.348,-40.3421285247476
1.349,-40.3725887596753
1.35,-40.4030480766081
1.351,-40.433506477909
1.352,-40.463963965939
1.353,-40.4944205430568
1.354,-40.5248762116187
1.355,-40.5553309739793
1.356,-40.5857848324905
1.357,-40.6162377895023
1.358,-40.646689847362
1.359,-40.6771410084149
1.36,-40.7075912750036
1.361,-40.7380406494685
1.362,-40.7684891341474
1.363,-40.7989367313755
1.364,-40.8293834434857
1.365,-40.8598292728079
1.366,-40.8902742216699
1.367,-40.9207182923963
1.368,-40.9511614873094
1.369,-40.9816038087285
1.37,-41.0120452589703
1.371,-41.0424858403489
1.372,-41.072925555175
1.373,-41.1033644057568
1.374,-41.1338023943997
1.375,-41.1642395234058
1.376,-41.1946757950747
1.377,-41.2251112117024
1.378,-41.2555457755824
1.379,-41.2859794890051
1.38,-41.3164123542574
1.381,-41.3468443736237
1.382,-41.3772755493845
1.383,-41.4077058838177
1.384,-41.4381353791981
1.385,-41.4685640377967
1.386,-41.4989918618815
1.387,-41.5294188537172
1.388,-41.5598450155656
1.389,-41.5902703496844
1.39,-41.6206948583285
1.391,-41.6511185437494
1.392,-41.6815414081948
1.393,-41.7119634539092
1.394,-41.7423846831338
1.395,-41.7728050981059
1.396,-41.8032247010597
1.397,-41.8336434942255
1.398,-41.8640614798304
1.399,-41.8944786600976
1.4,-41.924895037247
1.401,-41.9553106134946
1.402,-41.9857253910528
1.403,-42.0161393721306
1.404,-42.0465525589331
1.405,-42.0769649536615
1.406,-42.1073765585137
1.407,-42.1377873756835
1.408,-42.1681974073611
1.409,-42.198606655733
1.41,-42.2290151229817
1.411,-42.2594228112858
1.412,-42.2898297228206
1.413,-42.3202358597567
1.414,-42.3506412242616
1.415,-42.3810458184984
1.416,-42.4114496446268
1.417,-42.441852704802
1.418,-42.4722550011755
1.419,-42.5026565358949
1.42,-42.533057311104
1.421,-42.5634573289422
1.422,-42.5938565915452
1.423,-42.6242551010446
1.424,-42.6546528595679
1.425,-42.6850498692385
1.426,-42.7154461321762
1.427,-42.7458416504963
1.428,-42.7762364263097
1.429,-42.8066304617243
1.43,-42.8370237588428
1.431,-42.8674163197641
1.432,-42.8978081465833
1.433,-42.928199241391
1.434,-42.9585896062739
1.435,-42.9889792433143
1.436,-43.0193681545903
1.437,-43.0497563421762
1.438,-43.0801438081416
1.439,-43.1105305545522
1.44,-43.1409165834696
1.441,-43.1713018969506
1.442,-43.2016864970486
1.443,-43.2320703858121
1.444,-43.2624535652856
1.445,-43.2928360375092
1.446,-43.3232178045189
1.447,-43.3535988683464
1.448,-43.383979231019
1.449,-43.4143588945598
1.45,-43.4447378609877
1.451,-43.4751161323169
1.452,-43.505493710558
1.453,-43.5358705977163
1.454,-43.5662467957937
1.455,-43.5966223067874
1.456,-43.6269971326901
1.457,-43.6573712754904
1.458,-43.6877447371722
1.459,-43.7181175197157
1.46,-43.7484896250961
1.461,-43.7788610552846
1.462,-43.809231812248
1.463,-43.8396018979485
1.464,-43.8699713143438
1.465,-43.900340063388
1.466,-43.9307081470301
1.467,-43.961075567215
1.468,-43.9914423258829
1.469,-44.02180842497
1.47,-44.0521738664081
1.471,-44.0825386521242
1.472,-44.1129027840411
1.473,-44.1432662640776
1.474,-44.1736290941472
1.475,-44.2039912761602
1.476,-44.2343528120211
1.477,-44.2647137036312
1.478,-44.2950739528866
1.479,-44.3254335616795
1.48,-44.3557925318972
1.481,-44.3861508654233
1.482,-44.416508564136
1.483,-44.44686562991
1.484,-44.4772220646149
1.485,-44.5075778701163
1.486,-44.5379330482753
1.487,-44.5682876009486
1.488,-44.5986415299882
1.489,-44.6289948372421
1.49,-44.6593475245537
1.491,-44.6896995937617
1.492,-44.720051046701
1.493,-44.7504018852015
1.494,-44.7807521110891
1.495,-44.8111017261849
1.496,-44.8414507323061
1.497,-44.8717991312648
1.498,-44.9021469248694
1.499,-44.9324941149236
1.5,-44.9628407032265
1.501,-44.993186691573
1.502,-45.0235320817538
1.503,-45.0538768755547
1.504,-45.0842210747575
1.505,-45.1145646811396
1.506,-45.144907696474
1.507,-45.1752501225288
1.508,-45.2055919610686
1.509,-45.2359332138529
1.51,-45.2662738826372
1.511,-45.2966139691725
1.512,-45.3269534752055
1.513,-45.3572924024784
1.514,-45.3876307527292
1.515,-45.4179685276913
1.516,-45.4483057290941
1.517,-45.4786423586625
1.518,-45.508978418117
1.519,-45.5393139091737
1.52,-45.5696488335444
1.521,-45.5999831929369
1.522,-45.630316989054
1.523,-45.6606502235949
1.524,-45.690982898254
1.525,-45.7213150147216
1.526,-45.7516465746836
1.527,-45.7819775798217
1.528,-45.8123080318131
1.529,-45.842637932331
1.53,-45.8729672830442
1.531,-45.9032960856172
1.532,-45.9336243417099
1.533,-45.9639520529786
1.534,-45.9942792210749
1.535,-46.0246058476462
1.536,-46.0549319343356
1.537,-46.0852574827824
1.538,-46.1155824946209
1.539,-46.1459069714818
1.54,-46.1762309149912
1.541,-46.2065543267712
1.542,-46.2368772084397
1.543,-46.2671995616103
1.544,-46.2975213878924
1.545,-46.3278426888911
1.546,-46.3581634662077
1.547,-46.388483721439
1.548,-46.4188034561775
1.549,-46.4491226720121
1.55,-46.4794413705269
1.551,-46.5097595533021
1.552,-46.5400772219141
1.553,-46.5703943779347
1.554,-46.6007110229317
1.555,-46.631027158469
1.556,-46.661342786106
1.557,-46.6916579073984
1.558,-46.7219725238975
1.559,-46.7522866371506
1.56,-46.7826002487012
1.561,-46.8129133600883
1.562,-46.8432259728469
1.563,-46.8735380885083
1.564,-46.9038497085996
1.565,-46.9341608346434
1.566,-46.964471468159
1.567,-46.9947816106612
1.568,-47.0250912636609
1.569,-47.0554004286652
1.57,-47.0857091071768
1.571,-47.1160173006948
1.572,-47.146325010714
1.573,-47.1766322387255
1.574,-47.2069389862163
1.575,-47.2372452546696
1.576,-47.2675510455642
1.577,-47.2978563603757
1.578,-47.3281612005751
1.579,-47.3584655676299
1.58,-47.3887694630034
1.581,-47.4190728881552
1.582,-47.4493758445411
1.583,-47.4796783336127
1.584,-47.5099803568181
1.585,-47.5402819156009
1.586,-47.5705830114018
1.587,-47.600883645657
1.588,-47.6311838197988
1.589,-47.6614835352561
1.59,-47.6917827934539
1.591,-47.7220815958129
1.592,-47.7523799437506
1.593,-47.7826778386804
1.594,-47.8129752820121
1.595,-47.8432722751516
1.596,-47.8735688195011
1.597,-47.903864916459
1.598,-47.93416056742
1.599,-47.9644557737748
1.6,-47.9947505369112
1.601,-48.0250448582123
1.602,-48.0553387390581
1.603,-48.0856321808246
1.604,-48.1159251848846
1.605,-48.1462177526065
1.606,-48.1765098853556
1.607,-48.2068015844935
1.608,-48.2370928513778
1.609,-48.2673836873628
1.61,-48.2976740937993
1.611,-48.327964072034
1.612,-48.3582536234105
1.613,-48.3885427492683
1.614,-48.418831450944
1.615,-48.4491197297701
1.616,-48.4794075870754
1.617,-48.5096950241857
1.618,-48.539982042423
1.619,-48.5702686431056
1.62,-48.6005548275488
1.621,-48.6308405970635
1.622,-48.6611259529581
1.623,-48.6914108965369
1.624,-48.7216954291007
1.625,-48.7519795519473
1.626,-48.7822632663705
1.627,-48.8125465736609
1.628,-48.8428294751058
1.629,-48.873111971989
1.63,-48.9033940655906
1.631,-48.9336757571876
1.632,-48.9639570480536
1.633,-48.9942379394586
1.634,-49.0245184326695
1.635,-49.0547985289495
1.636,-49.0850782295588
1.637,-49.115357535754
1.638,-49.1456364487887
1.639,-49.1759149699126
1.64,-49.2061931003725
1.641,-49.2364708414121
1.642,-49.2667481942713
1.643,-49.2970251601869
1.644,-49.3273017403927
1.645,-49.3575779361189
1.646,-49.3878537485925
1.647,-49.4181291790376
1.648,-49.4484042286744
1.649,-49.4786788987207
1.65,-49.5089531903906
1.651,-49.5392271048948
1.652,-49.5695006434414
1.653,-49.5997738072351
1.654,-49.6300465974768
1.655,-49.6603190153656
1.656,-49.6905910620962
1.657,-49.7208627388607
1.658,-49.7511340468479
1.659,-49.7814049872439
1.66,-49.8116755612309
1.661,-49.841945769989
1.662,-49.8722156146944
1.663,-49.9024850965207
1.664,-49.9327542166384
1.665,-49.9630229762145
1.666,-49.9932913764136
1.667,-50.0235594183968
1.668,-50.0538271033225
1.669,-50.0840944323458
1.67,-50.114361406619
1.671,-50.1446280272913
1.672,-50.1748942955093
1.673,-50.2051602124158
1.674,-50.2354257791515
1.675,-50.2656909968537
1.676,-50.295955866657
1.677,-50.3262203896929
1.678,-50.3564845670901
1.679,-50.3867483999741
1.68,-50.4170118894681
1.681,-50.4472750366918
1.682,-50.4775378427624
1.683,-50.5078003087942
1.684,-50.5380624358984
1.685,-50.5683242251837
1.686,-50.5985856777557
1.687,-50.6288467947174
1.688,-50.6591075771688
1.689,-50.6893680262072
1.69,-50.719628142927
1.691,-50.7498879284201
1.692,-50.7801473837752
1.693,-50.8104065100787
1.694,-50.840665308414
1.695,-50.8709237798617
1.696,-50.9011819254999
1.697,-50.9314397464036
1.698,-50.9616972436455
1.699,-50.9919544182955
1.7,-51.0222112714208
1.701,-51.0524678040857
1.702,-51.0827240173521
1.703,-51.1129799122792
1.704,-51.1432354899234
1.705,-51.1734907513386
1.706,-51.2037456975761
1.707,-51.2340003296847
1.708,-51.2642546487101
1.709,-51.2945086556957
1.71,-51.3247623516827
1.711,-51.3550157377092
1.712,-51.3852688148108
1.713,-51.4155215840207
1.714,-51.4457740463696
1.715,-51.4760262028853
1.716,-51.5062780545937
1.717,-51.5365296025175
1.718,-51.5667808476774
1.719,-51.5970317910912
1.72,-51.6272824337747
1.721,-51.6575327767408
1.722,-51.687782821
1.723,-51.7180325675607
1.724,-51.7482820174283
1.725,-51.778531171606
1.726,-51.808780031095
1.727,-51.8390285968933
1.728,-51.8692768699969
1.729,-51.8995248513998
1.73,-51.9297725420927
1.731,-51.9600199430646
1.732,-51.990267055302
1.733,-52.0205138797888
1.734,-52.0507604175071
1.735,-52.0810066694359
1.736,-52.1112526365524
1.737,-52.1414983198314
1.738,-52.1717437202453
1.739,-52.2019888387642
1.74,-52.2322336763559
1.741,-52.2624782339859
1.742,-52.2927225126176
1.743,-52.3229665132118
1.744,-52.3532102367276
1.745,-52.3834536841212
1.746,-52.4136968563468
1.747,-52.4439397543566
1.748,-52.4741823791004
1.749,-52.5044247315257
1.75,-52.5346668125781
1.751,-52.5649086232005
1.752,-52.5951501643342
1.753,-52.6253914369179
1.754,-52.6556324418885
1.755,-52.6858731801803
1.756,-52.7161136527257
1.757,-52.7463538604552
1.758,-52.7765938042967
1.759,-52.8068334851762
1.76,-52.8370729040177
1.761,-52.8673120617429
1.762,-52.8975509592716
1.763,-52.9277895975215
1.764,-52.9580279774079
1.765,-52.9882660998445
1.766,-53.0185039657427
1.767,-53.0487415760116
1.768,-53.0789789315591
1.769,-53.1092160332902
1.77,-53.1394528821079
1.771,-53.1696894789139
1.772,-53.1999258246073
1.773,-53.2301619200856
1.774,-53.2603977662438
1.775,-53.2906333639754
1.776,-53.3208687141716
1.777,-53.3511038177222
1.778,-53.3813386755141
1.779,-53.4115732884331
1.78,-53.4418076573627
1.781,-53.4720417831846
1.782,-53.5022756667784
1.783,-53.532509309022
1.784,-53.5627427107913
1.785,-53.5929758729603
1.786,-53.6232087964011
1.787,-53.6534414819842
1.788,-53.6836739305776
1.789,-53.7139061430482
1.79,-53.7441381202603
1.791,-53.7743698630772
1.792,-53.8046013723595
1.793,-53.8348326489667
1.794,-53.8650636937559
1.795,-53.8952945075829
1.796,-53.9255250913013
1.797,-53.9557554457631
1.798,-53.9859855718184
1.799,-54.0162154703157
1.8,-54.0464451421016
1.801,-54.0766745880209
1.802,-54.1069038089169
1.803,-54.1371328056308
1.804,-54.1673615790023
1.805,-54.1975901298692
1.806,-54.2278184590678
1.807,-54.2580465674327
1.808,-54.2882744557964
1.809,-54.31850212499
1.81,-54.348729575843
1.811,-54.378956809183
1.812,-54.409183825836
1.813,-54.4394106266264
1.814,-54.4696372123769
1.815,-54.4998635839084
1.816,-54.5300897420406
1.817,-54.5603156875909
1.818,-54.5905414213756
1.819,-54.6207669442093
1.82,-54.6509922569046
1.821,-54.6812173602731
1.822,-54.7114422551242
1.823,-54.7416669422662
1.824,-54.7718914225055
1.825,-54.802115696647
1.826,-54.8323397654942
1.827,-54.8625636298488
1.828,-54.8927872905109
1.829,-54.9230107482795
1.83,-54.9532340039515
1.831,-54.9834570583226
1.832,-55.0136799121868
1.833,-55.043902566337
1.834,-55.0741250215639
1.835,-55.104347278657
1.836,-55.1345693384047
1.837,-55.1647912015932
1.838,-55.1950128690079
1.839,-55.2252343414322
1.84,-55.2554556196483
1.841,-55.2856767044369
1.842,-55.3158975965771
1.843,-55.3461182968467
1.844,-55.376338806022
1.845,-55.4065591248781
1.846,-55.4367792541881
1.847,-55.4669991947243
1.848,-55.4972189472572
1.849,-55.527438512556
1.85,-55.5576578913884
1.851,-55.5878770845211
1.852,-55.6180960927187
1.853,-55.6483149167452
1.854,-55.6785335573628
1.855,-55.7087520153323
1.856,-55.7389702914133
1.857,-55.7691883863638
1.858,-55.7994063009408
1.859,-55.8296240358997
1.86,-55.8598415919947
1.861,-55.8900589699787
1.862,-55.9202761706029
1.863,-55.9504931946176
1.864,-55.9807100427717
1.865,-56.0109267158128
1.866,-56.0411432144871
1.867,-56.0713595395395
1.868,-56.1015756917137
1.869,-56.1317916717521
1.87,-56.1620074803959
1.871,-56.1922231183849
1.872,-56.2224385864575
1.873,-56.2526538853514
1.874,-56.2828690158023
1.875,-56.3130839785454
1.876,-56.343298774314
1.877,-56.3735134038406
1.878,-56.4037278678565
1.879,-56.4339421670913
1.88,-56.4641563022739
1.881,-56.4943702741317
1.882,-56.5245840833912
1.883,-56.5547977307773
1.884,-56.585011217014
1.885,-56.615224542824
1.886,-56.6454377089288
1.887,-56.6756507160489
1.888,-56.7058635649035
1.889,-56.7360762562103
1.89,-56.7662887906867
1.891,-56.7965011690481
1.892,-56.8267133920093
1.893,-56.8569254602836
1.894,-56.8871373745833
1.895,-56.9173491356196
1.896,-56.9475607441027
1.897,-56.9777722007414
1.898,-57.0079835062437
1.899,-57.0381946613161
1.9,-57.0684056666644
1.901,-57.098616522993
1.902,-57.1288272310054
1.903,-57.1590377914041
1.904,-57.1892482048901
1.905,-57.2194584721638
1.906,-57.2496685939243
1.907,-57.2798785708695
1.908,-57.3100884036966
1.909,-57.3402980931014
1.91,-57.3705076397789
1.911,-57.400717044423
1.912,-57.4309263077263
1.913,-57.4611354303809
1.914,-57.4913444130772
1.915,-57.5215532565053
1.916,-57.5517619613535
1.917,-57.5819705283099
1.918,-57.6121789580609
1.919,-57.6423872512923
1.92,-57.6725954086888
1.921,-57.702803430934
1.922,-57.7330113187109
1.923,-57.7632190727008
1.924,-57.7934266935846
1.925,-57.8236341820421
1.926,-57.853841538752
1.927,-57.8840487643923
1.928,-57.9142558596398
1.929,-57.9444628251703
1.93,-57.9746696616589
1.931,-58.0048763697794
1.932,-58.0350829502051
1.933,-58.065289403608
1.934,-58.0954957306593
1.935,-58.1257019320293
1.936,-58.1559080083873
1.937,-58.1861139604018
1.938,-58.2163197887403
1.939,-58.2465254940692
1.94,-58.2767310770544
1.941,-58.3069365383607
1.942,-58.3371418786519
1.943,-58.3673470985911
1.944,-58.3975521988402
1.945,-58.4277571800605
1.946,-58.4579620429125
1.947,-58.4881667880556
1.948,-58.5183714161482
1.949,-58.5485759278481
1.95,-58.5787803238124
1.951,-58.6089846046968
1.952,-58.6391887711567
1.953,-58.6693928238462
1.954,-58.6995967634188
1.955,-58.729800590527
1.956,-58.760004305823
1.957,-58.7902079099572
1.958,-58.8204114035799
1.959,-58.8506147873404
1.96,-58.8808180618871
1.961,-58.9110212278677
1.962,-58.941224285929
1.963,-58.9714272367169
1.964,-59.0016300808767
1.965,-59.0318328190527
1.966,-59.0620354518886
1.967,-59.092237980027
1.968,-59.1224404041102
1.969,-59.1526427247792
1.97,-59.1828449426745
1.971,-59.2130470584357
1.972,-59.2432490727016
1.973,-59.2734509861105
1.974,-59.3036527992995
1.975,-59.3338545129053
1.976,-59.3640561275637
1.977,-59.3942576439097
1.978,-59.4244590625775
1.979,-59.4546603842007
1.98,-59.4848616094121
1.981,-59.5150627388436
1.982,-59.5452637731268
1.983,-59.575464712892
1.984,-59.605665558769
1.985,-59.635866311387
1.986,-59.6660669713741
1.987,-59.6962675393584
1.988,-59.7264680159664
1.989,-59.7566684018244
1.99,-59.7868686975581
1.991,-59.8170689037919
1.992,-59.8472690211501
1.993,-59.877469050256
1.994,-59.9076689917323
1.995,-59.9378688462008
1.996,-59.9680686142828
1.997,-59.998268296599
1.998,-60.0284678937691
1.999,-60.0586674064124
2,-60.0888668351475
2.001,-60.119066180592
2.002,-60.1492654433632
2.003,-60.1794646240774
2.004,-60.2096637233506
2.005,-60.2398627417978
2.006,-60.2700616800337
2.007,-60.3002605386719
2.008,-60.3304593183255
2.009,-60.3606580196071
2.01,-60.3908566431285
2.011,-60.421055189501
2.012,-60.4512536593351
2.013,-60.4814520532406
2.014,-60.5116503718268
2.015,-60.5418486157024
2.016,-60.5720467854753
2.017,-60.6022448817529
2.018,-60.6324429051419
2.019,-60.6626408562484
2.02,-60.6928387356778
2.021,-60.7230365440351
2.022,-60.7532342819243
2.023,-60.7834319499492
2.024,-60.8136295487127
2.025,-60.8438270788172
2.026,-60.8740245408645
2.027,-60.9042219354558
2.028,-60.9344192631915
2.029,-60.9646165246717
2.03,-60.9948137204956
2.031,-61.0250108512624
2.032,-61.0552079175698
2.033,-61.0854049200155
2.034,-61.1156018591966
2.035,-61.1457987357094
2.036,-61.1759955501497
2.037,-61.2061923031128
2.038,-61.2363889951935
2.039,-61.2665856269856
2.04,-61.2967821990829
2.041,-61.3269787120781
2.042,-61.3571751665637
2.043,-61.3873715631312
2.044,-61.4175679023724
2.045,-61.4477641848774
2.046,-61.4779604112367
2.047,-61.5081565820395
2.048,-61.5383526978753
2.049,-61.568548759332
2.05,-61.5987447669978
2.051,-61.62894072146
2.052,-61.6591366233053
2.053,-61.68933247312
2.054,-61.7195282714897
2.055,-61.7497240189998
2.056,-61.7799197162348
2.057,-61.8101153637785
2.058,-61.8403109622149
2.059,-61.8705065121267
2.06,-61.9007020140966
2.061,-61.9308974687064
2.062,-61.9610928765376
2.063,-61.991288238171
2.064,-62.0214835541872
2.065,-62.0516788251658
2.066,-62.0818740516862
2.067,-62.1120692343273
2.068,-62.1422643736674
2.069,-62.1724594702842
2.07,-62.2026545247552
2.071,-62.2328495376568
2.072,-62.2630445095657
2.073,-62.2932394410572
2.074,-62.3234343327067
2.075,-62.3536291850893
2.076,-62.3838239987788
2.077,-62.414018774349
2.078,-62.4442135123734
2.079,-62.4744082134245
2.08,-62.5046028780747
