Freq [GHz],S11 LPF Tap,S21 LPF Tap,"dB(S(2,1)) []","dB(S(2,2)) []",,S11 LPF T,S21 LPF T,,S11 LPF Milled,S21 LPF Milled
1.898,-37.56432869,-0.755654396,-0.755654396,-37.32156692,,-12.44238781,-1.069816825,,-12.956213,-0.55253971
1.899,-37.64407634,-0.756109782,-0.756109782,-37.39832211,,-12.46734722,-1.068520128,,-13.017277,-0.60202318
1.9,-37.72462503,-0.756565622,-0.756565622,-37.47589108,,-12.49238549,-1.067228136,,-13.002195,-0.57320809
1.901,-37.8059882,-0.757021917,-0.757021917,-37.55428955,,-12.51750295,-1.065940856,,-12.98579,-0.5535199
1.902,-37.88817953,-0.757478671,-0.757478671,-37.63353367,,-12.54269991,-1.064658298,,-13.013797,-0.5391351
1.903,-37.97121299,-0.757935883,-0.757935883,-37.71364007,,-12.56797673,-1.06338047,,-13.060412,-0.56609774
1.904,-38.05510282,-0.758393557,-0.758393557,-37.79462584,,-12.59333373,-1.06210738,,-13.034396,-0.59837794
1.905,-38.13986357,-0.758851694,-0.758851694,-37.87650856,,-12.61877126,-1.060839037,,-13.036029,-0.53734046
1.906,-38.22551006,-0.759310297,-0.759310297,-37.95930632,,-12.64428964,-1.059575449,,-13.046266,-0.56568509
1.907,-38.3120574,-0.759769367,-0.759769367,-38.04303775,,-12.66988924,-1.058316624,,-13.046453,-0.60309601
1.908,-38.399521,-0.760228906,-0.760228906,-38.12772203,,-12.69557038,-1.05706257,,-13.042609,-0.55176795
1.909,-38.48791656,-0.760688917,-0.760688917,-38.2133789,,-12.72133343,-1.055813294,,-13.062807,-0.55565614
1.91,-38.57726009,-0.761149401,-0.761149401,-38.30002869,,-12.74717874,-1.054568806,,-13.068339,-0.54868209
1.911,-38.66756786,-0.761610361,-0.761610361,-38.38769237,,-12.77310664,-1.053329112,,-13.078661,-0.59417367
1.912,-38.75885647,-0.762071798,-0.762071798,-38.47639153,,-12.79911752,-1.052094221,,-13.064822,-0.58530283
1.913,-38.8511428,-0.762533714,-0.762533714,-38.56614843,,-12.82521171,-1.050864139,,-13.06428,-0.56914943
1.914,-38.94444402,-0.762996112,-0.762996112,-38.65698601,,-12.85138959,-1.049638874,,-13.053295,-0.56996453
1.915,-39.03877758,-0.763458994,-0.763458994,-38.74892794,,-12.87765151,-1.048418434,,-13.089263,-0.57558578
1.916,-39.13416124,-0.763922361,-0.763922361,-38.84199865,,-12.90399786,-1.047202827,,-13.044759,-0.54357159
1.917,-39.23061299,-0.764386216,-0.764386216,-38.93622331,,-12.93042899,-1.045992058,,-13.079858,-0.57574522
1.918,-39.32815112,-0.764850561,-0.764850561,-39.03162795,,-12.95694528,-1.044786136,,-13.080592,-0.57475948
1.919,-39.42679416,-0.765315397,-0.765315397,-39.12823939,,-12.9835471,-1.043585067,,-13.077971,-0.56961781
1.92,-39.5265609,-0.765780728,-0.765780728,-39.22608536,,-13.01023484,-1.042388858,,-13.100891,-0.56969756
1.921,-39.62747033,-0.766246554,-0.766246554,-39.3251945,,-13.03700888,-1.041197517,,-13.046982,-0.52968735
1.922,-39.72954168,-0.766712879,-0.766712879,-39.42559637,,-13.0638696,-1.040011049,,-13.113145,-0.56729996
1.923,-39.83279435,-0.767179704,-0.767179704,-39.52732157,,-13.09081738,-1.038829462,,-13.108086,-0.59019357
1.924,-39.9372479,-0.767647032,-0.767647032,-39.63040169,,-13.11785263,-1.037652762,,-13.13348,-0.55045295
1.925,-40.04292203,-0.768114864,-0.768114864,-39.7348694,,-13.14497573,-1.036480955,,-13.115151,-0.55864155
1.926,-40.14983654,-0.768583203,-0.768583203,-39.84075852,,-13.17218708,-1.035314049,,-13.11978,-0.56487405
1.927,-40.2580113,-0.769052051,-0.769052051,-39.94810401,,-13.19948709,-1.034152048,,-13.151973,-0.57266802
1.928,-40.36746619,-0.76952141,-0.76952141,-40.05694206,,-13.22687615,-1.03299496,,-13.111487,-0.56669778
1.929,-40.47822105,-0.769991282,-0.769991282,-40.16731011,,-13.25435467,-1.031842791,,-13.10727,-0.52644515
1.93,-40.59029565,-0.77046167,-0.77046167,-40.27924696,,-13.28192306,-1.030695546,,-13.108677,-0.56485003
1.931,-40.70370958,-0.770932575,-0.770932575,-40.39279276,,-13.30958174,-1.029553232,,-13.147681,-0.58292425
1.932,-40.81848222,-0.771404,-0.771404,-40.50798911,,-13.33733112,-1.028415854,,-13.120855,-0.57649124
1.933,-40.93463263,-0.771875947,-0.771875947,-40.62487913,,-13.36517163,-1.027283418,,-13.136615,-0.57118279
1.934,-41.05217945,-0.772348419,-0.772348419,-40.74350748,,-13.39310368,-1.02615593,,-13.134106,-0.54691505
1.935,-41.17114082,-0.772821417,-0.772821417,-40.86392047,,-13.4211277,-1.025033395,,-13.157256,-0.56280178
1.936,-41.29153422,-0.773294944,-0.773294944,-40.98616611,,-13.44924412,-1.023915818,,-13.170448,-0.5630036
1.937,-41.41337637,-0.773769001,-0.773769001,-41.11029421,,-13.47745338,-1.022803206,,-13.177706,-0.56558263
1.938,-41.53668305,-0.774243592,-0.774243592,-41.23635639,,-13.50575592,-1.021695562,,-13.16878,-0.5536803
1.939,-41.66146893,-0.774718719,-0.774718719,-41.36440624,,-13.53415217,-1.020592894,,-13.172877,-0.57011884
1.94,-41.7877474,-0.775194383,-0.775194383,-41.49449935,,-13.56264258,-1.019495204,,-13.151691,-0.52397096
1.941,-41.91553031,-0.775670587,-0.775670587,-41.62669339,,-13.5912276,-1.0184025,,-13.199159,-0.57710946
1.942,-42.04482776,-0.776147334,-0.776147334,-41.76104825,,-13.61990768,-1.017314784,,-13.162966,-0.55725646
1.943,-42.17564778,-0.776624626,-0.776624626,-41.89762604,,-13.64868328,-1.016232063,,-13.175483,-0.5900203
1.944,-42.3079961,-0.777102464,-0.777102464,-42.03649125,,-13.67755486,-1.015154341,,-13.200829,-0.55250031
1.945,-42.44187571,-0.777580852,-0.777580852,-42.17771083,,-13.70652288,-1.014081622,,-13.194256,-0.57079774
1.946,-42.57728657,-0.778059792,-0.778059792,-42.32135424,,-13.73558781,-1.013013911,,-13.209139,-0.58942306
1.947,-42.71422509,-0.778539285,-0.778539285,-42.46749357,,-13.76475012,-1.011951213,,-13.230371,-0.55168146
1.948,-42.85268373,-0.779019335,-0.779019335,-42.61620362,,-13.79401029,-1.010893531,,-13.251517,-0.5913384
1.949,-42.99265043,-0.779499944,-0.779499944,-42.76756199,,-13.8233688,-1.009840871,,-13.220754,-0.55447447
1.95,-43.13410801,-0.779981113,-0.779981113,-42.92164915,,-13.85282613,-1.008793235,,-13.202383,-0.57361937
1.951,-43.27703355,-0.780462847,-0.780462847,-43.07854852,,-13.88238277,-1.007750629,,-13.23862,-0.55636072
1.952,-43.42139765,-0.780945146,-0.780945146,-43.2383465,,-13.91203921,-1.006713056,,-13.251944,-0.52545607
1.953,-43.5671636,-0.781428013,-0.781428013,-43.40113258,,-13.94179596,-1.00568052,,-13.231433,-0.56474316
1.954,-43.71428655,-0.781911451,-0.781911451,-43.56699931,,-13.9716535,-1.004653025,,-13.261171,-0.56144214
1.955,-43.86271249,-0.782395463,-0.782395463,-43.73604234,,-14.00161235,-1.003630574,,-13.239562,-0.54453278
1.956,-44.0123772,-0.782880049,-0.782880049,-43.9083604,,-14.03167302,-1.002613171,,-13.283046,-0.54680508
1.957,-44.1632051,-0.783365214,-0.783365214,-44.08405524,,-14.06183602,-1.00160082,,-13.302013,-0.56650513
1.958,-44.31510796,-0.78385096,-0.78385096,-44.26323153,,-14.09210188,-1.000593523,,-13.253042,-0.55790371
1.959,-44.46798353,-0.784337288,-0.784337288,-44.44599671,,-14.1224711,-0.999591285,,-13.279617,-0.58243144
1.96,-44.62171406,-0.784824202,-0.784824202,-44.63246075,,-14.15294424,-0.998594108,,-13.270081,-0.58191764
1.961,-44.7761647,-0.785311703,-0.785311703,-44.82273588,,-14.18352181,-0.997601995,,-13.287908,-0.53715992
1.962,-44.9311818,-0.785799795,-0.785799795,-45.01693613,,-14.21420435,-0.99661495,,-13.298169,-0.56546402
1.963,-45.08659114,-0.78628848,-0.78628848,-45.21517681,,-14.24499242,-0.995632976,,-13.278214,-0.54310638
1.964,-45.24219605,-0.78677776,-0.78677776,-45.41757377,,-14.27588655,-0.994656074,,-13.261194,-0.53513688
1.965,-45.39777544,-0.787267638,-0.787267638,-45.62424257,,-14.3068873,-0.993684249,,-13.280512,-0.55855757
1.966,-45.55308191,-0.787758117,-0.787758117,-45.83529725,,-14.33799523,-0.992717502,,-13.317447,-0.56354213
1.967,-45.70783973,-0.788249198,-0.788249198,-46.05084894,,-14.36921091,-0.991755836,,-13.275023,-0.56250834
1.968,-45.86174297,-0.788740886,-0.788740886,-46.27100405,,-14.40053489,-0.990799254,,-13.287601,-0.56945431
1.969,-46.01445367,-0.789233181,-0.789233181,-46.49586202,,-14.43196775,-0.989847758,,-13.34862,-0.57951117
1.97,-46.16560029,-0.789726087,-0.789726087,-46.72551258,,-14.46351008,-0.98890135,,-13.320956,-0.56239766
1.971,-46.3147764,-0.790219607,-0.790219607,-46.96003224,,-14.49516246,-0.987960033,,-13.305781,-0.54412282
1.972,-46.46153969,-0.790713742,-0.790713742,-47.19948016,,-14.52692547,-0.987023808,,-13.286456,-0.56265146
1.973,-46.60541165,-0.791208496,-0.791208496,-47.4438929,,-14.55879971,-0.986092677,,-13.305648,-0.54960769
1.974,-46.74587774,-0.791703871,-0.791703871,-47.6932781,,-14.59078579,-0.985166643,,-13.34023,-0.56990105
1.975,-46.88238848,-0.79219987,-0.79219987,-47.94760678,,-14.62288431,-0.984245707,,-13.387726,-0.57834595
1.976,-47.01436138,-0.792696495,-0.792696495,-48.20680391,,-14.65509588,-0.983329871,,-13.356844,-0.57638544
1.977,-47.14118409,-0.793193749,-0.793193749,-48.4707371,,-14.68742113,-0.982419136,,-13.355012,-0.56955606
1.978,-47.26221863,-0.793691635,-0.793691635,-48.73920294,,-14.71986067,-0.981513504,,-13.362847,-0.57276726
1.979,-47.37680709,-0.794190156,-0.794190156,-49.01191069,,-14.75241514,-0.980612976,,-13.364058,-0.58573657
1.98,-47.48427866,-0.794689314,-0.794689314,-49.28846298,,-14.78508516,-0.979717555,,-13.349749,-0.54694992
1.981,-47.58395809,-0.795189111,-0.795189111,-49.56833308,,-14.8178714,-0.97882724,,-13.323387,-0.54521793
1.982,-47.67517554,-0.795689551,-0.795689551,-49.85083871,,-14.85077449,-0.977942033,,-13.386621,-0.56620938
1.983,-47.75727752,-0.796190637,-0.796190637,-50.13511213,,-14.88379509,-0.977061935,,-13.364202,-0.55873191
1.984,-47.82963891,-0.79669237,-0.79669237,-50.42006694,,-14.91693386,-0.976186948,,-13.398146,-0.56931382
1.985,-47.89167549,-0.797194754,-0.797194754,-50.70436235,,-14.95019147,-0.975317071,,-13.406432,-0.58093333
1.986,-47.9428567,-0.797697792,-0.797697792,-50.98636641,,-14.98356859,-0.974452306,,-13.411143,-0.56756538
1.987,-47.98271798,-0.798201486,-0.798201486,-51.26412088,,-15.01706591,-0.973592654,,-13.401956,-0.55923831
1.988,-48.01087228,-0.798705839,-0.798705839,-51.5353116,,-15.05068412,-0.972738114,,-13.403078,-0.56893504
1.989,-48.02702012,-0.799210854,-0.799210854,-51.79724998,,-15.0844239,-0.971888689,,-13.411683,-0.56779605
1.99,-48.03095757,-0.799716534,-0.799716534,-52.04687267,,-15.11828596,-0.971044376,,-13.402637,-0.57067132
1.991,-48.02258193,-0.800222881,-0.800222881,-52.280768,,-15.15227102,-0.970205179,,-13.445884,-0.54556322
1.992,-48.00189456,-0.800729898,-0.800729898,-52.49523812,,-15.18637978,-0.969371095,,-13.437671,-0.59784299
1.993,-47.96900088,-0.801237589,-0.801237589,-52.68640416,,-15.22061297,-0.968542126,,-13.428363,-0.55382574
1.994,-47.92410739,-0.801745956,-0.801745956,-52.8503584,,-15.25497132,-0.967718272,,-13.447762,-0.56539941
1.995,-47.86751598,-0.802255001,-0.802255001,-52.98335986,,-15.28945557,-0.966899532,,-13.435884,-0.57505357
1.996,-47.79961585,-0.802764729,-0.802764729,-53.08206114,,-15.32406647,-0.966085907,,-13.457951,-0.5752601
1.997,-47.72087342,-0.803275141,-0.803275141,-53.14374372,,-15.35880476,-0.965277395,,-13.440983,-0.56029153
1.998,-47.63182081,-0.80378624,-0.80378624,-53.16653138,,-15.39367122,-0.964473998,,-13.494346,-0.57160568
1.999,-47.53304343,-0.80429803,-0.80429803,-53.14954909,,-15.42866661,-0.963675714,,-13.459026,-0.57000494
2,-47.42516727,-0.804810514,-0.804810514,-53.09300032,,-15.4637917,-0.962882542,,-13.468514,-0.54903322
2.001,-47.30884634,-0.805323694,-0.805323694,-52.9981489,,-15.49904729,-0.962094483,,-13.499459,-0.56927311
2.002,-47.18475072,-0.805837573,-0.805837573,-52.86720867,,-15.53443416,-0.961311536,,-13.497611,-0.57728827
2.003,-47.0535556,-0.806352155,-0.806352155,-52.70316051,,-15.56995313,-0.960533699,,-13.504873,-0.55200613
2.004,-46.9159315,-0.806867442,-0.806867442,-52.50952688,,-15.60560499,-0.959760973,,-13.502329,-0.58898944
2.005,-46.77253581,-0.807383437,-0.807383437,-52.29013648,,-15.64139057,-0.958993355,,-13.517368,-0.57321858
2.006,-46.62400584,-0.807900144,-0.807900144,-52.04890696,,-15.6773107,-0.958230845,,-13.505399,-0.55251247
2.007,-46.47095315,-0.808417565,-0.808417565,-51.78966467,,-15.71336622,-0.957473441,,-13.49544,-0.53785759
2.008,-46.31395931,-0.808935703,-0.808935703,-51.51601015,,-15.74955796,-0.956721144,,-13.508912,-0.55046523
2.009,-46.15357283,-0.809454561,-0.809454561,-51.2312298,,-15.78588679,-0.95597395,,-13.524325,-0.56000602
2.01,-45.99030724,-0.809974143,-0.809974143,-50.93824809,,-15.82235357,-0.955231859,,-13.56069,-0.58321673
2.011,-45.82464003,-0.810494452,-0.810494452,-50.6396122,,-15.85895917,-0.954494869,,-13.533933,-0.54682493
2.012,-45.65701248,-0.81101549,-0.81101549,-50.33750009,,-15.89570447,-0.953762979,,-13.509009,-0.55854231
2.013,-45.48783001,-0.811537261,-0.811537261,-50.03374393,,-15.93259038,-0.953036187,,-13.527502,-0.57206035
2.014,-45.31746321,-0.812059768,-0.812059768,-49.72986235,,-15.96961779,-0.952314491,,-13.561046,-0.57352686
2.015,-45.14624908,-0.812583014,-0.812583014,-49.42709658,,-16.00678762,-0.95159789,,-13.525154,-0.54889953
2.016,-44.97449267,-0.813107002,-0.813107002,-49.12644705,,-16.04410078,-0.95088638,,-13.56599,-0.5487327
2.017,-44.80246886,-0.813631735,-0.813631735,-48.82870831,,-16.08155821,-0.950179961,,-13.554817,-0.5581789
2.018,-44.63042429,-0.814157216,-0.814157216,-48.53450108,,-16.11916086,-0.949478631,,-13.563973,-0.54409003
2.019,-44.45857929,-0.81468345,-0.81468345,-48.24430074,,-16.15690968,-0.948782386,,-13.556875,-0.56249642
2.02,-44.28712985,-0.815210438,-0.815210438,-47.95846226,,-16.19480563,-0.948091225,,-13.563692,-0.56886643
2.021,-44.11624957,-0.815738184,-0.815738184,-47.67724157,,-16.2328497,-0.947405145,,-13.561202,-0.55029875
2.022,-43.94609151,-0.816266691,-0.816266691,-47.40081371,,-16.27104286,-0.946724143,,-13.595648,-0.55334818
2.023,-43.77678998,-0.816795963,-0.816795963,-47.12928811,,-16.30938611,-0.946048218,,-13.609888,-0.58179289
2.024,-43.60846226,-0.817326003,-0.817326003,-46.86272131,,-16.34788047,-0.945377367,,-13.627156,-0.55027115
2.025,-43.44121012,-0.817856813,-0.817856813,-46.60112759,,-16.38652696,-0.944711586,,-13.615581,-0.55750376
2.026,-43.2751214,-0.818388398,-0.818388398,-46.34448761,,-16.42532662,-0.944050874,,-13.575428,-0.54129446
2.027,-43.1102713,-0.818920761,-0.818920761,-46.09275566,,-16.46428047,-0.943395226,,-13.610708,-0.55390871
2.028,-42.9467237,-0.819453905,-0.819453905,-45.84586553,,-16.50338959,-0.94274464,,-13.6152,-0.59042007
2.029,-42.78453227,-0.819987833,-0.819987833,-45.60373529,,-16.54265505,-0.942099114,,-13.607516,-0.5687561
2.03,-42.6237416,-0.820522548,-0.820522548,-45.3662712,,-16.58207792,-0.941458643,,-13.635305,-0.55922359
2.031,-42.46438811,-0.821058055,-0.821058055,-45.1333709,,-16.6216593,-0.940823225,,-13.626945,-0.5972293
2.032,-42.30650099,-0.821594356,-0.821594356,-44.90492596,,-16.6614003,-0.940192856,,-13.633245,-0.56527859
2.033,-42.15010294,-0.822131454,-0.822131454,-44.68082394,,-16.70130204,-0.939567532,,-13.656467,-0.56948358
2.034,-41.99521092,-0.822669354,-0.822669354,-44.46095008,,-16.74136566,-0.938947251,,-13.632576,-0.53901356
2.035,-41.84183681,-0.823208058,-0.823208058,-44.24518858,,-16.78159231,-0.938332008,,-13.657248,-0.55447125
2.036,-41.68998799,-0.823747571,-0.823747571,-44.03342368,,-16.82198314,-0.937721801,,-13.631855,-0.5582574
2.037,-41.53966788,-0.824287895,-0.824287895,-43.82554045,,-16.86253934,-0.937116624,,-13.640132,-0.55085617
2.038,-41.39087639,-0.824829033,-0.824829033,-43.62142547,,-16.90326209,-0.936516475,,-13.674731,-0.56166929
2.039,-41.24361039,-0.825370991,-0.825370991,-43.4209673,,-16.9441526,-0.935921349,,-13.628778,-0.5456813
2.04,-41.09786404,-0.82591377,-0.82591377,-43.22405688,,-16.98521209,-0.935331243,,-13.670671,-0.57548404
2.041,-40.95362918,-0.826457375,-0.826457375,-43.03058775,,-17.0264418,-0.934746152,,-13.705278,-0.57905191
2.042,-40.81089561,-0.827001808,-0.827001808,-42.84045632,,-17.06784297,-0.934166071,,-13.657318,-0.57999247
2.043,-40.66965137,-0.827547074,-0.827547074,-42.65356195,,-17.10941688,-0.933590998,,-13.711866,-0.565772
2.044,-40.52988299,-0.828093177,-0.828093177,-42.46980703,,-17.1511648,-0.933020927,,-13.700082,-0.52960068
2.045,-40.39157571,-0.828640119,-0.828640119,-42.28909706,,-17.19308804,-0.932455854,,-13.708412,-0.54491872
2.046,-40.25471366,-0.829187904,-0.829187904,-42.11134062,,-17.2351879,-0.931895774,,-13.731314,-0.6015107
2.047,-40.11928006,-0.829736536,-0.829736536,-41.93644938,,-17.27746572,-0.931340683,,-13.737786,-0.5266664
2.048,-39.98525734,-0.830286019,-0.830286019,-41.76433803,,-17.31992284,-0.930790576,,-13.691758,-0.53790164
2.049,-39.85262729,-0.830836355,-0.830836355,-41.59492426,,-17.36256064,-0.930245449,,-13.694655,-0.56476229
2.05,-39.7213712,-0.83138755,-0.83138755,-41.42812867,,-17.40538049,-0.929705296,,-13.757523,-0.55295157
2.051,-39.59146995,-0.831939606,-0.831939606,-41.2638747,,-17.4483838,-0.929170113,,-13.700389,-0.5300898
2.052,-39.46290411,-0.832492528,-0.832492528,-41.10208856,,-17.49157198,-0.928639894,,-13.697714,-0.54000956
2.053,-39.335654,-0.833046318,-0.833046318,-40.94269914,,-17.53494647,-0.928114635,,-13.771892,-0.5455457
2.054,-39.20969982,-0.833600982,-0.833600982,-40.78563791,,-17.57850873,-0.92759433,,-13.817279,-0.56912869
2.055,-39.08502166,-0.834156521,-0.834156521,-40.63083884,,-17.62226023,-0.927078974,,-13.742563,-0.5523355
2.056,-38.96159958,-0.834712941,-0.834712941,-40.47823834,,-17.66620246,-0.926568562,,-13.786146,-0.56633466
2.057,-38.83941367,-0.835270245,-0.835270245,-40.3277751,,-17.71033695,-0.926063089,,-13.778579,-0.59174818
2.058,-38.71844407,-0.835828436,-0.835828436,-40.17939008,,-17.75466522,-0.925562548,,-13.780478,-0.55417967
2.059,-38.59867103,-0.83638752,-0.83638752,-40.03302637,,-17.79918883,-0.925066934,,-13.811296,-0.55735505
2.06,-38.48007494,-0.836947498,-0.836947498,-39.88862914,,-17.84390936,-0.924576242,,-13.782178,-0.57118452
2.061,-38.36263634,-0.837508376,-0.837508376,-39.74614551,,-17.8888284,-0.924090466,,-13.816065,-0.57332546
2.062,-38.24633596,-0.838070158,-0.838070158,-39.60552455,,-17.93394757,-0.923609599,,-13.83183,-0.54788756
2.063,-38.13115476,-0.838632846,-0.838632846,-39.46671711,,-17.97926852,-0.923133637,,-13.844495,-0.57422286
2.064,-38.0170739,-0.839196446,-0.839196446,-39.32967581,,-18.0247929,-0.922662574,,-13.841189,-0.55410767
2.065,-37.90407481,-0.83976096,-0.83976096,-39.19435496,,-18.0705224,-0.922196402,,-13.782846,-0.54765773
2.066,-37.79213915,-0.840326393,-0.840326393,-39.06071046,,-18.11645873,-0.921735116,,-13.847329,-0.59230024
2.067,-37.68124887,-0.84089275,-0.84089275,-38.92869975,,-18.16260363,-0.921278711,,-13.844947,-0.57105666
2.068,-37.57138618,-0.841460033,-0.841460033,-38.79828177,,-18.20895885,-0.920827179,,-13.873254,-0.56480527
2.069,-37.46253357,-0.842028247,-0.842028247,-38.66941687,,-18.25552617,-0.920380514,,-13.826769,-0.55727053
2.07,-37.35467383,-0.842597396,-0.842597396,-38.54206675,,-18.3023074,-0.91993871,,-13.864026,-0.55147165
2.071,-37.24779003,-0.843167484,-0.843167484,-38.41619442,,-18.34930438,-0.91950176,,-13.866241,-0.53732902
2.072,-37.14186554,-0.843738515,-0.843738515,-38.29176416,,-18.39651896,-0.919069658,,-13.842548,-0.5304119
2.073,-37.03688402,-0.844310493,-0.844310493,-38.1687414,,-18.44395303,-0.918642398,,-13.89025,-0.5601275
2.074,-36.93282943,-0.844883423,-0.844883423,-38.04709278,,-18.49160849,-0.918219971,,-13.89712,-0.56855011
2.075,-36.82968602,-0.845457308,-0.845457308,-37.92678599,,-18.5394873,-0.917802373,,-13.905344,-0.55296403
2.076,-36.72743834,-0.846032152,-0.846032152,-37.80778982,,-18.58759141,-0.917389595,,-13.863934,-0.53945327
2.077,-36.62607122,-0.846607961,-0.846607961,-37.69007404,,-18.63592283,-0.91698163,,-13.905621,-0.56988549
2.078,-36.5255698,-0.847184737,-0.847184737,-37.57360943,,-18.68448357,-0.916578473,,-13.895564,-0.54773891
2.079,-36.4259195,-0.847762485,-0.847762485,-37.45836768,,-18.73327571,-0.916180115,,-13.919008,-0.58915168
2.08,-36.32710601,-0.848341209,-0.848341209,-37.34432139,,-18.78230131,-0.91578655,,-13.912391,-0.58414787
2.081,-36.22911533,-0.848920914,-0.848920914,-37.23144402,,-18.83156251,-0.91539777,,-13.914833,-0.53525871
2.082,-36.13193372,-0.849501604,-0.849501604,-37.11970986,,-18.88106144,-0.915013768,,-13.917444,-0.56401455
2.083,-36.03554772,-0.850083284,-0.850083284,-37.00909399,,-18.93080029,-0.914634537,,-13.941711,-0.5871948
2.084,-35.93994412,-0.850665956,-0.850665956,-36.89957228,,-18.98078128,-0.914260069,,-13.988388,-0.57307011
2.085,-35.84511002,-0.851249627,-0.851249627,-36.7911213,,-19.03100664,-0.913890356,,-13.977711,-0.56745446
2.086,-35.75103274,-0.8518343,-0.8518343,-36.68371836,,-19.08147867,-0.913525392,,-13.944664,-0.53638375
2.087,-35.65769986,-0.852419979,-0.852419979,-36.57734143,,-19.13219968,-0.913165168,,-13.983128,-0.58537453
2.088,-35.56509925,-0.853006669,-0.853006669,-36.47196915,,-19.18317202,-0.912809676,,-13.973018,-0.5700615
2.089,-35.47321899,-0.853594375,-0.853594375,-36.36758079,,-19.23439808,-0.91245891,,-13.942166,-0.51771075
2.09,-35.3820474,-0.8541831,-0.8541831,-36.26415621,,-19.28588029,-0.91211286,,-14.004099,-0.59067607
2.091,-35.29157308,-0.85477285,-0.85477285,-36.16167586,,-19.33762111,-0.911771519,,-14.015347,-0.5565148
2.092,-35.20178481,-0.855363628,-0.855363628,-36.06012078,,-19.38962305,-0.91143488,,-13.964705,-0.55791187
2.093,-35.11267164,-0.85595544,-0.85595544,-35.95947252,,-19.44188864,-0.911102933,,-13.98911,-0.54932183
2.094,-35.02422282,-0.85654829,-0.85654829,-35.85971316,,-19.49442048,-0.910775672,,-14.035481,-0.57446313
2.095,-34.93642784,-0.857142182,-0.857142182,-35.76082529,,-19.54722118,-0.910453087,,-14.049075,-0.54371732
2.096,-34.84927637,-0.857737121,-0.857737121,-35.66279199,,-19.60029342,-0.91013517,,-14.054154,-0.54987949
2.097,-34.76275834,-0.858333112,-0.858333112,-35.56559679,,-19.65363989,-0.909821913,,-14.055906,-0.55066913
2.098,-34.67686383,-0.858930159,-0.858930159,-35.4692237,,-19.70726336,-0.909513308,,-14.054008,-0.57753247
2.099,-34.59158317,-0.859528267,-0.859528267,-35.37365713,,-19.76116663,-0.909209346,,-14.039578,-0.56041914
2.1,-34.50690685,-0.86012744,-0.86012744,-35.27888195,,-19.81535254,-0.908910018,,-14.072624,-0.55931312
2.101,-34.42282557,-0.860727684,-0.860727684,-35.18488339,,-19.86982398,-0.908615316,,-14.040232,-0.56649899
2.102,-34.33933022,-0.861329003,-0.861329003,-35.09164713,,-19.92458389,-0.908325232,,-14.105469,-0.58305663
2.103,-34.25641187,-0.861931401,-0.861931401,-34.99915917,,-19.97963526,-0.908039756,,-14.108178,-0.56740391
2.104,-34.17406175,-0.862534884,-0.862534884,-34.90740592,,-20.03498113,-0.90775888,,-14.098598,-0.54532731
2.105,-34.0922713,-0.863139456,-0.863139456,-34.81637412,,-20.0906246,-0.907482594,,-14.10083,-0.54190576
2.106,-34.01103211,-0.863745122,-0.863745122,-34.72605085,,-20.1465688,-0.907210891,,-14.117764,-0.58213919
2.107,-33.93033593,-0.864351888,-0.864351888,-34.63642355,,-20.20281694,-0.90694376,,-14.132863,-0.57044655
2.108,-33.8501747,-0.864959757,-0.864959757,-34.54747993,,-20.25937226,-0.906681194,,-14.121699,-0.57541543
2.109,-33.77054049,-0.865568735,-0.865568735,-34.45920806,,-20.31623807,-0.906423182,,-14.112785,-0.55868959
2.11,-33.69142555,-0.866178826,-0.866178826,-34.37159628,,-20.37341774,-0.906169715,,-14.09822,-0.54520255
2.111,-33.61282227,-0.866790036,-0.866790036,-34.28463322,,-20.4309147,-0.905920785,,-14.153184,-0.56265986
2.112,-33.53472319,-0.86740237,-0.86740237,-34.1983078,,-20.48873243,-0.905676382,,-14.097466,-0.57208806
2.113,-33.457121,-0.868015832,-0.868015832,-34.1126092,,-20.54687448,-0.905436497,,-14.123144,-0.54924732
2.114,-33.38000852,-0.868630428,-0.868630428,-34.02752688,,-20.60534445,-0.905201119,,-14.132137,-0.54422641
2.115,-33.30337873,-0.869246163,-0.869246163,-33.94305053,,-20.66414603,-0.904970241,,-14.119932,-0.57867962
2.116,-33.22722472,-0.869863041,-0.869863041,-33.85917011,,-20.72328296,-0.904743851,,-14.143497,-0.55369681
2.117,-33.15153974,-0.870481068,-0.870481068,-33.77587581,,-20.78275904,-0.904521942,,-14.17323,-0.54500794
2.118,-33.07631715,-0.87110025,-0.87110025,-33.69315803,,-20.84257816,-0.904304502,,-14.209815,-0.5410111
2.119,-33.00155043,-0.87172059,-0.87172059,-33.61100744,,-20.90274426,-0.904091522,,-14.190411,-0.57314128
2.12,-32.92723321,-0.872342094,-0.872342094,-33.52941488,,-20.96326136,-0.903882992,,-14.203004,-0.57248282
2.121,-32.85335922,-0.872964768,-0.872964768,-33.44837144,,-21.02413358,-0.903678903,,-14.205956,-0.55920452
2.122,-32.77992231,-0.873588617,-0.873588617,-33.36786838,,-21.08536507,-0.903479245,,-14.249499,-0.57562536
2.123,-32.70691646,-0.874213646,-0.874213646,-33.28789718,,-21.14696011,-0.903284007,,-14.197042,-0.5604496
2.124,-32.63433574,-0.87483986,-0.87483986,-33.20844951,,-21.20892301,-0.90309318,,-14.205209,-0.55365515
2.125,-32.56217434,-0.875467265,-0.875467265,-33.12951723,,-21.27125819,-0.902906754,,-14.240966,-0.53242546
