Time(s),S11 Log Mag(dB)
-0.00000001,-79.65052
-0.00000001,-80.068222
-0.00000001,-80.530884
-0.00000001,-81.042084
-0.00000001,-81.607147
-0.00000001,-82.23082
-0.00000001,-82.919632
-0.00000001,-83.682228
-0.00000001,-84.525482
-0.00000001,-85.460014
-0.00000001,-86.492668
-9.945E-009,-87.626244
-9.94E-009,-88.847534
-9.935E-009,-90.112648
-9.93E-009,-91.295464
-9.925E-009,-92.167953
-9.92E-009,-92.461388
-9.915E-009,-92.064323
-9.91E-009,-91.159531
-9.905E-009,-90.018265
-9.9E-009,-88.847244
-9.895E-009,-87.73555
-9.89E-009,-86.719505
-9.885E-009,-85.802788
-9.88E-009,-84.986488
-9.875E-009,-84.258141
-9.87E-009,-83.610786
-9.865E-009,-83.035431
-9.86E-009,-82.526184
-9.855E-009,-82.073807
-9.85E-009,-81.677582
-9.845E-009,-81.329552
-9.84E-009,-81.028389
-9.835E-009,-80.770378
-9.83E-009,-80.551872
-9.825E-009,-80.373932
-9.82E-009,-80.23188
-9.815E-009,-80.125122
-9.81E-009,-80.053406
-9.805E-009,-80.013924
-9.8E-009,-80.008041
-9.795E-009,-80.034912
-9.79E-009,-80.093765
-9.785E-009,-80.184158
-9.78E-009,-80.306488
-9.775E-009,-80.460793
-9.77E-009,-80.645546
-9.765E-009,-80.863365
-9.76E-009,-81.113922
-9.755E-009,-81.396027
-9.75E-009,-81.709488
-9.745E-009,-82.05452
-9.74E-009,-82.429047
-9.735E-009,-82.830917
-9.73E-009,-83.255157
-9.725E-009,-83.696838
-9.72E-009,-84.14724
-9.715E-009,-84.592278
-9.71E-009,-85.01606
-9.705E-009,-85.398796
-9.7E-009,-85.714081
-9.695E-009,-85.933929
-9.69E-009,-86.04364
-9.685E-009,-86.026825
-9.68E-009,-85.886765
-9.675E-009,-85.63224
-9.67E-009,-85.288498
-9.665E-009,-84.879807
-9.66E-009,-84.42897
-9.655E-009,-83.957726
-9.65E-009,-83.484093
-9.645E-009,-83.017502
-9.64E-009,-82.569862
-9.635E-009,-82.143486
-9.63E-009,-81.744881
-9.625E-009,-81.374504
-9.62E-009,-81.034744
-9.615E-009,-80.726204
-9.61E-009,-80.448387
-9.605E-009,-80.201424
-9.6E-009,-79.985512
-9.595E-009,-79.799477
-9.59E-009,-79.644424
-9.585E-009,-79.519119
-9.58E-009,-79.423218
-9.575E-009,-79.357307
-9.57E-009,-79.321388
-9.565E-009,-79.315407
-9.56E-009,-79.338905
-9.555E-009,-79.393608
-9.55E-009,-79.4795
-9.545E-009,-79.59697
-9.54E-009,-79.747368
-9.535E-009,-79.932022
-9.53E-009,-80.151207
-9.525E-009,-80.408264
-9.52E-009,-80.704536
-9.515E-009,-81.040901
-9.51E-009,-81.421463
-9.505E-009,-81.849335
-9.5E-009,-82.326973
-9.495E-009,-82.858192
-9.49E-009,-83.447922
-9.485E-009,-84.099556
-9.48E-009,-84.815964
-9.475E-009,-85.598434
-9.47E-009,-86.444489
-9.465E-009,-87.33992
-9.46E-009,-88.255516
-9.455E-009,-89.125656
-9.45E-009,-89.85173
-9.445E-009,-90.295624
-9.44E-009,-90.3451
-9.435E-009,-89.983185
-9.43E-009,-89.300743
-9.425E-009,-88.433594
-9.42E-009,-87.495842
-9.415E-009,-86.56205
-9.41E-009,-85.671249
-9.405E-009,-84.840553
-9.4E-009,-84.075073
-9.395E-009,-83.375702
-9.39E-009,-82.739014
-9.385E-009,-82.16172
-9.38E-009,-81.639412
-9.375E-009,-81.167953
-9.37E-009,-80.743896
-9.365E-009,-80.364525
-9.36E-009,-80.026634
-9.355E-009,-79.72776
-9.35E-009,-79.466469
-9.345E-009,-79.24086
-9.34E-009,-79.048698
-9.335E-009,-78.889435
-9.33E-009,-78.761688
-9.325E-009,-78.664948
-9.32E-009,-78.598442
-9.315E-009,-78.561462
-9.31E-009,-78.553635
-9.305E-009,-78.575249
-9.3E-009,-78.625671
-9.295E-009,-78.704819
-9.29E-009,-78.813194
-9.285E-009,-78.950401
-9.28E-009,-79.116989
-9.275E-009,-79.31292
-9.27E-009,-79.538147
-9.265E-009,-79.793068
-9.26E-009,-80.077133
-9.255E-009,-80.389832
-9.25E-009,-80.730125
-9.245E-009,-81.095543
-9.24E-009,-81.483185
-9.235E-009,-81.888283
-9.23E-009,-82.302498
-9.225E-009,-82.717102
-9.22E-009,-83.116783
-9.215E-009,-83.483986
-9.21E-009,-83.797119
-9.205E-009,-84.032799
-9.2E-009,-84.170761
-9.195E-009,-84.19474
-9.19E-009,-84.099617
-9.185E-009,-83.891045
-9.18E-009,-83.583176
-9.175E-009,-83.198662
-9.17E-009,-82.760124
-9.165E-009,-82.288513
-9.16E-009,-81.801811
-9.155E-009,-81.313461
-9.15E-009,-80.834145
-9.145E-009,-80.37117
-9.14E-009,-79.92881
-9.135E-009,-79.510529
-9.13E-009,-79.117691
-9.125E-009,-78.751595
-9.12E-009,-78.412659
-9.115E-009,-78.100975
-9.11E-009,-77.816063
-9.105E-009,-77.557724
-9.1E-009,-77.325264
-9.095E-009,-77.118584
-9.09E-009,-76.937027
-9.085E-009,-76.779793
-9.08E-009,-76.646919
-9.075E-009,-76.537788
-9.07E-009,-76.452202
-9.065E-009,-76.390022
-9.06E-009,-76.350845
-9.055E-009,-76.334641
-9.05E-009,-76.341118
-0.000000009,-76.370605
-0.000000009,-76.422966
-0.000000009,-76.498505
-0.000000009,-76.597214
-0.000000009,-76.719513
-0.000000009,-76.865715
-0.000000009,-77.036552
-0.000000009,-77.232254
-0.000000009,-77.453453
-0.000000009,-77.701149
-0.000000009,-77.976112
-0.000000009,-78.279213
-0.000000009,-78.611916
-0.000000009,-78.975174
-0.000000009,-79.370682
-0.000000009,-79.799767
-0.000000009,-80.264847
-0.000000009,-80.767227
-0.000000009,-81.309929
-0.000000009,-81.894424
-8.945E-009,-82.523773
-8.94E-009,-83.200356
-8.935E-009,-83.926521
-8.93E-009,-84.702911
-8.925E-009,-85.530449
-8.92E-009,-86.406288
-8.915E-009,-87.32225
-8.91E-009,-88.261482
-8.905E-009,-89.197098
-8.9E-009,-90.079636
-8.895E-009,-90.843903
-8.89E-009,-91.4132
-8.885E-009,-91.727592
-8.88E-009,-91.771935
-8.875E-009,-91.582588
-8.87E-009,-91.231415
-8.865E-009,-90.796883
-8.86E-009,-90.336349
-8.855E-009,-89.895416
-8.85E-009,-89.498131
-8.845E-009,-89.160706
-8.84E-009,-88.890518
-8.835E-009,-88.693527
-8.83E-009,-88.571251
-8.825E-009,-88.529648
-8.82E-009,-88.56974
-8.815E-009,-88.696678
-8.81E-009,-88.915131
-8.805E-009,-89.23423
-8.8E-009,-89.664421
-8.795E-009,-90.221611
-8.79E-009,-90.924294
-8.785E-009,-91.801613
-8.78E-009,-92.888359
-8.775E-009,-94.231499
-8.77E-009,-95.864441
-8.765E-009,-97.728203
-8.76E-009,-99.36544
-8.755E-009,-99.57444
-8.75E-009,-97.902756
-8.745E-009,-95.510048
-8.74E-009,-93.215729
-8.735E-009,-91.202293
-8.73E-009,-89.456749
-8.725E-009,-87.932289
-8.72E-009,-86.588562
-8.715E-009,-85.390877
-8.71E-009,-84.31469
-8.705E-009,-83.339447
-8.7E-009,-82.451447
-8.695E-009,-81.63829
-8.69E-009,-80.891624
-8.685E-009,-80.202614
-8.68E-009,-79.56601
-8.675E-009,-78.976494
-8.67E-009,-78.430382
-8.665E-009,-77.923325
-8.66E-009,-77.453041
-8.655E-009,-77.016754
-8.65E-009,-76.612221
-8.645E-009,-76.237236
-8.64E-009,-75.890549
-8.635E-009,-75.570671
-8.63E-009,-75.276375
-8.625E-009,-75.00634
-8.62E-009,-74.759583
-8.615E-009,-74.535667
-8.61E-009,-74.333298
-8.605E-009,-74.152298
-8.6E-009,-73.991707
-8.595E-009,-73.851326
-8.59E-009,-73.730377
-8.585E-009,-73.628609
-8.58E-009,-73.54583
-8.575E-009,-73.481606
-8.57E-009,-73.435646
-8.565E-009,-73.407845
-8.56E-009,-73.39817
-8.555E-009,-73.406273
-8.55E-009,-73.432083
-8.545E-009,-73.475647
-8.54E-009,-73.536629
-8.535E-009,-73.615288
-8.53E-009,-73.711555
-8.525E-009,-73.825546
-8.52E-009,-73.956993
-8.515E-009,-74.106255
-8.51E-009,-74.27314
-8.505E-009,-74.457573
-8.5E-009,-74.65979
-8.495E-009,-74.879997
-8.49E-009,-75.117493
-8.485E-009,-75.372528
-8.48E-009,-75.644859
-8.475E-009,-75.933937
-8.47E-009,-76.239914
-8.465E-009,-76.561798
-8.46E-009,-76.89872
-8.455E-009,-77.249413
-8.45E-009,-77.612938
-8.445E-009,-77.987404
-8.44E-009,-78.370216
-8.435E-009,-78.758934
-8.43E-009,-79.149925
-8.425E-009,-79.539627
